Priority,Alert_Description,Start_ISO,Start_Epoch,Start_Hour,Start_DOW,Is_Weekend,Duration_Sec,Duration_Min,Priority_Norm,Priority_Level,Component_Type,Component_Name,Test,Raw_Type,Raw_Name,Raw_Test,Src_Type,Src_Name,Ner_Type,Ner_Name,Regex_Type,Regex_Name
Critical,Lagging checkpoint duration is high {EXTRACT/ELOTNC},2025-08-01T23:54:00,1754092440,23,4,False,4140.0,69.0,Critical,3,oracle goldengate extract,ELOTNC,Lagging checkpoint duration is high,oracle goldengate extract,ELOTNC,Lagging checkpoint duration is high,regex,regex,UNK,EXTRACT/ELOTNC,oracle goldengate extract,ELOTNC
Critical,Lagging checkpoint duration is high {EXTRACT/ELOTNB},2025-08-01T23:54:00,1754092440,23,4,False,4140.0,69.0,Critical,3,oracle goldengate extract,ELOTNB,Lagging checkpoint duration is high,oracle goldengate extract,ELOTNB,Lagging checkpoint duration is high,regex,regex,UNK,EXTRACT/ELOTNB,oracle goldengate extract,ELOTNB
Critical,Lagging checkpoint duration is high {EXTRACT/ELOTND},2025-08-01T23:54:00,1754092440,23,4,False,4140.0,69.0,Critical,3,oracle goldengate extract,ELOTND,Lagging checkpoint duration is high,oracle goldengate extract,ELOTND,Lagging checkpoint duration is high,regex,regex,UNK,EXTRACT/ELOTND,oracle goldengate extract,ELOTND
Critical,Lagging checkpoint duration is high {EXTRACT/ELOTNF},2025-08-01T23:54:00,1754092440,23,4,False,4140.0,69.0,Critical,3,oracle goldengate extract,ELOTNF,Lagging checkpoint duration is high,oracle goldengate extract,ELOTNF,Lagging checkpoint duration is high,regex,regex,UNK,EXTRACT/ELOTNF,oracle goldengate extract,ELOTNF
Critical,Lagging checkpoint duration is high {EXTRACT/ELOTNA},2025-08-01T23:54:00,1754092440,23,4,False,4140.0,69.0,Critical,3,oracle goldengate extract,ELOTNA,Lagging checkpoint duration is high,oracle goldengate extract,ELOTNA,Lagging checkpoint duration is high,regex,regex,UNK,EXTRACT/ELOTNA,oracle goldengate extract,ELOTNA
Critical,Lagging checkpoint duration is high {EXTRACT/ELOTNH},2025-08-01T23:54:00,1754092440,23,4,False,4140.0,69.0,Critical,3,oracle goldengate extract,ELOTNH,Lagging checkpoint duration is high,oracle goldengate extract,ELOTNH,Lagging checkpoint duration is high,regex,regex,UNK,EXTRACT/ELOTNH,oracle goldengate extract,ELOTNH
Major,Many user errors have been detected in Microsoft SQL server CBMNET_FIGW_DB_SERVER_DR:1433's error log,2025-08-01T23:53:00,1754092380,23,4,False,2200.0,36.667,Major,2,sql server,CBMNET_FIGW_DB_SERVER_DR:1433,UNK,sql server,CBMNET_FIGW_DB_SERVER_DR:1433,UNK,ner,ner,sql server,CBMNET_FIGW_DB_SERVER_DR:1433,UNK,UNK
Minor,Percentage of long table scans is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB,2025-08-01T23:53:00,1754092380,23,4,False,225.0,3.75,Minor,1,host,Oracle,Percentage of long table scans is high,host,Oracle,Percentage of long table scans is high,regex,regex,oracle database,long,host,Oracle
Critical,TCP connection failed when accessing the web page HomePage. This is affecting External Web ibanking,2025-08-01T23:52:00,1754092320,23,4,False,313.0,5.217,Critical,3,external web,ibanking,UNK,external web,ibanking,UNK,regex,regex,UNK,UNK,external web,ibanking
Minor,Many queued jobs on SAP HANA Database KBZ-PRD-DB-SYSDB:35015 {Volume_5},2025-08-01T23:52:00,1754092320,23,4,False,308.0,5.133,Minor,1,sap hana database,KBZ-PRD-DB-SYSDB:35015,Many queued jobs,sap hana database,KBZ-PRD-DB-SYSDB:35015,Many queued jobs,regex,regex,UNK,SAP,sap hana database,KBZ-PRD-DB-SYSDB:35015
Minor,There have been many container termination failures for pod aws-guardduty-agent-mhm56 of namespace amazon-guardduty on Kubernetes Cluster NewCoreBankingProdEnv,2025-08-01T23:52:00,1754092320,23,4,False,305.0,5.083,Minor,1,host,Kubernetes,There have been many container termination failures for pod aws-guardduty-agent-mhm56 of namespace amazon-guardduty,host,Kubernetes,There have been many container termination failures for pod aws-guardduty-agent-mhm56 of namespace amazon-guardduty,regex,regex,kubernetes cluster,namespace,host,Kubernetes
Minor,Average exclusive lock wait time is high on SAP HANA Database KBZ-PRD-DB-SYSDB:35015,2025-08-01T23:51:00,1754092260,23,4,False,592.0,9.867,Minor,1,sap hana database,KBZ-PRD-DB-SYSDB:35015,Average exclusive lock wait time is high,sap hana database,KBZ-PRD-DB-SYSDB:35015,Average exclusive lock wait time is high,regex,regex,UNK,SAP,sap hana database,KBZ-PRD-DB-SYSDB:35015
Critical,TimeSinceLastChckPoint {REPLICAT/RLOTNA},2025-08-01T23:51:00,1754092260,23,4,False,943.0,15.717,Critical,3,oracle goldengate replicat,RLOTNA,TimeSinceLastChckPoint,oracle goldengate replicat,RLOTNA,TimeSinceLastChckPoint,regex,regex,UNK,REPLICAT/RLOTNA,oracle goldengate replicat,RLOTNA
Minor,Average shared lock wait time is high on SAP HANA Database KBZ-PRD-DB-SYSDB:35015,2025-08-01T23:51:00,1754092260,23,4,False,592.0,9.867,Minor,1,sap hana database,KBZ-PRD-DB-SYSDB:35015,Average shared lock wait time is high,sap hana database,KBZ-PRD-DB-SYSDB:35015,Average shared lock wait time is high,regex,regex,UNK,SAP,sap hana database,KBZ-PRD-DB-SYSDB:35015
Minor,Memory utilization is high on apisys-prod-zb.kbzbank.com,2025-08-01T23:50:00,1754092200,23,4,False,614.0,10.233,Minor,1,host,apisys-prod-zb.kbzbank.com,Memory utilization is high,host,apisys-prod-zb.kbzbank.com,Memory utilization is high,regex,regex,host,apisys-prod-zb.kbzbank.com,host,apisys-prod-zb.kbzbank.com
Major,High disk space usage on /var drive of BIREPO_DB_Node_1,2025-08-01T23:49:00,1754092140,23,4,False,1754.0,29.233,Major,2,host,BIREPO_DB_Node_1,High disk space usage on /var,host,BIREPO_DB_Node_1,High disk space usage on /var,regex,regex,host,BIREPO_DB_Node_1,host,BIREPO_DB_Node_1
Minor,High disk space usage on /var/share/sstore/repo drive of BIREPO_DB_Node_1,2025-08-01T23:49:00,1754092140,23,4,False,1159.0,19.317,Minor,1,host,BIREPO_DB_Node_1,High disk space usage on /var/share/sstore/repo,host,BIREPO_DB_Node_1,High disk space usage on /var/share/sstore/repo,regex,regex,host,BIREPO_DB_Node_1,host,BIREPO_DB_Node_1
Minor,Elapsed time of Oracle job is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB,2025-08-01T23:48:00,1754092080,23,4,False,46.0,0.767,Minor,1,host,Oracle,Elapsed time of Oracle job is high,host,Oracle,Elapsed time of Oracle job is high,regex,regex,oracle database,Oracle,host,Oracle
Minor,Percentage of long table scans is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB,2025-08-01T23:48:00,1754092080,23,4,False,186.0,3.1,Minor,1,host,Oracle,Percentage of long table scans is high,host,Oracle,Percentage of long table scans is high,regex,regex,oracle database,long,host,Oracle
Minor,High CPU utilization when waiting for I/O on AWS_CBS_Reporting_DB,2025-08-01T23:47:00,1754092020,23,4,False,1757.0,29.283,Minor,1,host,AWS_CBS_Reporting_DB,High CPU utilization when waiting for I/O,host,AWS_CBS_Reporting_DB,High CPU utilization when waiting for I/O,regex,regex,host,AWS_CBS_Reporting_DB,host,AWS_CBS_Reporting_DB
Minor,There are many waiting containers in pod obic-interest-extrp-service-9cd9c45b-v7mpg of namespace javaic on Kubernetes Cluster flexcube-cbs-uat-tkc,2025-08-01T23:47:00,1754092020,23,4,False,919.0,15.317,Minor,1,host,Kubernetes,There are many waiting containers in pod obic-interest-extrp-service-9cd9c45b-v7mpg of namespace javaic,host,Kubernetes,There are many waiting containers in pod obic-interest-extrp-service-9cd9c45b-v7mpg of namespace javaic,regex,regex,kubernetes cluster,obic-interest-extrp-service-9cd9c45b-v7mpg,host,Kubernetes
Minor,Load failures rate is high {CBSCustomerServiceBalance_1528\w3wp#8},2025-08-01T23:45:00,1754091900,23,4,False,1486.0,24.767,Minor,1,resource,CBSCustomerServiceBalance_1528\w3wp#8,Load failures rate is high,resource,CBSCustomerServiceBalance_1528\w3wp#8,Load failures rate is high,regex,regex,host,CBSCustomerServiceBalance_1528\w3wp#8,resource,CBSCustomerServiceBalance_1528\w3wp#8
Minor,Load failures rate is high {CBSCustomerServiceBalance_1528\Summary},2025-08-01T23:45:00,1754091900,23,4,False,1491.0,24.85,Minor,1,resource,CBSCustomerServiceBalance_1528\Summary,Load failures rate is high,resource,CBSCustomerServiceBalance_1528\Summary,Load failures rate is high,regex,regex,host,CBSCustomerServiceBalance_1528\Summary,resource,CBSCustomerServiceBalance_1528\Summary
Minor,Load failures rate is high {CBSAccountingService_1568\Summary},2025-08-01T23:45:00,1754091900,23,4,False,1486.0,24.767,Minor,1,resource,CBSAccountingService_1568\Summary,Load failures rate is high,resource,CBSAccountingService_1568\Summary,Load failures rate is high,regex,regex,host,CBSAccountingService_1568\Summary,resource,CBSAccountingService_1568\Summary
Minor,Load failures rate is high {CBSAccountingService_1568\w3wp#13},2025-08-01T23:45:00,1754091900,23,4,False,1487.0,24.783,Minor,1,resource,CBSAccountingService_1568\w3wp#13,Load failures rate is high,resource,CBSAccountingService_1568\w3wp#13,Load failures rate is high,regex,regex,host,CBSAccountingService_1568\w3wp#13,resource,CBSAccountingService_1568\w3wp#13
Minor,Read rate from datafile o1_mf_apidat_d_l8pozmn9_.dbf is high on Oracle Database on Cloud APIRDB:1580,2025-08-01T23:44:00,1754091840,23,4,False,2138.0,35.633,Minor,1,host,Oracle,Read rate from datafile o1_mf_apidat_d_l8pozmn9_.dbf is high,host,Oracle,Read rate from datafile o1_mf_apidat_d_l8pozmn9_.dbf is high,regex,regex,oracle database,datafile,host,Oracle
Minor,Many instances have been removed recently from AWS Cloud p2p-sap-hana-prd,2025-08-01T23:43:00,1754091780,23,4,False,305.0,5.083,Minor,1,aws cloud,p2p-sap-hana-prd,Many instances have been removed recently,aws cloud,p2p-sap-hana-prd,Many instances have been removed recently,regex,regex,aws cloud,AWS,aws cloud,p2p-sap-hana-prd
Minor,Percentage of long table scans is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB,2025-08-01T23:43:00,1754091780,23,4,False,165.0,2.75,Minor,1,host,Oracle,Percentage of long table scans is high,host,Oracle,Percentage of long table scans is high,regex,regex,oracle database,long,host,Oracle
Major,High CPU utilization when waiting for I/O on AWS_CBS_Reporting_DB,2025-08-01T23:43:00,1754091780,23,4,False,285.0,4.75,Major,2,host,AWS_CBS_Reporting_DB,High CPU utilization when waiting for I/O,host,AWS_CBS_Reporting_DB,High CPU utilization when waiting for I/O,regex,regex,host,AWS_CBS_Reporting_DB,host,AWS_CBS_Reporting_DB
Minor,Memory utilization is high for pod fluent-bit-pgv6z of namespace amazon-cloudwatch on Kubernetes Cluster NewCoreBankingProdEnv,2025-08-01T23:42:00,1754091720,23,4,False,611.0,10.183,Minor,1,host,Kubernetes,Memory utilization is high for pod fluent-bit-pgv6z of namespace amazon-cloudwatch,host,Kubernetes,Memory utilization is high for pod fluent-bit-pgv6z of namespace amazon-cloudwatch,regex,regex,kubernetes cluster,namespace,host,Kubernetes
Critical,TCP connection failed when accessing the web page QMS-Portal. This is affecting External Web QMS,2025-08-01T23:42:00,1754091720,23,4,False,245.0,4.083,Critical,3,external web,QMS,UNK,external web,QMS,UNK,regex,regex,UNK,UNK,external web,QMS
Critical,The web page QMS-Portal is not available for external access. This is affecting External Web QMS,2025-08-01T23:42:00,1754091720,23,4,False,248.0,4.133,Critical,3,external web,QMS,UNK,external web,QMS,UNK,regex,regex,UNK,UNK,external web,QMS
Minor,Average shared lock wait time is high on SAP HANA Database KBZ-PRD-DB-SYSDB:35015,2025-08-01T23:41:00,1754091660,23,4,False,296.0,4.933,Minor,1,sap hana database,KBZ-PRD-DB-SYSDB:35015,Average shared lock wait time is high,sap hana database,KBZ-PRD-DB-SYSDB:35015,Average shared lock wait time is high,regex,regex,UNK,SAP,sap hana database,KBZ-PRD-DB-SYSDB:35015
Minor,Average exclusive lock wait time is high on SAP HANA Database KBZ-PRD-DB-SYSDB:35015,2025-08-01T23:41:00,1754091660,23,4,False,296.0,4.933,Minor,1,sap hana database,KBZ-PRD-DB-SYSDB:35015,Average exclusive lock wait time is high,sap hana database,KBZ-PRD-DB-SYSDB:35015,Average exclusive lock wait time is high,regex,regex,UNK,SAP,sap hana database,KBZ-PRD-DB-SYSDB:35015
Minor,Many maintenance {system-update},2025-08-01T23:41:00,1754091660,23,4,False,1007.0,16.783,Minor,1,resource,system-update,Many maintenance,resource,system-update,Many maintenance,regex,regex,host,system-update,resource,system-update
Minor,Many maintenance {Summary},2025-08-01T23:41:00,1754091660,23,4,False,1011.0,16.85,Minor,1,resource,Summary,Many maintenance,resource,Summary,Many maintenance,regex,regex,UNK,Summary,resource,Summary
Minor,Write rate to datafile o1_mf_apidat_d_mh25ok03_.dbf is high on Oracle Database on Cloud APIRDB:1580,2025-08-01T23:40:00,1754091600,23,4,False,2117.0,35.283,Minor,1,host,Oracle,Write rate to datafile o1_mf_apidat_d_mh25ok03_.dbf is high,host,Oracle,Write rate to datafile o1_mf_apidat_d_mh25ok03_.dbf is high,regex,regex,oracle database,Oracle,host,Oracle
Major,Actual CPU credit balance is high {ap-southeast-1:-:i-04b74635ad73c1a93},2025-08-01T23:39:00,1754091540,23,4,False,1057.0,17.617,Major,2,resource,ap-southeast-1:-:i-04b74635ad73c1a93,Actual CPU credit balance is high,resource,ap-southeast-1:-:i-04b74635ad73c1a93,Actual CPU credit balance is high,regex,regex,host,ap-southeast-1:-:i-04b74635ad73c1a93,resource,ap-southeast-1:-:i-04b74635ad73c1a93
Minor,Many backup {Summary},2025-08-01T23:39:00,1754091540,23,4,False,602.0,10.033,Minor,1,resource,Summary,Many backup,resource,Summary,Many backup,regex,regex,UNK,Summary,resource,Summary
Minor,Many backup {db-instance},2025-08-01T23:39:00,1754091540,23,4,False,604.0,10.067,Minor,1,resource,db-instance,Many backup,resource,db-instance,Many backup,regex,regex,host,db-instance,resource,db-instance
Minor,Elapsed time of Oracle job is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB,2025-08-01T23:39:00,1754091540,23,4,False,60.0,1.0,Minor,1,host,Oracle,Elapsed time of Oracle job is high,host,Oracle,Elapsed time of Oracle job is high,regex,regex,oracle database,Oracle,host,Oracle
Minor,Many instances have been removed recently from AWS Cloud Apigee,2025-08-01T23:38:00,1754091480,23,4,False,963.0,16.05,Minor,1,aws cloud,Apigee,Many instances have been removed recently,aws cloud,Apigee,Many instances have been removed recently,regex,regex,aws cloud,AWS,aws cloud,Apigee
Minor,Many blocked connections for user SYS on Oracle Cluster dc-smv-bo1-db:1580,2025-08-01T23:38:00,1754091480,23,4,False,534.0,8.9,Minor,1,host,Oracle,Many blocked connections for user SYS,host,Oracle,Many blocked connections for user SYS,regex,regex,UNK,Oracle,host,Oracle
Minor,Percentage of long table scans is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB,2025-08-01T23:38:00,1754091480,23,4,False,180.0,3.0,Minor,1,host,Oracle,Percentage of long table scans is high,host,Oracle,Percentage of long table scans is high,regex,regex,oracle database,long,host,Oracle
Minor,There are many waiting containers in pod aws-guardduty-agent-nwk7w of namespace amazon-guardduty on Kubernetes Cluster NewCoreBankingProdEnv,2025-08-01T23:38:00,1754091480,23,4,False,4440.0,74.0,Minor,1,host,Kubernetes,There are many waiting containers in pod aws-guardduty-agent-nwk7w of namespace amazon-guardduty,host,Kubernetes,There are many waiting containers in pod aws-guardduty-agent-nwk7w of namespace amazon-guardduty,regex,regex,kubernetes cluster,aws-guardduty-agent-nwk7w,host,Kubernetes
Minor,High CPU utilization when waiting for I/O on AWS_CBS_Reporting_DB,2025-08-01T23:38:00,1754091480,23,4,False,306.0,5.1,Minor,1,host,AWS_CBS_Reporting_DB,High CPU utilization when waiting for I/O,host,AWS_CBS_Reporting_DB,High CPU utilization when waiting for I/O,regex,regex,host,AWS_CBS_Reporting_DB,host,AWS_CBS_Reporting_DB
Minor,Many maintenance {system-update},2025-08-01T23:37:00,1754091420,23,4,False,1112.0,18.533,Minor,1,resource,system-update,Many maintenance,resource,system-update,Many maintenance,regex,regex,host,system-update,resource,system-update
Minor,There are many waiting containers in pod obic-interest-extrp-service-9cd9c45b-v7mpg of namespace javaic on Kubernetes Cluster flexcube-cbs-uat-tkc,2025-08-01T23:37:00,1754091420,23,4,False,261.0,4.35,Minor,1,host,Kubernetes,There are many waiting containers in pod obic-interest-extrp-service-9cd9c45b-v7mpg of namespace javaic,host,Kubernetes,There are many waiting containers in pod obic-interest-extrp-service-9cd9c45b-v7mpg of namespace javaic,regex,regex,kubernetes cluster,obic-interest-extrp-service-9cd9c45b-v7mpg,host,Kubernetes
Minor,Many maintenance {Summary},2025-08-01T23:37:00,1754091420,23,4,False,1115.0,18.583,Minor,1,resource,Summary,Many maintenance,resource,Summary,Many maintenance,regex,regex,UNK,Summary,resource,Summary
Minor,Many instances have been removed recently from AWS Cloud KBZT,2025-08-01T23:37:00,1754091420,23,4,False,264.0,4.4,Minor,1,aws cloud,KBZT,Many instances have been removed recently,aws cloud,KBZT,Many instances have been removed recently,regex,regex,aws cloud,AWS,aws cloud,KBZT
Minor,Query is taking high CPU time on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB,2025-08-01T23:36:00,1754091360,23,4,False,20.0,0.333,Minor,1,host,Oracle,Query is taking high CPU time,host,Oracle,Query is taking high CPU time,regex,regex,oracle database,Oracle,host,Oracle
Minor,Load failures rate is high {CBSAccountingService_1568\w3wp#19},2025-08-01T23:36:00,1754091360,23,4,False,1815.0,30.25,Minor,1,resource,CBSAccountingService_1568\w3wp#19,Load failures rate is high,resource,CBSAccountingService_1568\w3wp#19,Load failures rate is high,regex,regex,host,CBSAccountingService_1568\w3wp#19,resource,CBSAccountingService_1568\w3wp#19
Critical,Lagging checkpoint duration is high {REPLICAT/RLOTNH},2025-08-01T23:36:00,1754091360,23,4,False,922.0,15.367,Critical,3,oracle goldengate replicat,RLOTNH,Lagging checkpoint duration is high,oracle goldengate replicat,RLOTNH,Lagging checkpoint duration is high,regex,regex,UNK,REPLICAT/RLOTNH,oracle goldengate replicat,RLOTNH
Critical,Memory utilization is high for pod prometheus-0 of namespace monitoring on Kubernetes Cluster flexcube-cbs-prod-tkc,2025-08-01T23:35:00,1754091300,23,4,False,319.0,5.317,Critical,3,host,Kubernetes,Memory utilization is high for pod prometheus-0 of namespace monitoring,host,Kubernetes,Memory utilization is high for pod prometheus-0 of namespace monitoring,regex,regex,kubernetes cluster,namespace,host,Kubernetes
Minor,Elapsed time of Oracle job is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB,2025-08-01T23:34:00,1754091240,23,4,False,40.0,0.667,Minor,1,host,Oracle,Elapsed time of Oracle job is high,host,Oracle,Elapsed time of Oracle job is high,regex,regex,oracle database,Oracle,host,Oracle
Major,High CPU utilization when waiting for I/O on AWS_CBS_Reporting_DB,2025-08-01T23:33:00,1754091180,23,4,False,281.0,4.683,Major,2,host,AWS_CBS_Reporting_DB,High CPU utilization when waiting for I/O,host,AWS_CBS_Reporting_DB,High CPU utilization when waiting for I/O,regex,regex,host,AWS_CBS_Reporting_DB,host,AWS_CBS_Reporting_DB
Minor,Percentage of long table scans is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB,2025-08-01T23:33:00,1754091180,23,4,False,151.0,2.517,Minor,1,host,Oracle,Percentage of long table scans is high,host,Oracle,Percentage of long table scans is high,regex,regex,oracle database,long,host,Oracle
Minor,There have been many container termination failures for pod aws-guardduty-agent-nwk7w of namespace amazon-guardduty on Kubernetes Cluster NewCoreBankingProdEnv,2025-08-01T23:32:00,1754091120,23,4,False,326.0,5.433,Minor,1,host,Kubernetes,There have been many container termination failures for pod aws-guardduty-agent-nwk7w of namespace amazon-guardduty,host,Kubernetes,There have been many container termination failures for pod aws-guardduty-agent-nwk7w of namespace amazon-guardduty,regex,regex,kubernetes cluster,namespace,host,Kubernetes
Minor,Load failures rate is high {CBSCustomerServiceBalance_1528\w3wp#6},2025-08-01T23:32:00,1754091120,23,4,False,2086.0,34.767,Minor,1,resource,CBSCustomerServiceBalance_1528\w3wp#6,Load failures rate is high,resource,CBSCustomerServiceBalance_1528\w3wp#6,Load failures rate is high,regex,regex,host,CBSCustomerServiceBalance_1528\w3wp#6,resource,CBSCustomerServiceBalance_1528\w3wp#6
Minor,Load failures rate is high {CBSCustomerServiceBalance_1528\Summary},2025-08-01T23:32:00,1754091120,23,4,False,2086.0,34.767,Minor,1,resource,CBSCustomerServiceBalance_1528\Summary,Load failures rate is high,resource,CBSCustomerServiceBalance_1528\Summary,Load failures rate is high,regex,regex,host,CBSCustomerServiceBalance_1528\Summary,resource,CBSCustomerServiceBalance_1528\Summary
Minor,Load failures rate is high {CBSAccountingService_1568\Summary},2025-08-01T23:32:00,1754091120,23,4,False,2086.0,34.767,Minor,1,resource,CBSAccountingService_1568\Summary,Load failures rate is high,resource,CBSAccountingService_1568\Summary,Load failures rate is high,regex,regex,host,CBSAccountingService_1568\Summary,resource,CBSAccountingService_1568\Summary
Minor,Load failures rate is high {CBSCustomerServiceBalance_1528\w3wp#5},2025-08-01T23:32:00,1754091120,23,4,False,2086.0,34.767,Minor,1,resource,CBSCustomerServiceBalance_1528\w3wp#5,Load failures rate is high,resource,CBSCustomerServiceBalance_1528\w3wp#5,Load failures rate is high,regex,regex,host,CBSCustomerServiceBalance_1528\w3wp#5,resource,CBSCustomerServiceBalance_1528\w3wp#5
Minor,Load failures rate is high {CBSCustomerServiceBalance_1528\w3wp#4},2025-08-01T23:32:00,1754091120,23,4,False,2086.0,34.767,Minor,1,resource,CBSCustomerServiceBalance_1528\w3wp#4,Load failures rate is high,resource,CBSCustomerServiceBalance_1528\w3wp#4,Load failures rate is high,regex,regex,host,CBSCustomerServiceBalance_1528\w3wp#4,resource,CBSCustomerServiceBalance_1528\w3wp#4
Minor,Load failures rate is high {CBSAccountingService_1568\w3wp#12},2025-08-01T23:31:00,1754091060,23,4,False,275.0,4.583,Minor,1,resource,CBSAccountingService_1568\w3wp#12,Load failures rate is high,resource,CBSAccountingService_1568\w3wp#12,Load failures rate is high,regex,regex,host,CBSAccountingService_1568\w3wp#12,resource,CBSAccountingService_1568\w3wp#12
Minor,Query is taking high CPU time on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB,2025-08-01T23:31:00,1754091060,23,4,False,20.0,0.333,Minor,1,host,Oracle,Query is taking high CPU time,host,Oracle,Query is taking high CPU time,regex,regex,oracle database,Oracle,host,Oracle
Minor,Load failures rate is high {CBSAccountingService_1568\w3wp#13},2025-08-01T23:31:00,1754091060,23,4,False,271.0,4.517,Minor,1,resource,CBSAccountingService_1568\w3wp#13,Load failures rate is high,resource,CBSAccountingService_1568\w3wp#13,Load failures rate is high,regex,regex,host,CBSAccountingService_1568\w3wp#13,resource,CBSAccountingService_1568\w3wp#13
Minor,High CPU utilization when waiting for I/O on eG_Backend_DB_DR,2025-08-01T23:31:00,1754091060,23,4,False,581.0,9.683,Minor,1,host,eG_Backend_DB_DR,High CPU utilization when waiting for I/O,host,eG_Backend_DB_DR,High CPU utilization when waiting for I/O,regex,regex,host,eG_Backend_DB_DR,host,eG_Backend_DB_DR
