,original_index,text,label,cleaned_text
19,4359,မ ပဲ မ စောက်လုပ်ရှုပ် မ,ab,မ ပဲ မ စောက်လုပ်ရှုပ် မ
20,4100,mmsp သုတ်ကြောင် AKရိုက်,ab,mmsp သုတ်ကြောင် AKရိုက်
21,2940,ပြီး ရင် ပြော ဦး မယ် ဒီ နိုင်ငံ က လူ ၁၀၀ မှာ ၉၉.၉၉ ပြော နေကျ စကား အတိုက်ခိုက် ခံ ရ တယ် တို့ လိုက် တိုက်ခိုက် နေ တယ် တို့ နေပုံထိုင်ပုံ မ တတ် တာ တင် မ ဟုတ် ဘဲ ပြောပုံဆိုပုံ က အစ တလွဲ အကို တို့ နိုင်ငံရေး တဲ့ ဦးနှောက် ထဲ ဘာ များ ထည့် ထား ပြီး နှလုံးသား က ဘာ တွေ နဲ့ ပြည့် နေ လဲ သူ ကိုယ်တိုင် ပဲ သိ လိမ့် မယ်,no,ပြီး ရင် ပြော ဦး မယ် ဒီ နိုင်ငံ လူ ၁၀၀ မှာ ၉၉.၉၉ ပြော နေကျ စကား အတိုက်ခိုက် ခံ ရ တယ် လိုက် တိုက်ခိုက် နေ တယ် နေပုံထိုင်ပုံ မ တတ် တာ တင် မ ဟုတ် ဘဲ ပြောပုံဆိုပုံ အစ တလွဲ အကို နိုင်ငံရေး တဲ့ ဦးနှောက် ထဲ ဘာ ထည့် ထား ပြီး နှလုံးသား ဘာ တွေ နဲ့ ပြည့် နေ လဲ သူ ကိုယ်တိုင် ပဲ သိ လိမ့် မယ်
22,2868,ခွေးစစ်အုပ်စု အကြမ်းဖက် ပဲ မကောင်းဆိုးဝါး စစ်မိတ္ဆာ ဘီးလူး သရဲ ပစ် စစ်ခွေး,po,ခွေးစစ်အုပ်စု အကြမ်းဖက် ပဲ မကောင်းဆိုးဝါး စစ်မိတ္ဆာ ဘီးလူး သရဲ ပစ် စစ်ခွေး
23,161,လုပ် နလဗိန်းတုံး ပဲ,po,လုပ် နလဗိန်းတုံး ပဲ
24,3809,အသားအရည် လှပ မျက်လုံး နဲ့ ဆံကေသာ နက်မှောင် တာ က ဘုရား မ ဟုတ် ပါ ဘူး ဗမာ ဝင် စား တာ ပါ 🤭,no,အသားအရည် လှပ မျက်လုံး နဲ့ ဆံကေသာ နက်မှောင် တာ ဘုရား မ ဟုတ် ပါ ဘူး ဗမာ ဝင် စား တာ ပါ face_with_hand_over_mouth
25,601,နင် တို့ မြို့ သူ ကြီး က မိုက် နေ ရော,no,နင် မြို့ သူ ကြီး မိုက် နေ ရော
26,6133,ိုး,ab,ိုး
27,446,ခေတ် ပျက် လူ ပျက် မင်းအောင်လှိုင် ခေတ် 🙄,no,ခေတ် ပျက် လူ ပျက် မင်းအောင်လှိုင် ခေတ် face_with_rolling_eyes
28,4498,စောက်ရူး ပဲ ထမိန်အောက်ကထွက်ကြည့်,po,စောက်ရူး ပဲ ထမိန်အောက်ကထွက်ကြည့်
29,418,လူမဆန် လုပ်စား ခွေး ငတ် ငတ် ငတ် ကလေး တုံး လုပ် လုပ် အနိုင်ကျင့် မ,po,လူမဆန် လုပ်စား ခွေး ငတ် ငတ် ငတ် ကလေး တုံး လုပ် လုပ် အနိုင်ကျင့် မ
30,1113,အနုပညာ လောက ထဲ ဝင် တာ ကြာ နေ ပြီ တဲ့ သိ တောင် မ သိ ဘူး 😎😎😎,no,အနုပညာ လောက ထဲ ဝင် တာ ကြာ နေ ပြီ တဲ့ သိ တောင် မ သိ ဘူး smiling_face_with_sunglasses smiling_face_with_sunglasses smiling_face_with_sunglasses
31,240,အင်း ပါ မင်း လည်း ပြည်သူ တွေ လို တစ် နေ့ မ ဖြစ် ဘူး လို့ မ ပြော နိုင် ဘူး ခု တော့ ပြုံးပြုံးလေး ပေါ့ ကွာ,no,အင်း ပါ မင်း လည်း ပြည်သူ တွေ လို နေ့ မ ဖြစ် ဘူး လို့ မ ပြော နိုင် ဘူး ခု တော့ ပြုံးပြုံးလေး ပေါ့ ကွာ
32,5472,ကိုယ် မ လုပ် နိုင် တောင် အမှန်တရား အသိ လေး ရှိ ပြီး နေထိုင် ရင် တောင် တန်ဖိုး ရှိ ပါ တယ် ။,no,ကိုယ် မ လုပ် နိုင် တောင် အမှန်တရား အသိ လေး ရှိ ပြီး နေထိုင် ရင် တောင် တန်ဖိုး ရှိ ပါ တယ် ။
33,4642,ကျက်သရေကိုမရှိ ဘဝင်ရူး,ab,ကျက်သရေကိုမရှိ ဘဝင်ရူး
34,6731,မအေပေး,po,မအေပေး
35,6674,ဖလမ,ab,ဖလမ
36,3082,ပဲ မအလ မှန်း မ အရူးထ ပဲ,po,ပဲ မအလ မှန်း မ အရူးထ ပဲ
37,4698,လောက် ပဲ ပဲ မအလ လက်ကိုင်တုတ်,po,လောက် ပဲ ပဲ မအလ လက်ကိုင်တုတ်
38,6652,အစ က အသံ မ ပါ ဘဲ ကြည့် လို့ နိုင်ငံခြား က ဟာ ထင် နေ တာ အသံ ဖွင့် လိုက် မှ လန့် သွား တယ် ဖင်ရိုက် တဲ့ အကွက် ကို,no,အစ အသံ မ ပါ ဘဲ ကြည့် လို့ နိုင်ငံခြား ဟာ ထင် နေ တာ အသံ ဖွင့် လိုက် လန့် သွား တယ် ဖင်ရိုက် တဲ့ အကွက် ကို
39,5585,ဒေါ့အနီ စောက်ရေးမှမပါ မ လုပ်စား လုပ် လ မ မ မ ပဲ,po,ဒေါ့အနီ စောက်ရေးမှမပါ မ လုပ်စား လုပ် လ မ မ မ ပဲ
40,2169,ဘောကိုမ,po,ဘောကိုမ
41,728,ရွံ ရွှေကြို ဘောမ မ,ab,ရွံ ရွှေကြို ဘောမ မ
42,1388,မင်းမေLo မနက်,ab,မင်းမေLo မနက်
43,5013,သတ် မသေရဲတော့ဘူးလား,po,သတ် မသေရဲတော့ဘူးလား
44,729,အိပ်မက် ထဲ မှာ တော့ ရ မယ် 😆,no,အိပ်မက် ထဲ မှာ တော့ ရ မယ် grinning_squinting_face
45,4620,NMSP မ ပထွေး မီးရှို့ ဘောမ မ,po,NMSP မ ပထွေး မီးရှို့ ဘောမ မ
46,4256,မ စား ဖြစ် တော့ ဘူး ခု နောက်ပိုင်း တခြား သူ တွေ သွား စား ချင် တယ် ဆို တောင် မ ကောင်း ဘူး ပဲ ပြော လိုက် တော့ တယ်,no,မ စား ဖြစ် တော့ ဘူး ခု နောက်ပိုင်း တခြား သူ တွေ သွား စား ချင် တယ် ဆို တောင် မ ကောင်း ဘူး ပဲ ပြော လိုက် တော့ တယ်
47,1968,Maaloe,po,Maaloe
48,695,ဖင်ချ,ab,ဖင်ချ
49,3007,သတစ အမဲရိုးကိုက် ဖျင်မှာဝဲပေါက်,ab,သတစ အမဲရိုးကိုက် ဖျင်မှာဝဲပေါက်
50,2692,မ ဦးနှောက်ကခွေးစား ဘာမဟုတ်တာကနင် ဖလမ,ab,မ ဦးနှောက်ကခွေးစား ဘာမဟုတ်တာကနင် ဖလမ
51,5121,ဘောမ,ab,ဘောမ
52,5757,လီး လုပ် တောင် ပစ် စောက်ပေါ,ab,လီး လုပ် တောင် ပစ် စောက်ပေါ
53,4760,ဖား လုပ် ကျွေး လုပ် ခံ မ တိရိစ္ဆာန်မူဝါဒ လုပ်,po,ဖား လုပ် ကျွေး လုပ် ခံ မ တိရိစ္ဆာန်မူဝါဒ လုပ်
54,5719,ခွေးမသား ကလေး တောင် သတ် ခွေးသာသာ ပဲ,po,ခွေးမသား ကလေး တောင် သတ် ခွေးသာသာ ပဲ
55,5813,မ ဟုတ် လည်း အမြဲ ပျက် နေ တာ မီတာ တောင် မ ဆောင် ဖို့ စဥ်းစား နေ တာ,no,မ ဟုတ် လည်း အမြဲ ပျက် နေ တာ မီတာ တောင် မ ဆောင် ဖို့ စဥ်းစား နေ တာ
56,3933,ကမကလ မီးရှို့တပ် Leeeတပ် ပဲ ရှို့,po,ကမကလ မီးရှို့တပ် Leeeတပ် ပဲ ရှို့
57,3665,မအလ စစ်ခွေး,po,မအလ စစ်ခွေး
58,5853,ဖြတ် ဖြတ် ကမကလ,ab,ဖြတ် ဖြတ် ကမကလ
59,572,ဘယ် ချိန် ဖြစ် တာ မ သိ လိုက် ဘူး,no,ဘယ် ချိန် ဖြစ် တာ မ သိ လိုက် ဘူး
60,5978,ပွဲ မှာ အမှတ်မထင် ဆုံ ကြ ပြန် ပြီ မင်္ဂလာ ပါ မိတ်ဆွေ 😂,no,ပွဲ မှာ အမှတ်မထင် ဆုံ ကြ ပြန် ပြီ မင်္ဂလာ ပါ မိတ်ဆွေ face_with_tears_of_joy
61,6759,အောက်တန်းကျ အဆင့်မရှိ,po,အောက်တန်းကျ အဆင့်မရှိ
62,2147,နင် လည်း နော် တော်တော် အား နေ လား မ သိ ဘူး,no,နင် လည်း နော် တော်တော် အား နေ လား မ သိ ဘူး
63,2144,လှ လိုက် တာ ဘာ ကြီး လဲ မ သိ ဘူး,no,လှ လိုက် တာ ဘာ ကြီး လဲ မ သိ ဘူး
64,5935,အထန်မ,ab,အထန်မ
65,2312,ဦးနှောက်မရှိ စောက်ပေါ ပဲ,po,ဦးနှောက်မရှိ စောက်ပေါ ပဲ
66,6426,ခွေးစစ်တပ် မ,po,ခွေးစစ်တပ် မ
67,6593,စခ ပဲ,po,စခ ပဲ
68,4690,over လုပ် ပဲ အခြောက် မျက်စိကိုနှောက် ခြောက် စပ်စလူး မ,ab,လုပ် ပဲ အခြောက် မျက်စိကိုနှောက် ခြောက် စပ်စလူး မ
69,5896,သေ,ab,သေ
70,1329,အာဏာရူး မ,po,အာဏာရူး မ
71,4448,ဒီ မှာ ကြည့် ထား,no,ဒီ မှာ ကြည့် ထား
72,312,လိ စောင်တလွဲ စောက်တပ်,po,လိ စောင်တလွဲ စောက်တပ်
73,5794,လပ်တီး,po,လပ်တီး
74,1916,တကယ့် ဟာ သူ့ အပူ မှ သူ့ အပူ နော်,no,တကယ့် ဟာ သူ့ အပူ သူ့ အပူ နော်
75,789,MaAloe မအလ ကျက်သရေအဖြာဖြာတုံး,ab,MaAloe မအလ ကျက်သရေအဖြာဖြာတုံး
76,20,ဖျက်စီး ပဲ ကောင်မ မ မ လုပ် မ ဖျက်စီး,ab,ဖျက်စီး ပဲ ကောင်မ မ မ လုပ် မ ဖျက်စီး
77,1690,ရွှေကြို ရွှေကြို မ တောင် မ ဖေloမ,ab,ရွှေကြို ရွှေကြို မ တောင် မ ဖေloမ
78,4869,လုပ် လုပ် မဲဖောက်ကံစမ်း,po,လုပ် လုပ် မဲဖောက်ကံစမ်း
79,1298,ပဲ ယား ပဲ ေ-ာက်ကြွား,ab,ပဲ ယား ပဲ ေ-ာက်ကြွား
80,771,မင်းအောင်လှိုင် ကို ဝိုင်း ချိန် ထား တဲ့ သေနတ် တွေ ရှိ နေ ပြီ ဒင်း ထိုး ကျွေး တာ များ လွန်း နေ ပြီ ကိုး မြန်မာ နိုင်ငံ မှာ အိပ်မက် ဆိုး တွေ အမက် ဆုံး က မင်းအောင်လှိုင် ပဲ ဖြစ် မယ်,no,မင်းအောင်လှိုင် ကို ဝိုင်း ချိန် ထား တဲ့ သေနတ် တွေ ရှိ နေ ပြီ ဒင်း ထိုး ကျွေး တာ လွန်း နေ ပြီ ကိုး မြန်မာ နိုင်ငံ မှာ အိပ်မက် ဆိုး တွေ အမက် ဆုံး မင်းအောင်လှိုင် ပဲ ဖြစ် မယ်
81,5656,မင်း တို့ အပြော လည်း လျှော့ ကြ ဦး ပြည်သူ တွေ ရီ ရ တာ အူ နာ နေ ပြီ,no,မင်း အပြော လည်း လျှော့ ကြ ဦး ပြည်သူ တွေ ရီ ရ တာ အူ နာ နေ ပြီ
82,994,ဘယ်လို လဲ ဟ ငါ အရမ်း ဆွံအ မိ တယ်,no,ဘယ်လို လဲ ဟ ငါ အရမ်း ဆွံအ မိ တယ်
83,5948,အသုဘ၂ကောင်,ab,အသုဘ၂ကောင်
84,3728,ရွံစရာကြီး မ,ab,ရွံစရာကြီး မ
85,6572,EPC က ပိုစ့် တင် တဲ့ ကောင် ဟာသဉာဏ် တော်တော် ထွက် တာ ပဲ တစ် မျိုး နဲ့ တစ် မျိုး မ ရိုး ရ ဘူး,no,EPC ပိုစ့် တင် တဲ့ ကောင် ဟာသဉာဏ် တော်တော် ထွက် တာ ပဲ မျိုး နဲ့ မျိုး မ ရိုး ရ ဘူး
86,6666,mal ဖား ဘောမ ပဲ လုပ် kmkl,ab,mal ဖား ဘောမ ပဲ လုပ် kmkl
87,4793,$ကျက်သရေတုံး ဘောမ,po,$ကျက်သရေတုံး ဘောမ
88,5299,ပဲ အကျိုး အကျိုး မ အကျိုး ပဲ မအလ,po,ပဲ အကျိုး အကျိုး မ အကျိုး ပဲ မအလ
89,1705,မှန်း စစ်ခွေး မှန်း မ မ,po,မှန်း စစ်ခွေး မှန်း မ မ
90,2306,လ ခွေးများမြူးတူး ကုန်း မ,po,လ ခွေးများမြူးတူး ကုန်း မ
91,4534,ပဲ မအလ,po,ပဲ မအလ
92,944,ဒီ လူ အကြောင်း သိ ချင် ပါ က ဒီ အထဲ ဝင် ကြည့် လို့ ရ ပါ တယ်,no,ဒီ လူ သိ ချင် ပါ ဒီ အထဲ ဝင် ကြည့် လို့ ရ ပါ တယ်
93,1704,ဟာမ လင် လု မယားငယ် မ,ab,ဟာမ လင် လု မယားငယ် မ
94,2602,စောက်ဗလ ပဲ မ မ စောက်ပို မ လွတ် ပဲ,ab,စောက်ဗလ ပဲ မ မ စောက်ပို မ လွတ် ပဲ
95,3095,ဝတ် ထား တာ တွေ မိုက် တယ် Camera color ပဲ ကြောင်စီစီ ဖြစ် နေ တာ,no,ဝတ် ထား တာ တွေ မိုက် တယ် Camera color ပဲ ကြောင်စီစီ ဖြစ် နေ တာ
96,2448,လူလိုမသိ ချီးဦးနှောက် ဉာဏ်မမှီ မ မုန်း သူတောင်းစား ရွံ မုန်း အန်ချင် ပဲ,ab,လူလိုမသိ ချီးဦးနှောက် ဉာဏ်မမှီ မ မုန်း သူတောင်းစား ရွံ မုန်း အန်ချင် ပဲ
97,5266,မအလ စောက်ရှက်,ab,မအလ စောက်ရှက်
98,4740,ခရေပေး မ ဖင်ဂေါင်းယား,ab,ခရေပေး မ ဖင်ဂေါင်းယား
99,1421,ခွေး ကလေး tay လု မ တောင် ရိုက် ots,ab,ခွေး ကလေး tay လု မ တောင် ရိုက် ots
100,2191,အောက်စွဲ ဘောမ လုပ်,po,အောက်စွဲ ဘောမ လုပ်
101,347,ရိုင်းပြ,ab,ရိုင်းပြ
102,3604,သူများ ပေါ် စေတနာ ထား လုပ် ပေး ကြ လို့ မ ရ ဘူး လား ဟင် အမ တို့ က,no,သူများ ပေါ် စေတနာ ထား လုပ် ပေး ကြ လို့ မ ရ ဘူး လား ဟင် အမ
103,5792,အဆင့်မရှိ အောက်တန်းကျ မ ရွှီး မ,po,အဆင့်မရှိ အောက်တန်းကျ မ ရွှီး မ
104,382,ခွေးသား ခွေး လောက် တောင် စောက်ဆင့် မ,ab,ခွေးသား ခွေး လောက် တောင် စောက်ဆင့် မ
105,294,အရင် လို အသီးအရွက် တွေ စား ပြ ပါ ဦး,no,အရင် လို အသီးအရွက် တွေ စား ပြ ပါ ဦး
106,3340,မ ပဲ ဖင်နဲ့မွေးထုတ် မအလ ဂျပု,po,မ ပဲ ဖင်နဲ့မွေးထုတ် မအလ ဂျပု
107,4763,ခွေးရူး ခွေးမိုက် ခွေးဘီလူး မ,po,ခွေးရူး ခွေးမိုက် ခွေးဘီလူး မ
108,3320,စောက်ရေးမရ ပဲ,ab,စောက်ရေးမရ ပဲ
109,5274,မအယ်ယိုး $သခေါမ လင် $ဂျပု ကမကလ ပဲ,po,မအယ်ယိုး $သခေါမ လင် $ဂျပု ကမကလ ပဲ
110,2611,ခွေးကောင် မ ပဲ မ,po,ခွေးကောင် မ ပဲ မ
111,486,ကာချုပ် အပြောင်းလဲ လုပ် ဖို့ ကော မ ရှိ ဘူး လား 😉 😉,no,ကာချုပ် အပြောင်းလဲ လုပ် ဖို့ ကော မ ရှိ ဘူး လား winking_face winking_face
112,220,ပဒက် မ tတ် ပဒက် myoပြုတ်,po,ပဒက် မ tတ် ပဒက် myoပြုတ်
113,4923,အောက်တန်းစား ခွဲ ဆဲ မ ဖလမ ဖခ ခွေးမသား ခွေးမ လောက် သေကျေ နဖူးထိပ်ကိုကျည်လာ ကြီးမိုက်,po,အောက်တန်းစား ခွဲ ဆဲ မ ဖလမ ဖခ ခွေးမသား ခွေးမ လောက် သေကျေ နဖူးထိပ်ကိုကျည်လာ ကြီးမိုက်
114,4061,မိုက်ရိုင်း ကလေး အပေါက်ဆိုး ရွံ,ab,မိုက်ရိုင်း ကလေး အပေါက်ဆိုး ရွံ
115,996,မ မအေလိုး,po,မ မအေလိုး
116,3768,စခ အကောင် မယင ပဲ,ab,စခ အကောင် မယင ပဲ
117,5272,ကလေး $မြင်ကတ်,ab,ကလေး $မြင်ကတ်
118,1371,မ ငါလိုးမသား,ab,မ ငါလိုးမသား
119,2483,ပါးချ,ab,ပါးချ
120,4465,သမ္မတရူး ခွေးနဲ့ပါးချပ်မဟပ်,po,သမ္မတရူး ခွေးနဲ့ပါးချပ်မဟပ်
121,1476,မ စောက်ဖုန်း ပဲ ပွတ်,ab,မ စောက်ဖုန်း ပဲ ပွတ်
122,626,လခွမ်း သောက်ပိန်း ကန်း,po,လခွမ်း သောက်ပိန်း ကန်း
123,5819,လူယုတ်မာ,po,လူယုတ်မာ
124,3301,သာကူး ချီးဒုတ် လုပ်စား နိုင်ငံရေးသမား,po,သာကူး ချီးဒုတ် လုပ်စား နိုင်ငံရေးသမား
125,601,နင် တို့ မြို့ သူ ကြီး က မိုက် နေ ရော,no,နင် မြို့ သူ ကြီး မိုက် နေ ရော
126,1073,မ စခ ပဲ သတ်,po,မ စခ ပဲ သတ်
127,337,Sကောင်မ ကျက်သတုံး မ တန်ဖိုးမရှိတဲ့ဟာ မ ဆန်ကုန်မြေလေး မ,ab,Sကောင်မ ကျက်သတုံး မ တန်ဖိုးမရှိတဲ့ဟာ မ ဆန်ကုန်မြေလေး မ
128,3574,လူ အများ ရှိ တဲ့ နေရာ မ လုပ် သင့် ပါ ဘူး ဟာ,no,လူ အများ ရှိ တဲ့ နေရာ မ လုပ် သင့် ပါ ဘူး ဟာ
129,5864,ဖေယိုးမ သုတ်ကြောင် မ ခွေး လိုး ခံ,ab,ဖေယိုးမ သုတ်ကြောင် မ ခွေး လိုး ခံ
130,3481,အပို တွေ ပါ ဟယ် ငါ တို့ တုန်း က ကာယ ချိန် မြက် ချည်း နှုတ် ခိုင်း တယ် ကျောင်း စောင့် ဦး လေး ကြီး က ကျ အိပ် နေ ပြီး 😀 😝😝😝😝😝,no,အပို တွေ ပါ ဟယ် ငါ တုန်း ကာယ ချိန် မြက် ချည်း နှုတ် ခိုင်း တယ် ကျောင်း စောင့် ဦး လေး ကြီး ကျ အိပ် နေ ပြီး grinning_face squinting_face_with_tongue squinting_face_with_tongue squinting_face_with_tongue squinting_face_with_tongue squinting_face_with_tongue
131,322,ကျန် တဲ့ သူ က သူ ဖြစ် မှာ ပေါ့ တစ် ယောက် ကျန် သေး တာ ကို,no,ကျန် တဲ့ သူ သူ ဖြစ် မှာ ပေါ့ ယောက် ကျန် သေး တာ ကို
132,218,လ သောက်ဆန်းကြီး မ စောက်ရှက် မ မ မ ပဲ ငါလူးမ,po,လ သောက်ဆန်းကြီး မ စောက်ရှက် မ မ မ ပဲ ငါလူးမ
133,1982,အမ ရယ် ဒီ လို ယောကျာ်း မျိုး နဲ့ ကွဲ သွား တာ လည်း ကောင်း ပါ တယ် အမ အစား ဟို မိန်းမ က ခံ ပေး နေ တယ် သာ သဘောထား 😆 မိန်းမ တစ် ယောက် က ယောက်ျား ရဲ့ ဖောက်ပြန် တာ ခံ ရ လို့ စိတ်ညစ် နေ တာ ကို သူ့ ဖက် က ပြန် ပြော တာ တွေ ဖတ် ပြီး ဘယ်လို လူစား လဲ တန်း သိ ရ တယ် ကွဲ လိုက် တာ တကယ် ဝမ်းသာ တယ် နိုင်ငံခြား မှာ သူ့ ထက် သာ တဲ့ သူ နဲ့ အမြန်ဆုံး ဆုံတွေ့ နိုင် ပါ စေ,no,အမ ရယ် ဒီ လို ယောကျာ်း မျိုး နဲ့ ကွဲ သွား တာ လည်း ကောင်း ပါ တယ် အမ အစား ဟို မိန်းမ ခံ ပေး နေ တယ် သာ သဘောထား grinning_squinting_face မိန်းမ ယောက် ယောက်ျား ရဲ့ ဖောက်ပြန် တာ ခံ ရ လို့ စိတ်ညစ် နေ တာ ကို သူ့ ဖက် ပြန် ပြော တာ တွေ ဖတ် ပြီး ဘယ်လို လူစား လဲ တန်း သိ ရ တယ် ကွဲ လိုက် တာ တကယ် ဝမ်းသာ တယ် နိုင်ငံခြား မှာ သူ့ ထက် သာ တဲ့ သူ နဲ့ အမြန်ဆုံး ဆုံတွေ့ နိုင် ပါ စေ
134,878,သုတ်ကြောင် မ,ab,သုတ်ကြောင် မ
135,5013,သတ် မသေရဲတော့ဘူးလား,po,သတ် မသေရဲတော့ဘူးလား
136,2868,ခွေးစစ်အုပ်စု အကြမ်းဖက် ပဲ မကောင်းဆိုးဝါး စစ်မိတ္ဆာ ဘီးလူး သရဲ ပစ် စစ်ခွေး,po,ခွေးစစ်အုပ်စု အကြမ်းဖက် ပဲ မကောင်းဆိုးဝါး စစ်မိတ္ဆာ ဘီးလူး သရဲ ပစ် စစ်ခွေး
137,5923,မိဂေါင်း-င်ခံ,ab,မိဂေါင်း-င်ခံ
138,4781,စောက်ထင်ကြီး မ မ တောင် မ,ab,စောက်ထင်ကြီး မ မ တောင် မ
139,2846,စောက်ပို အေနိုး,ab,စောက်ပို အေနိုး
140,3345,ပဲ ဘောမ ဘောမ လောက် ပဲ ဖင်ကုန်း မ,po,ပဲ ဘောမ ဘောမ လောက် ပဲ ဖင်ကုန်း မ
141,1121,အော်ဂလီဆန်,ab,အော်ဂလီဆန်
142,3260,စောက်ပို မ သတ် ပဲ,po,စောက်ပို မ သတ် ပဲ
143,4548,မိဘ ဆီ က ရော မောင်နှမ တွေ ဆီ က ရော ဆရာ ဆရာမ တွေ ဆီ က ရော လက်ဖြန့် တောင်း နေ ရ တာ 🥹,no,မိဘ ဆီ ရော မောင်နှမ တွေ ဆီ ရော ဆရာ ဆရာမ တွေ ဆီ ရော လက်ဖြန့် တောင်း နေ ရ တာ face_holding_back_tears
144,3713,လုပ်,ab,လုပ်
145,1160,လီး လောက် စောက်ကြီးစောက်ကျယ်,ab,လီး လောက် စောက်ကြီးစောက်ကျယ်
146,1972,မ လုပ် စပ ပဲ,po,မ လုပ် စပ ပဲ
147,3504,$ရူး,ab,$ရူး
148,510,$ရှက်ခွဲ မ လုပ် $ဟာမ မ,ab,$ရှက်ခွဲ မ လုပ် $ဟာမ မ
149,4598,မဖြိုး ရေ လူ ဘာ မှ မ ဖြစ် လို့ တော်သေး နော် မ တန် လိုက် တာ အဲ့လို မျိုး နဲ့ ရိုက် ခံ လိုက် ရ တာ,no,မဖြိုး ရေ လူ ဘာ မ ဖြစ် လို့ တော်သေး နော် မ တန် လိုက် တာ အဲ့လို မျိုး နဲ့ ရိုက် ခံ လိုက် ရ တာ
150,1338,ငါ့လိုးမ စောက်ပေါ အာဏာရူး မ,po,ငါ့လိုးမ စောက်ပေါ အာဏာရူး မ
151,5960,အရောင် ဆိုး စေ တယ် ဆို တာ သိ သလား,no,အရောင် ဆိုး စေ တယ် ဆို တာ သိ သလား
152,1450,Kmkl leeee kmkl lee,ab,Kmkl leeee kmkl lee
153,2310,စပတ် ပဲ,ab,စပတ် ပဲ
154,4936,မ ပူ နဲ့ သူ တို့ က ကံကောင်း တယ် သူ တို့ ဆီ မှာ မြန်မာ က လို အရာရာ လိုက် ဖျက်စီး နေ တဲ့ အကြမ်းဖက် သူပုန် တွေ မ ရှိ ဘူး,no,မ ပူ နဲ့ သူ ကံကောင်း တယ် သူ ဆီ မှာ မြန်မာ လို အရာရာ လိုက် ဖျက်စီး နေ တဲ့ အကြမ်းဖက် သူပုန် တွေ မ ရှိ ဘူး
155,2839,ပဲ ပဲ ခွေးမျိုး လုပ်,po,ပဲ ပဲ ခွေးမျိုး လုပ်
156,476,လီး မ ငါလိုးမ,ab,လီး မ ငါလိုးမ
157,4888,ခု မှ ပဲ အား ရှိ တော့ တယ် အမ ရယ် အဖော် ရ သွား ပြီ မ လို့ 😁,no,ခု ပဲ အား ရှိ တော့ တယ် အမ ရယ် အဖော် ရ သွား ပြီ မ လို့ beaming_face_with_smiling_eyes
158,4008,မယားကြီး မယားငယ် အိပ်ဆေးခတ် xာခန်း သလော်,ab,မယားကြီး မယားငယ် အိပ်ဆေးခတ် xာခန်း သလော်
159,2760,စပစား ဖော်လော်မော် မသော်မော်,ab,စပစား ဖော်လော်မော် မသော်မော်
