text,label,original_index,cleaned_text
မ သိ လို့ မေး ပါရစေ ဂေါင်းကြီး တို့ ရေ အခု ကော လာ ရ မယ့် အချိန် တွေ မှာ မီး ပျက် တာ က ဘာ ဖြစ် လို့ လဲ မ သိ ရင် 24 နာရီ လုံး မီး ပေး ထား ပြီး အခု မှာ ခဏတစ်ဖြုတ် ဖျက် သလို ပြော နေ တယ် နော် မနက် ဆို မီး မ လာ ည ဆို မီး ပျက် အခု လည်း ဖြစ် နေ တာ ပဲ လေ ဂေါင်းကြီး တွေ ရာ 🤣,ab,3249,မ သိ လို့ မေး ပါရစေ ဂေါင်းကြီး ရေ အခု ကော လာ ရ မယ့် အချိန် တွေ မှာ မီး ပျက် တာ ဘာ ဖြစ် လို့ လဲ မ သိ ရင် 24 နာရီ လုံး မီး ပေး ထား ပြီး အခု မှာ ခဏတစ်ဖြုတ် ဖျက် သလို ပြော နေ တယ် နော် မနက် ဆို မီး မ လာ ည ဆို မီး ပျက် အခု လည်း ဖြစ် နေ တာ ပဲ လေ ဂေါင်းကြီး တွေ ရာ rolling_on_the_floor_laughing
ပန်းပန် တာ ကျ တော့ ဖမ်း တယ် စောက်ဟာကြီး ပေါ် တာ ကျ တော့ စောက်ငန်းထ နေ ကြ တယ် လိုက် ပါ တယ် နင် တို့ ခေတ်,ab,4068,ပန်းပန် တာ ကျ တော့ ဖမ်း တယ် စောက်ဟာကြီး ပေါ် တာ ကျ တော့ စောက်ငန်းထ နေ ကြ တယ် လိုက် ပါ တယ် နင် ခေတ်
ကိုယ့် ထမင်း ကိုယ် စား ပြီး သူများ ဘောကိုမ နေ ကြ ပါ တယ်,po,2169,ကိုယ့် ထမင်း ကိုယ် စား ပြီး သူများ ဘောကိုမ နေ ကြ ပါ တယ်
အဲ့လို ပဲ တိုးတက် ဖို့ ထက် ကိုယ့် ဖို့ ကြည့် တဲ့ မALoeတပ် က ကောင် တွေ,po,6125,အဲ့လို ပဲ တိုးတက် ဖို့ ထက် ကိုယ့် ဖို့ ကြည့် တဲ့ မALoeတပ် ကောင် တွေ
ဖွတ် 😃 ဖွတ် ခြင်း ကုတ် ခိုင်း တော့ သွေး ထွက် တာ ပဲ ရှိ မှာ ပေါ့ မအလ ရယ်,po,4534,ဖွတ် grinning_face_with_big_eyes ဖွတ် ခြင်း ကုတ် ခိုင်း တော့ သွေး ထွက် တာ ပဲ ရှိ မှာ ပေါ့ မအလ ရယ်
စစ်တပ် က ရွေးချယ် ထား တဲ့ အမတ် တွေ ပါ နေ မှ တော့ ဘယ် လွယ် မ လဲ လေ,no,133,စစ်တပ် ရွေးချယ် ထား တဲ့ အမတ် တွေ ပါ နေ တော့ ဘယ် လွယ် မ လဲ လေ
အောက်တန်းစား စိတ်ဓာတ် တွေ ဖာဆန် တဲ့ လုပ်ရပ် နဲ့ အတွေး တွေ,ab,5762,အောက်တန်းစား စိတ်ဓာတ် တွေ ဖာဆန် တဲ့ လုပ်ရပ် နဲ့ အတွေး တွေ
အရှေ့ဒဂုံ မ ပါ လည်း ပျက် ပါ လည်း ပျက် နဲ့ အခု လည်း ပျက် နေ တာ ပါ ပဲ တင် မ နေ နဲ့ စောက်လုပ်ရှုပ် တယ် ပြီး ရင် ဟုတ် တာ လည်း မ ဟုတ် ဘူး,ab,4359,အရှေ့ဒဂုံ မ ပါ လည်း ပျက် ပါ လည်း ပျက် နဲ့ အခု လည်း ပျက် နေ တာ ပါ ပဲ တင် မ နေ နဲ့ စောက်လုပ်ရှုပ် တယ် ပြီး ရင် ဟုတ် တာ လည်း မ ဟုတ် ဘူး
mmsp သုတ်ကြောင် ကောင် သီချင်း ဆို နေ တာ လား AKရိုက် နေ တာ လား 🙂,ab,4100,mmsp သုတ်ကြောင် ကောင် သီချင်း ဆို နေ တာ လား AKရိုက် နေ တာ လား slightly_smiling_face
ပြီး ရင် ပြော ဦး မယ် ဒီ နိုင်ငံ က လူ ၁၀၀ မှာ ၉၉.၉၉ ပြော နေကျ စကား အတိုက်ခိုက် ခံ ရ တယ် တို့ လိုက် တိုက်ခိုက် နေ တယ် တို့ နေပုံထိုင်ပုံ မ တတ် တာ တင် မ ဟုတ် ဘဲ ပြောပုံဆိုပုံ က အစ တလွဲ အကို တို့ နိုင်ငံရေး တဲ့ ဦးနှောက် ထဲ ဘာ များ ထည့် ထား ပြီး နှလုံးသား က ဘာ တွေ နဲ့ ပြည့် နေ လဲ သူ ကိုယ်တိုင် ပဲ သိ လိမ့် မယ်,no,2940,ပြီး ရင် ပြော ဦး မယ် ဒီ နိုင်ငံ လူ ၁၀၀ မှာ ၉၉.၉၉ ပြော နေကျ စကား အတိုက်ခိုက် ခံ ရ တယ် လိုက် တိုက်ခိုက် နေ တယ် နေပုံထိုင်ပုံ မ တတ် တာ တင် မ ဟုတ် ဘဲ ပြောပုံဆိုပုံ အစ တလွဲ အကို နိုင်ငံရေး တဲ့ ဦးနှောက် ထဲ ဘာ ထည့် ထား ပြီး နှလုံးသား ဘာ တွေ နဲ့ ပြည့် နေ လဲ သူ ကိုယ်တိုင် ပဲ သိ လိမ့် မယ်
ခွေးစစ်အုပ်စု ဝါဒ ဖြန့် သက်သက် သာ လက်နက်ကိုင် အချင်းချင်း သွေးခွဲ ပါတီ အချင်းချင်း သွေးခွဲ ပြည်သူ အချင်းချင်း ကြား သွေးခွဲ သူလျှို ဒင်း တို့ စစ် အကြမ်းဖက် အုပ်စု က ဒီ လို ပဲ နှစ် ပေါင်း များစွာ ပြည်သူ နဲ့ အခြား လက်နက်ကိုင် များ ကို သွေးခွဲ အုပ်ချူပ် လာ တာ ဒါ ကြောင့် ဒီ မကောင်းဆိုးဝါး စစ်မိတ္ဆာ ဘီးလူး သရဲ တွေ ကို ဗမာ့ မြေ ပေါ် က နေ အပြီးတိုင် ဖယ်ရှား ပစ် မှ နိုင်ငံ အေးချမ်း မယ် စစ်ခွေး နိဂုံး 23,po,2868,ခွေးစစ်အုပ်စု ဝါဒ ဖြန့် သက်သက် သာ လက်နက်ကိုင် အချင်းချင်း သွေးခွဲ ပါတီ အချင်းချင်း သွေးခွဲ ပြည်သူ အချင်းချင်း ကြား သွေးခွဲ သူလျှို ဒင်း စစ် အကြမ်းဖက် အုပ်စု ဒီ လို ပဲ နှစ် ပေါင်း များစွာ ပြည်သူ နဲ့ အခြား လက်နက်ကိုင် ကို သွေးခွဲ အုပ်ချူပ် လာ တာ ဒါ ကြောင့် ဒီ မကောင်းဆိုးဝါး စစ်မိတ္ဆာ ဘီးလူး သရဲ တွေ ကို ဗမာ့ မြေ ပေါ် နေ အပြီးတိုင် ဖယ်ရှား ပစ် နိုင်ငံ အေးချမ်း မယ် စစ်ခွေး နိဂုံး 23
ကိုယ် လုပ် မှ ကိုယ် စား ရ တယ် ဆို တဲ့ နလဗိန်းတုံး တွေ ပဲ ပျော် နေ ကြ တာ,po,161,ကိုယ် လုပ် ကိုယ် စား ရ တယ် ဆို တဲ့ နလဗိန်းတုံး တွေ ပဲ ပျော် နေ ကြ တာ
အသားအရည် လှပ မျက်လုံး နဲ့ ဆံကေသာ နက်မှောင် တာ က ဘုရား မ ဟုတ် ပါ ဘူး ဗမာ ဝင် စား တာ ပါ 🤭,no,3809,အသားအရည် လှပ မျက်လုံး နဲ့ ဆံကေသာ နက်မှောင် တာ ဘုရား မ ဟုတ် ပါ ဘူး ဗမာ ဝင် စား တာ ပါ face_with_hand_over_mouth
နင် တို့ မြို့ သူ ကြီး က မိုက် နေ ရော,no,601,နင် မြို့ သူ ကြီး မိုက် နေ ရော
ဖေတစ်ရာ- ိုး တွေ ပေါင်း မိ သောအခါ,ab,6133,ဖေတစ်ရာ- ိုး တွေ ပေါင်း မိ သောအခါ
ခေတ် ပျက် လူ ပျက် မင်းအောင်လှိုင် ခေတ် 🙄,no,446,ခေတ် ပျက် လူ ပျက် မင်းအောင်လှိုင် ခေတ် face_with_rolling_eyes
စောက်ရူး ပဲ စုကြည် ထမိန်အောက်ကထွက်ကြည့် မှ အမှန် မြင် မယ်,po,4498,စောက်ရူး ပဲ စုကြည် ထမိန်အောက်ကထွက်ကြည့် အမှန် မြင် မယ်
အရမ်း ကို လူမဆန် တာ ဒါ ဘာသာ ရေး အမည်ခံ ပြီး စီးပွား ရေး လုပ်စား နေ တာ ဘာ လို့ လဲ သိ လား ခွေး အာဏာ သိမ်း တော့ အရာရာ စျေး တွေ ၃ ဆ တက် နေ ပြီး လူ တွေ ငတ် လာ ကြ လို့ အရင် ငတ် တာ ထက် ၃ ဆ ပို ငတ် လာ ကြ လို့ ကလေး တွေ ကို ဘာသာ ရေး ခု တုံး လုပ် ပြီး စီးပွား ရေး လုပ် အနိုင်ကျင့် နေ တာ 😡 မ ရ ရ တဲ့ နည်း နဲ့ ပိုက်ဆံ ရှာ နေ တာ,po,418,အရမ်း ကို လူမဆန် တာ ဒါ ဘာသာ ရေး အမည်ခံ ပြီး စီးပွား ရေး လုပ်စား နေ တာ ဘာ လို့ လဲ သိ လား ခွေး အာဏာ သိမ်း တော့ အရာရာ စျေး တွေ ၃ ဆ တက် နေ ပြီး လူ တွေ ငတ် လာ ကြ လို့ အရင် ငတ် တာ ထက် ၃ ဆ ပို ငတ် လာ ကြ လို့ ကလေး တွေ ကို ဘာသာ ရေး ခု တုံး လုပ် ပြီး စီးပွား ရေး လုပ် အနိုင်ကျင့် နေ တာ enraged_face မ ရ ရ တဲ့ နည်း နဲ့ ပိုက်ဆံ ရှာ နေ တာ
အနုပညာ လောက ထဲ ဝင် တာ ကြာ နေ ပြီ တဲ့ သိ တောင် မ သိ ဘူး 😎😎😎,no,1113,အနုပညာ လောက ထဲ ဝင် တာ ကြာ နေ ပြီ တဲ့ သိ တောင် မ သိ ဘူး smiling_face_with_sunglasses smiling_face_with_sunglasses smiling_face_with_sunglasses
အင်း ပါ မင်း လည်း ပြည်သူ တွေ လို တစ် နေ့ မ ဖြစ် ဘူး လို့ မ ပြော နိုင် ဘူး ခု တော့ ပြုံးပြုံးလေး ပေါ့ ကွာ,no,240,အင်း ပါ မင်း လည်း ပြည်သူ တွေ လို နေ့ မ ဖြစ် ဘူး လို့ မ ပြော နိုင် ဘူး ခု တော့ ပြုံးပြုံးလေး ပေါ့ ကွာ
ကိုယ် မ လုပ် နိုင် တောင် အမှန်တရား အသိ လေး ရှိ ပြီး နေထိုင် ရင် တောင် တန်ဖိုး ရှိ ပါ တယ် ။,no,5472,ကိုယ် မ လုပ် နိုင် တောင် အမှန်တရား အသိ လေး ရှိ ပြီး နေထိုင် ရင် တောင် တန်ဖိုး ရှိ ပါ တယ် ။
ကိုယ့် အရည်အချင်း နဲ့ ကိုယ် တခြား မှာ ပြိုင် ကြ စမ်း ပါ ကြည့် ရ တာ ကျက်သရေကိုမရှိ ဘူး ဘဝင်ရူး ဒိုင် တွေ,ab,4642,ကိုယ့် အရည်အချင်း နဲ့ ကိုယ် တခြား မှာ ပြိုင် ကြ စမ်း ပါ ကြည့် ရ တာ ကျက်သရေကိုမရှိ ဘူး ဘဝင်ရူး ဒိုင် တွေ
ထုံးစံ တိုင်း ဆက်ကြေး နေ မှာ ပေါ့ မအေပေး တွေ,po,6731,ထုံးစံ တိုင်း ဆက်ကြေး နေ မှာ ပေါ့ မအေပေး တွေ
ငါ တို့ ကို စိတ် ဒုက္ခ ပေး တဲ့ သူ ထဲ မှာ အဲ့ ဖလမ လည်း ပါ တယ်,ab,6674,ငါ ကို စိတ် ဒုက္ခ ပေး တဲ့ သူ ထဲ မှာ အဲ့ ဖလမ လည်း ပါ တယ်
အော် တို့ နိုင်ငံ ရဲ့ စစ်တပ် က တော့ နိုင်ငံတကာ ရဲ့ ဥပမာ ပေး စရာ ကို ဖြစ် နေ ပြီ ဒါ လည်း ပဲ မအလ တို့ ခေါင်းကြီးပိုင်း တစ် စု က တော့ ရှက် ရ ကောင်း မှန်း မ သိ ကြ သေး ဘူး အရူးထ လို့ ကောင်း နေ ကြ တုန်း ပဲ,po,3082,အော် နိုင်ငံ ရဲ့ စစ်တပ် တော့ နိုင်ငံတကာ ရဲ့ ဥပမာ ပေး စရာ ကို ဖြစ် နေ ပြီ ဒါ လည်း ပဲ မအလ ခေါင်းကြီးပိုင်း စု တော့ ရှက် ရ ကောင်း မှန်း မ သိ ကြ သေး ဘူး အရူးထ လို့ ကောင်း နေ ကြ တုန်း ပဲ
လူ့ ဘဝ သက်တမ်း တစ်ဝက် လောက် က မင်း တို့ ကို မေတ္တာပို့ နေ ရ တာ နဲ့ ကုန် ခဲ့ တာ ပဲ ကိုယ့် ဟာ ကိုယ် အဖြစ် ရှိ အောင် ပဲ ကြိုးစား ကြ ပါ ဦး မအလ ရဲ့ လက်ကိုင်တုတ် တွေ ရဲ့,po,4698,လူ့ ဘဝ သက်တမ်း တစ်ဝက် လောက် မင်း ကို မေတ္တာပို့ နေ ရ တာ နဲ့ ကုန် ခဲ့ တာ ပဲ ကိုယ့် ဟာ ကိုယ် အဖြစ် ရှိ အောင် ပဲ ကြိုးစား ကြ ပါ ဦး မအလ ရဲ့ လက်ကိုင်တုတ် တွေ ရဲ့
အစ က အသံ မ ပါ ဘဲ ကြည့် လို့ နိုင်ငံခြား က ဟာ ထင် နေ တာ အသံ ဖွင့် လိုက် မှ လန့် သွား တယ် ဖင်ရိုက် တဲ့ အကွက် ကို,no,6652,အစ အသံ မ ပါ ဘဲ ကြည့် လို့ နိုင်ငံခြား ဟာ ထင် နေ တာ အသံ ဖွင့် လိုက် လန့် သွား တယ် ဖင်ရိုက် တဲ့ အကွက် ကို
ဒေါ့အနီ တွေ ရဲ့ တော်လှန်ရေး က ဘာ စောက်ရေးမှမပါ ဘူး လို ပြော တာ ဖြစ် မယ် တကယ် လည်း ဘာ မှ မ ဟုတ် ဘူး လုပ်စား နေ ကြ တာ တပ်မတော် က နိုင်ငံသား အချင်း၂ မလို့ ညှာ နေ လို့ ၂ နှစ် ကြာ သွား တာ တကယ် လုပ် ရင် ၂ လ မ ကြာ ဘူး မ ယုံ ရင် စစ်တပ် က အပြီး ချေမှုန်း တဲ့ အချိန် ပြည်ပ နိုင်ငံ တွေ ဝင် မ စွတ် ပဲ နေ ကြည့် ပါ လား,po,5585,ဒေါ့အနီ တွေ ရဲ့ တော်လှန်ရေး ဘာ စောက်ရေးမှမပါ ဘူး လို ပြော တာ ဖြစ် မယ် တကယ် လည်း ဘာ မ ဟုတ် ဘူး လုပ်စား နေ ကြ တာ တပ်မတော် နိုင်ငံသား အချင်း၂ မလို့ ညှာ နေ လို့ ၂ နှစ် ကြာ သွား တာ တကယ် လုပ် ရင် ၂ လ မ ကြာ ဘူး မ ယုံ ရင် စစ်တပ် အပြီး ချေမှုန်း တဲ့ အချိန် ပြည်ပ နိုင်ငံ တွေ ဝင် မ စွတ် ပဲ နေ ကြည့် ပါ လား
ကိုယ့် ထမင်း ကိုယ် စား ပြီး သူများ ဘောကိုမ နေ ကြ ပါ တယ်,po,2169,ကိုယ့် ထမင်း ကိုယ် စား ပြီး သူများ ဘောကိုမ နေ ကြ ပါ တယ်
ရွံ စရာ ကြီး နင် တို့ က သာ အကယ်ဒမီ ရွှေကြို ဘာညာ ဖြစ် နေ ကြည့် မယ့် ပရိသတ် က နင် တို့ ရဲ့ ဘောမ တွေ က လွဲ ဘယ်သူ မှ မ ရှိ ဘူး နော် 😞 🙌,ab,728,ရွံ စရာ ကြီး နင် သာ အကယ်ဒမီ ရွှေကြို ဘာညာ ဖြစ် နေ ကြည့် မယ့် ပရိသတ် နင် ရဲ့ ဘောမ တွေ လွဲ ဘယ်သူ မ ရှိ ဘူး နော် disappointed_face raising_hands
မင်းမေLo မနက် 1 နာရီ က နေ ပျက် တာ နောက် ည 7 နာရီ မှ လာ တယ်,ab,1388,မင်းမေLo မနက် 1 နာရီ နေ ပျက် တာ နောက် ည 7 နာရီ လာ တယ်
သတ် ရဲ တဲ့ သူ တွေ က မသေရဲတော့ဘူးလား,po,5013,သတ် ရဲ တဲ့ သူ တွေ မသေရဲတော့ဘူးလား
အိပ်မက် ထဲ မှာ တော့ ရ မယ် 😆,no,729,အိပ်မက် ထဲ မှာ တော့ ရ မယ် grinning_squinting_face
NMSP ဘာ မ ဟုတ် တာ လဲ … စစ်ကိုင်း ကို ကြည့် .. ပထွေး တွေ နေ့စဉ် မီးရှို့ နေ တာ … ဘောမ ချင် လည်း သာသာ မ ပါ 🤮,po,4620,NMSP ဘာ မ ဟုတ် တာ လဲ … စစ်ကိုင်း ကို ကြည့် .. ပထွေး တွေ နေ့စဉ် မီးရှို့ နေ တာ … ဘောမ ချင် လည်း သာသာ မ ပါ face_vomiting
မ စား ဖြစ် တော့ ဘူး ခု နောက်ပိုင်း တခြား သူ တွေ သွား စား ချင် တယ် ဆို တောင် မ ကောင်း ဘူး ပဲ ပြော လိုက် တော့ တယ်,no,4256,မ စား ဖြစ် တော့ ဘူး ခု နောက်ပိုင်း တခြား သူ တွေ သွား စား ချင် တယ် ဆို တောင် မ ကောင်း ဘူး ပဲ ပြော လိုက် တော့ တယ်
အန်တီ ရေ သား တို့ ကို လည်း ကယ် ပါ ဦး လို့ မြင့်မြတ် တဲ့ ဖေဖေ့ တပ်မတော် ကြီး က ရော ဘယ် မှာ တုန်း လို့ Maaloe ရဲ့ မင့် နောက် မှာ,po,1968,အန်တီ ရေ သား ကို လည်း ကယ် ပါ ဦး လို့ မြင့်မြတ် တဲ့ ဖေဖေ့ တပ်မတော် ကြီး ရော ဘယ် မှာ တုန်း လို့ Maaloe ရဲ့ မင့် နောက် မှာ
ဇင်အောင် ဖင်ချ ချင် လို့,ab,695,ဇင်အောင် ဖင်ချ ချင် လို့
သတစ အမဲရိုးကိုက် ဖျင်မှာဝဲပေါက်,ab,3007,သတစ အမဲရိုးကိုက် ဖျင်မှာဝဲပေါက်
ဘယ် နားလည် မ လဲ နင့် ဦးနှောက်ကခွေးစား ထား တာ ကိုး ဘာမဟုတ်တာကနင် လေ ဖလမ ရဲ့,ab,2692,ဘယ် နားလည် မ လဲ နင့် ဦးနှောက်ကခွေးစား ထား တာ ကိုး ဘာမဟုတ်တာကနင် လေ ဖလမ ရဲ့
ငါ အရမ်း ချစ် ခဲ့ ရ တဲ့ ဘောမ,ab,5121,ငါ အရမ်း ချစ် ခဲ့ ရ တဲ့ ဘောမ
ပြော တော့ ရော လီး လုပ် လို့ ရ လို့ လား တွေ့ သမျှ တောင် ပစ် ရ ဦး မယ် စောက်ပေါ တွေ,ab,5757,ပြော တော့ ရော လီး လုပ် လို့ ရ လို့ လား တွေ့ သမျှ တောင် ပစ် ရ ဦး မယ် စောက်ပေါ တွေ
အထက် ဖား အောက် ဖိ လုပ် တတ် ရင် ကျွေး တာ စား ခိုင်း တာ လုပ် ခံ မ ပြော နဲ့ ဆို တဲ့ တိရိစ္ဆာန်မူဝါဒ ကို စွဲကိုင် ထား တတ် ရင် ဆရာကြီး လုပ် လို့ ရ တဲ့ စနစ်,po,4760,အထက် ဖား အောက် ဖိ လုပ် တတ် ရင် ကျွေး တာ စား ခိုင်း တာ လုပ် ခံ မ ပြော နဲ့ ဆို တဲ့ တိရိစ္ဆာန်မူဝါဒ ကို စွဲကိုင် ထား တတ် ရင် ဆရာကြီး လုပ် လို့ ရ တဲ့ စနစ်
ခွေးမသား တွေ ကလေး တောင် သတ် နေ တာ မင်း တို့ လည်း ခွေးသာသာ အဆင့် ပဲ,po,5719,ခွေးမသား တွေ ကလေး တောင် သတ် နေ တာ မင်း လည်း ခွေးသာသာ အဆင့် ပဲ
မ ဟုတ် လည်း အမြဲ ပျက် နေ တာ မီတာ တောင် မ ဆောင် ဖို့ စဥ်းစား နေ တာ,no,5813,မ ဟုတ် လည်း အမြဲ ပျက် နေ တာ မီတာ တောင် မ ဆောင် ဖို့ စဥ်းစား နေ တာ
ကမကလ မီးရှို့တပ် Leeeတပ် မီး ပဲ ရှို့ တတ် တာ ဒီ ကောင် တွေ,po,3933,ကမကလ မီးရှို့တပ် Leeeတပ် မီး ပဲ ရှို့ တတ် တာ ဒီ ကောင် တွေ
မြန်မာ ပြည် မှာ ဖြစ် သမျှ ပြဿနာ အားလုံး က ( မအလ ) စစ်ခွေး တွေ ကြောင့် ဖြစ် ရ တာ 😡😡😡😭,po,3665,မြန်မာ ပြည် မှာ ဖြစ် သမျှ ပြဿနာ အားလုံး ( မအလ ) စစ်ခွေး တွေ ကြောင့် ဖြစ် ရ တာ enraged_face enraged_face enraged_face loudly_crying_face
ဒီနေ့ ၇ ရက်နေ့ ညနေ ၅ နာရီ မှာ မီး လာ တယ် ၅ နာရီ ၂၉ မှာ မီး ဖြတ် တယ် ခု ၇ နာရီ ၅ မိနစ် ရှိ ပြီ ပြည်သူ ကို မီး ဖြတ် ပြီး စီးပွား ရေး လုပ်ငန်း ကို အောက်လမ်းနည်း နဲ့ မီး ပေး နေ တဲ့ ကမကလ တွေ,ab,5853,ဒီနေ့ ၇ ရက်နေ့ ညနေ ၅ နာရီ မှာ မီး လာ တယ် ၅ နာရီ ၂၉ မှာ မီး ဖြတ် တယ် ခု ၇ နာရီ ၅ မိနစ် ရှိ ပြီ ပြည်သူ ကို မီး ဖြတ် ပြီး စီးပွား ရေး လုပ်ငန်း ကို အောက်လမ်းနည်း နဲ့ မီး ပေး နေ တဲ့ ကမကလ တွေ
ဘယ် ချိန် ဖြစ် တာ မ သိ လိုက် ဘူး,no,572,ဘယ် ချိန် ဖြစ် တာ မ သိ လိုက် ဘူး
ပွဲ မှာ အမှတ်မထင် ဆုံ ကြ ပြန် ပြီ မင်္ဂလာ ပါ မိတ်ဆွေ 😂,no,5978,ပွဲ မှာ အမှတ်မထင် ဆုံ ကြ ပြန် ပြီ မင်္ဂလာ ပါ မိတ်ဆွေ face_with_tears_of_joy
လွှတ်တော် အမတ် တစ် ယောက် အနေနဲ့ ဖမာ့ လို့ သုံး သွား တာ အောက်တန်းကျ တယ် လို့ ခေါ် တယ် အဆင့်မရှိ,po,6759,လွှတ်တော် အမတ် ယောက် အနေနဲ့ ဖမာ့ လို့ သုံး သွား တာ အောက်တန်းကျ တယ် လို့ ခေါ် တယ် အဆင့်မရှိ
နင် လည်း နော် တော်တော် အား နေ လား မ သိ ဘူး,no,2147,နင် လည်း နော် တော်တော် အား နေ လား မ သိ ဘူး
လှ လိုက် တာ ဘာ ကြီး လဲ မ သိ ဘူး,no,2144,လှ လိုက် တာ ဘာ ကြီး လဲ မ သိ ဘူး
အထန်မ က တော့ မွှေ ပြီ,ab,5935,အထန်မ တော့ မွှေ ပြီ
စစ်တပ် က ကောင် တွေ မှန် သမျှ ကိုယ်ပိုင် ဦးနှောက်မရှိ တဲ့ စောက်ပေါ တွေ လို့ ပဲ မှတ်ယူ ထား တယ်,po,2312,စစ်တပ် ကောင် တွေ မှန် သမျှ ကိုယ်ပိုင် ဦးနှောက်မရှိ တဲ့ စောက်ပေါ တွေ လို့ ပဲ မှတ်ယူ ထား တယ်
ခွေးစစ်တပ် ကို အား မ ပေး ရင် ရ ပြီ,po,6426,ခွေးစစ်တပ် ကို အား မ ပေး ရင် ရ ပြီ
