Priority,Comp Type,Comp Name,Test,Description
Minor,SAP HANA Database,KBZ+AC0-PRD+AC0-DB+AC0-SYSDB:35015,HANA Garbage Collector Statistics, Many queued jobs on SAP HANA Database KBZ+AC0-PRD+AC0-DB+AC0-SYSDB:35015 +AHs-Volume+AF8-5+AH0-
Minor,Kubernetes Cluster,NewCoreBankingProdEnv:443,K8s Pods by Namespace, There have been many container termination failures for pod aws+AC0-guardduty+AC0-agent+AC0-mhm56 of namespace amazon+AC0-guardduty on Kubernetes Cluster NewCoreBankingProdEnv
Minor,SAP HANA Database,KBZ+AC0-PRD+AC0-DB+AC0-SYSDB:35015,HANA Locks, Average exclusive lock wait time is high on SAP HANA Database KBZ+AC0-PRD+AC0-DB+AC0-SYSDB:35015
Critical,Oracle+AF8-Gold+AF8-Gate+AF8-ex,AWSCBS+AF8-Reporting+AF8-GG,GoldGtLogTest+AF8-ex,TimeSinceLastChckPoint  +AHs-REPLICAT/RLOTNA+AH0-
Minor,SAP HANA Database,KBZ+AC0-PRD+AC0-DB+AC0-SYSDB:35015,HANA Locks, Average shared lock wait time is high on SAP HANA Database KBZ+AC0-PRD+AC0-DB+AC0-SYSDB:35015
Minor,Microsoft IIS Web,apisys+AC0-prod+AC0-zb.kbzbank.com,Memory Usage, Memory utilization is high on apisys+AC0-prod+AC0-zb.kbzbank.com
Major,Solaris,BIREPO+AF8-DB+AF8-Node+AF8-1,Disk Space, High disk space usage on /var drive of BIREPO+AF8-DB+AF8-Node+AF8-1
Minor,Solaris,BIREPO+AF8-DB+AF8-Node+AF8-1,Disk Space, High disk space usage on /var/share/sstore/repo drive of BIREPO+AF8-DB+AF8-Node+AF8-1
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle Jobs, Elapsed time of Oracle job is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle Scans, Percentage of long table scans is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Oracle Database,AWS+AF8-CBS+AF8-Reporting+AF8-DB,I/O Waits, High CPU utilization when waiting for I/O on AWS+AF8-CBS+AF8-Reporting+AF8-DB
Minor,Kubernetes Cluster,flexcube+AC0-cbs+AC0-uat+AC0-tkc:6443,K8s Pods by Namespace, There are many waiting containers in pod obic+AC0-interest+AC0-extrp+AC0-service+AC0-9cd9c45b+AC0-v7mpg of namespace javaic on Kubernetes Cluster flexcube+AC0-cbs+AC0-uat+AC0-tkc
Minor,Microsoft IIS Web,apisys+AC0-prod+AC0-zb.kbzbank.com:80,.NET CLR, Load failures rate is high +AHs-CBSCustomerServiceBalance+AF8-1528+AFw-w3wp+ACM-8+AH0-
Minor,Microsoft IIS Web,apisys+AC0-prod+AC0-zb.kbzbank.com:80,.NET CLR, Load failures rate is high +AHs-CBSCustomerServiceBalance+AF8-1528+AFw-Summary+AH0-
Minor,Microsoft IIS Web,apisys+AC0-prod+AC0-zb.kbzbank.com:80,.NET CLR, Load failures rate is high +AHs-CBSAccountingService+AF8-1568+AFw-Summary+AH0-
Minor,Microsoft IIS Web,apisys+AC0-prod+AC0-zb.kbzbank.com:80,.NET CLR, Load failures rate is high +AHs-CBSAccountingService+AF8-1568+AFw-w3wp+ACM-13+AH0-
Minor,Oracle Database on Cloud,APIRDB:1580,Oracle DataFiles, Read rate from datafile o1+AF8-mf+AF8-apidat+AF8-d+AF8-l8pozmn9+AF8-.dbf is high on Oracle Database on Cloud APIRDB:1580
Minor,AWS Cloud,p2p+AC0-sap+AC0-hana+AC0-prd,AWS EC2 Instances, Many instances have been removed recently from AWS Cloud p2p+AC0-sap+AC0-hana+AC0-prd
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle Scans, Percentage of long table scans is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Major,Oracle Database,AWS+AF8-CBS+AF8-Reporting+AF8-DB,I/O Waits, High CPU utilization when waiting for I/O on AWS+AF8-CBS+AF8-Reporting+AF8-DB
Minor,Kubernetes Cluster,NewCoreBankingProdEnv:443,K8s Pods by Namespace, Memory utilization is high for pod fluent+AC0-bit+AC0-pgv6z of namespace amazon+AC0-cloudwatch on Kubernetes Cluster NewCoreBankingProdEnv
Critical,External Web,QMS:443,HTTP, TCP connection failed when accessing the web page QMS+AC0-Portal. This is affecting External Web QMS
Critical,External Web,QMS:443,HTTP, The web page QMS+AC0-Portal is not available for external access. This is affecting External Web QMS
Minor,SAP HANA Database,KBZ+AC0-PRD+AC0-DB+AC0-SYSDB:35015,HANA Locks, Average shared lock wait time is high on SAP HANA Database KBZ+AC0-PRD+AC0-DB+AC0-SYSDB:35015
Minor,SAP HANA Database,KBZ+AC0-PRD+AC0-DB+AC0-SYSDB:35015,HANA Locks, Average exclusive lock wait time is high on SAP HANA Database KBZ+AC0-PRD+AC0-DB+AC0-SYSDB:35015
Minor,AWS Cloud,apiring+AC0-aws+AC0-prd,AWS RDS Events, Many maintenance +AHs-system+AC0-update+AH0-
Minor,AWS Cloud,apiring+AC0-aws+AC0-prd,AWS RDS Events, Many maintenance +AHs-Summary+AH0-
Minor,Oracle Database on Cloud,APIRDB:1580,Oracle DataFiles, Write rate to datafile o1+AF8-mf+AF8-apidat+AF8-d+AF8-mh25ok03+AF8-.dbf is high on Oracle Database on Cloud APIRDB:1580
Major,AWS Cloud,Apigee,AWS EC2 Instance Performance, Actual CPU credit balance is high +AHs-ap+AC0-southeast+AC0-1:+AC0-:i+AC0-04b74635ad73c1a93+AH0-
Minor,AWS Cloud,KBZT,AWS RDS Events, Many backup +AHs-Summary+AH0-
Minor,AWS Cloud,KBZT,AWS RDS Events, Many backup +AHs-db+AC0-instance+AH0-
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle Jobs, Elapsed time of Oracle job is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,AWS Cloud,Apigee,AWS EC2 Instances, Many instances have been removed recently from AWS Cloud Apigee
Minor,Oracle Cluster,dc+AC0-smv+AC0-bo1+AC0-db:1580,Oracle RAC User Connections, Many blocked connections for user SYS on Oracle Cluster dc+AC0-smv+AC0-bo1+AC0-db:1580
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle Scans, Percentage of long table scans is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Kubernetes Cluster,NewCoreBankingProdEnv:443,K8s Pods by Namespace, There are many waiting containers in pod aws+AC0-guardduty+AC0-agent+AC0-nwk7w of namespace amazon+AC0-guardduty on Kubernetes Cluster NewCoreBankingProdEnv
Minor,Oracle Database,AWS+AF8-CBS+AF8-Reporting+AF8-DB,I/O Waits, High CPU utilization when waiting for I/O on AWS+AF8-CBS+AF8-Reporting+AF8-DB
Minor,AWS Cloud,bluejay+AC0-workflow+AC0-prod,AWS RDS Events, Many maintenance +AHs-system+AC0-update+AH0-
Minor,Kubernetes Cluster,flexcube+AC0-cbs+AC0-uat+AC0-tkc:6443,K8s Pods by Namespace, There are many waiting containers in pod obic+AC0-interest+AC0-extrp+AC0-service+AC0-9cd9c45b+AC0-v7mpg of namespace javaic on Kubernetes Cluster flexcube+AC0-cbs+AC0-uat+AC0-tkc
Minor,AWS Cloud,bluejay+AC0-workflow+AC0-prod,AWS RDS Events, Many maintenance +AHs-Summary+AH0-
Minor,AWS Cloud,KBZT,AWS EC2 Instances, Many instances have been removed recently from AWS Cloud KBZT
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle SQL Workload, Query is taking high CPU time on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Microsoft IIS Web,apisys+AC0-prod+AC0-za.kbzbank.com:80,.NET CLR, Load failures rate is high +AHs-CBSAccountingService+AF8-1568+AFw-w3wp+ACM-19+AH0-
Critical,Oracle+AF8-Gold+AF8-Gate+AF8-ex,AWSCBS+AF8-Reporting+AF8-GG,GoldGtLogTest+AF8-ex, Lagging checkpoint duration is high  +AHs-REPLICAT/RLOTNH+AH0-
Critical,Kubernetes Cluster,flexcube+AC0-cbs+AC0-prod+AC0-tkc:6443,K8s Pods by Namespace, Memory utilization is high for pod prometheus+AC0-0 of namespace monitoring on Kubernetes Cluster flexcube+AC0-cbs+AC0-prod+AC0-tkc
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle Jobs, Elapsed time of Oracle job is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Major,Oracle Database,AWS+AF8-CBS+AF8-Reporting+AF8-DB,I/O Waits, High CPU utilization when waiting for I/O on AWS+AF8-CBS+AF8-Reporting+AF8-DB
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle Scans, Percentage of long table scans is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Kubernetes Cluster,NewCoreBankingProdEnv:443,K8s Pods by Namespace, There have been many container termination failures for pod aws+AC0-guardduty+AC0-agent+AC0-nwk7w of namespace amazon+AC0-guardduty on Kubernetes Cluster NewCoreBankingProdEnv
Minor,Microsoft IIS Web,apisys+AC0-prod+AC0-za.kbzbank.com:80,.NET CLR, Load failures rate is high +AHs-CBSCustomerServiceBalance+AF8-1528+AFw-w3wp+ACM-6+AH0-
Minor,Microsoft IIS Web,apisys+AC0-prod+AC0-za.kbzbank.com:80,.NET CLR, Load failures rate is high +AHs-CBSCustomerServiceBalance+AF8-1528+AFw-Summary+AH0-
Minor,Microsoft IIS Web,apisys+AC0-prod+AC0-za.kbzbank.com:80,.NET CLR, Load failures rate is high +AHs-CBSAccountingService+AF8-1568+AFw-Summary+AH0-
Minor,Microsoft IIS Web,apisys+AC0-prod+AC0-za.kbzbank.com:80,.NET CLR, Load failures rate is high +AHs-CBSCustomerServiceBalance+AF8-1528+AFw-w3wp+ACM-5+AH0-
Minor,Microsoft IIS Web,apisys+AC0-prod+AC0-za.kbzbank.com:80,.NET CLR, Load failures rate is high +AHs-CBSCustomerServiceBalance+AF8-1528+AFw-w3wp+ACM-4+AH0-
Minor,Microsoft IIS Web,apisys+AC0-prod+AC0-za.kbzbank.com:80,.NET CLR, Load failures rate is high +AHs-CBSAccountingService+AF8-1568+AFw-w3wp+ACM-12+AH0-
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle SQL Workload, Query is taking high CPU time on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Microsoft IIS Web,apisys+AC0-prod+AC0-zb.kbzbank.com:80,.NET CLR, Load failures rate is high +AHs-CBSAccountingService+AF8-1568+AFw-w3wp+ACM-13+AH0-
Minor,Oracle Database,eG+AF8-Backend+AF8-DB+AF8-DR,I/O Waits, High CPU utilization when waiting for I/O on eG+AF8-Backend+AF8-DB+AF8-DR
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDC,Oracle SGA, Execute to Parse ratio is low on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDC
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDC,Oracle Wait Class, Other waits are taking time on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDC
Minor,Oracle Database on Cloud,APIRDB:1580,Oracle DataFiles, Write rate to datafile o1+AF8-mf+AF8-apidat+AF8-d+AF8-l8rb6c8g+AF8-.dbf is high on Oracle Database on Cloud APIRDB:1580
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle Jobs, Elapsed time of Oracle job is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Major,Solaris,BIREPO+AF8-DB+AF8-Node+AF8-1,Disk Space, High disk space usage on /export/home/oracle drive of BIREPO+AF8-DB+AF8-Node+AF8-1
Minor,Oracle Database,eG+AF8-Backend+AF8-DB:1521:egrepdc,Oracle User Connections, Many blocked connections for user egurkha on Oracle Database eG+AF8-Backend+AF8-DB:1521:egrepdc
Minor,Oracle Database,eG+AF8-Backend+AF8-DB:1521:egrepdc,Oracle Sessions, Many blocked sessions on Oracle Database eG+AF8-Backend+AF8-DB:1521:egrepdc
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle Scans, Percentage of long table scans is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,SAP HANA Database,KBZ+AC0-PRD+AC0-DB+AC0-SYSDB:35015,HANA Locks, Average shared lock wait time is high on SAP HANA Database KBZ+AC0-PRD+AC0-DB+AC0-SYSDB:35015
Minor,SAP HANA Database,KBZ+AC0-PRD+AC0-DB+AC0-SYSDB:35015,HANA Locks, Average exclusive lock wait time is high on SAP HANA Database KBZ+AC0-PRD+AC0-DB+AC0-SYSDB:35015
Minor,AWS Cloud,HRIS+AF8-Prod,AWS RDS Events, Many maintenance +AHs-system+AC0-update+AH0-
Minor,AWS Cloud,HRIS+AF8-Prod,AWS RDS Events, Many maintenance +AHs-Summary+AH0-
Minor,Microsoft IIS Web,apisys+AC0-prod+AC0-zb.kbzbank.com:80,.NET CLR, Load failures rate is high +AHs-CBSAccountingService+AF8-1568+AFw-Summary+AH0-
Minor,AWS Cloud,apiring+AC0-aws+AC0-prd,AWS RDS Events, Many maintenance +AHs-system+AC0-update+AH0-
Minor,AWS Cloud,apiring+AC0-aws+AC0-prd,AWS RDS Events, Many maintenance +AHs-Summary+AH0-
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle Jobs, Elapsed time of Oracle job is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Oracle Database,ONPREM+AF8-KBZPRDSTBY+AF8-CDB:1580:KBZPRDSTBY,Oracle SGA, Buffer cache hit ratio is low on Oracle Database ONPREM+AF8-KBZPRDSTBY+AF8-CDB:1580:KBZPRDSTBY
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle Scans, Percentage of long table scans is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Kubernetes Cluster,flexcube+AC0-cbs+AC0-uat+AC0-tkc:6443,K8s Pods by Namespace, There are many waiting containers in pod obic+AC0-interest+AC0-extrp+AC0-service+AC0-9cd9c45b+AC0-lp257 of namespace javaic on Kubernetes Cluster flexcube+AC0-cbs+AC0-uat+AC0-tkc
Minor,Kubernetes Cluster,NewCoreBankingProdEnv:443,K8s Pods by Namespace, There are many waiting containers in pod aws+AC0-guardduty+AC0-agent+AC0-72896 of namespace amazon+AC0-guardduty on Kubernetes Cluster NewCoreBankingProdEnv
Critical,Kubernetes Cluster,NewCoreBankingProdEnv:443,K8s Events, Many back+AC0-off restarting failed containers on Kubernetes Cluster NewCoreBankingProdEnv
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle SQL Workload, Maximum query elapsed time is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle SQL Workload, Query is taking high CPU time on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDC,Oracle SGA, Execute to Parse ratio is low on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDC
Critical,External Web,ibanking:443,HTTP, The web page HomePage is not available for external access. This is affecting External Web ibanking
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle User Connections, Many blocked connections for user KBZREPS on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle Long Running Queries, One or more long running queries have been detected on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Critical,Kubernetes Cluster,flexcube+AC0-cbs+AC0-mig+AC0-tkc:6443,K8s Events, Many back off pulling images on Kubernetes Cluster flexcube+AC0-cbs+AC0-mig+AC0-tkc
Critical,Oracle+AF8-Gold+AF8-Gate+AF8-ex,AWSCBS+AF8-Reporting+AF8-GG,GoldGtLogTest+AF8-ex,TimeSinceLastChckPoint  +AHs-REPLICAT/RLOTNF+AH0-
Critical,Oracle+AF8-Gold+AF8-Gate+AF8-ex,AWSCBS+AF8-Reporting+AF8-GG,GoldGtLogTest+AF8-ex,TimeSinceLastChckPoint  +AHs-REPLICAT/RLOTNC+AH0-
Minor,AWS Cloud,KBZT,AWS RDS Events, Many backup +AHs-Summary+AH0-
Minor,AWS Cloud,KBZT,AWS RDS Events, Many backup +AHs-db+AC0-instance+AH0-
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle Jobs, CPU usage of Oracle job is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle Jobs, Elapsed time of Oracle job is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Kubernetes Cluster,flexcube+AC0-cbs+AC0-uat+AC0-tkc:6443,K8s Pods by Namespace, There are many waiting containers in pod obic+AC0-interest+AC0-extrp+AC0-service+AC0-9cd9c45b+AC0-v7mpg of namespace javaic on Kubernetes Cluster flexcube+AC0-cbs+AC0-uat+AC0-tkc
Minor,Kubernetes Cluster,NewCoreBankingProdEnv:443,K8s Pods by Namespace, There have been many container termination failures for pod aws+AC0-guardduty+AC0-agent+AC0-72896 of namespace amazon+AC0-guardduty on Kubernetes Cluster NewCoreBankingProdEnv
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle Scans, Percentage of long table scans is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Oracle Database,AWS+AF8-CBS+AF8-Reporting+AF8-DB,I/O Waits, High CPU utilization when waiting for I/O on AWS+AF8-CBS+AF8-Reporting+AF8-DB
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle SQL Workload, Maximum query elapsed time is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle SQL Workload, Query is taking high CPU time on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDC,Oracle SGA, Execute to Parse ratio is low on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDC
Major,AWS Cloud,flexcube+AC0-corebanking+AC0-prd,AWS Application Load Balancer, Many HTTP 5XX responses on load balancer app/flexcube+AC0-loadbalancer+AC0-prod1/dd97bd39a3f8c9b6 of AWS Cloud flexcube+AC0-corebanking+AC0-prd
Critical,Oracle Cluster,IBDB+AF8-Oracle+AF8-Rac:1580,Oracle RAC ASM Disk Space, Space usage RECOC2 is high on Oracle Cluster IBDB+AF8-Oracle+AF8-Rac:1580
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle Jobs, Elapsed time of Oracle job is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle Jobs, CPU usage of Oracle job is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle Scans, Percentage of long table scans is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Oracle Database,EYLOAN+AF8-Oracle+AF8-DB:1880:dcey,Oracle SGA, Buffer cache hit ratio is low on Oracle Database EYLOAN+AF8-Oracle+AF8-DB:1880:dcey
Major,Oracle Database,AWS+AF8-CBS+AF8-Reporting+AF8-DB,I/O Waits, High CPU utilization when waiting for I/O on AWS+AF8-CBS+AF8-Reporting+AF8-DB
Minor,Kubernetes Cluster,NewCoreBankingProdEnv:443,K8s Pods by Namespace, There are many waiting containers in pod aws+AC0-guardduty+AC0-agent+AC0-ws4b9 of namespace amazon+AC0-guardduty on Kubernetes Cluster NewCoreBankingProdEnv
Minor,SAP HANA Database,KBZ+AC0-PRD+AC0-DB+AC0-SYSDB:35015,HANA Locks, Average exclusive lock wait time is high on SAP HANA Database KBZ+AC0-PRD+AC0-DB+AC0-SYSDB:35015
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle SQL Workload, Query is taking high CPU time on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle SQL Workload, Maximum query elapsed time is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDC,Oracle SGA, Execute to Parse ratio is low on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDC
Minor,AWS Cloud,apiring+AC0-aws+AC0-prd,AWS RDS Events, Many maintenance +AHs-system+AC0-update+AH0-
Minor,AWS Cloud,HRIS+AF8-Prod,AWS RDS Events, Many maintenance +AHs-system+AC0-update+AH0-
Minor,AWS Cloud,HRIS+AF8-Prod,AWS RDS Events, Many maintenance +AHs-Summary+AH0-
Minor,AWS Cloud,apiring+AC0-aws+AC0-prd,AWS RDS Events, Many maintenance +AHs-Summary+AH0-
