original_index,text,label
2940,ပြီး ရင် ပြော ဦး မယ် ဒီ နိုင်ငံ က လူ ၁၀၀ မှာ ၉၉.၉၉ ပြော နေကျ စကား အတိုက်ခိုက် ခံ ရ တယ် တို့ လိုက် တိုက်ခိုက် နေ တယ် တို့ နေပုံထိုင်ပုံ မ တတ် တာ တင် မ ဟုတ် ဘဲ ပြောပုံဆိုပုံ က အစ တလွဲ အကို တို့ နိုင်ငံရေး တဲ့ ဦးနှောက် ထဲ ဘာ များ ထည့် ထား ပြီး နှလုံးသား က ဘာ တွေ နဲ့ ပြည့် နေ လဲ သူ ကိုယ်တိုင် ပဲ သိ လိမ့် မယ်,no
2868,ခွေးစစ်အုပ်စု အကြမ်းဖက် ပဲ မကောင်းဆိုးဝါး စစ်မိတ္ဆာ ဘီးလူး သရဲ ပစ် စစ်ခွေး,po
161,လုပ် နလဗိန်းတုံး ပဲ,po
3809,အသားအရည် လှပ မျက်လုံး နဲ့ ဆံကေသာ နက်မှောင် တာ က ဘုရား မ ဟုတ် ပါ ဘူး ဗမာ ဝင် စား တာ ပါ 🤭,no
601,နင် တို့ မြို့ သူ ကြီး က မိုက် နေ ရော,no
6133,ိုး,ab
446,ခေတ် ပျက် လူ ပျက် မင်းအောင်လှိုင် ခေတ် 🙄,no
4498,စောက်ရူး ပဲ ထမိန်အောက်ကထွက်ကြည့်,po
418,လူမဆန် လုပ်စား ခွေး ငတ် ငတ် ငတ် ကလေး တုံး လုပ် လုပ် အနိုင်ကျင့် မ,po
1113,အနုပညာ လောက ထဲ ဝင် တာ ကြာ နေ ပြီ တဲ့ သိ တောင် မ သိ ဘူး 😎😎😎,no
240,အင်း ပါ မင်း လည်း ပြည်သူ တွေ လို တစ် နေ့ မ ဖြစ် ဘူး လို့ မ ပြော နိုင် ဘူး ခု တော့ ပြုံးပြုံးလေး ပေါ့ ကွာ,no
5472,ကိုယ် မ လုပ် နိုင် တောင် အမှန်တရား အသိ လေး ရှိ ပြီး နေထိုင် ရင် တောင် တန်ဖိုး ရှိ ပါ တယ် ။,no
4642,ကျက်သရေကိုမရှိ ဘဝင်ရူး,ab
6731,မအေပေး,po
6674,ဖလမ,ab
3082,ပဲ မအလ မှန်း မ အရူးထ ပဲ,po
4698,လောက် ပဲ ပဲ မအလ လက်ကိုင်တုတ်,po
6652,အစ က အသံ မ ပါ ဘဲ ကြည့် လို့ နိုင်ငံခြား က ဟာ ထင် နေ တာ အသံ ဖွင့် လိုက် မှ လန့် သွား တယ် ဖင်ရိုက် တဲ့ အကွက် ကို,no
5585,ဒေါ့အနီ စောက်ရေးမှမပါ မ လုပ်စား လုပ် လ မ မ မ ပဲ,po
2169,ဘောကိုမ,po
728,ရွံ ရွှေကြို ဘောမ မ,ab
1388,မင်းမေLo မနက်,ab
5013,သတ် မသေရဲတော့ဘူးလား,po
729,အိပ်မက် ထဲ မှာ တော့ ရ မယ် 😆,no
4620,NMSP မ ပထွေး မီးရှို့ ဘောမ မ,po
4256,မ စား ဖြစ် တော့ ဘူး ခု နောက်ပိုင်း တခြား သူ တွေ သွား စား ချင် တယ် ဆို တောင် မ ကောင်း ဘူး ပဲ ပြော လိုက် တော့ တယ်,no
1968,Maaloe,po
695,ဖင်ချ,ab
3007,သတစ အမဲရိုးကိုက် ဖျင်မှာဝဲပေါက်,ab
2692,မ ဦးနှောက်ကခွေးစား ဘာမဟုတ်တာကနင် ဖလမ,ab
5121,ဘောမ,ab
5757,လီး လုပ် တောင် ပစ် စောက်ပေါ,ab
4760,ဖား လုပ် ကျွေး လုပ် ခံ မ တိရိစ္ဆာန်မူဝါဒ လုပ်,po
5719,ခွေးမသား ကလေး တောင် သတ် ခွေးသာသာ ပဲ,po
5813,မ ဟုတ် လည်း အမြဲ ပျက် နေ တာ မီတာ တောင် မ ဆောင် ဖို့ စဥ်းစား နေ တာ,no
3933,ကမကလ မီးရှို့တပ် Leeeတပ် ပဲ ရှို့,po
3665,မအလ စစ်ခွေး,po
5853,ဖြတ် ဖြတ် ကမကလ,ab
572,ဘယ် ချိန် ဖြစ် တာ မ သိ လိုက် ဘူး,no
5978,ပွဲ မှာ အမှတ်မထင် ဆုံ ကြ ပြန် ပြီ မင်္ဂလာ ပါ မိတ်ဆွေ 😂,no
6759,အောက်တန်းကျ အဆင့်မရှိ,po
2147,နင် လည်း နော် တော်တော် အား နေ လား မ သိ ဘူး,no
2144,လှ လိုက် တာ ဘာ ကြီး လဲ မ သိ ဘူး,no
5935,အထန်မ,ab
2312,ဦးနှောက်မရှိ စောက်ပေါ ပဲ,po
6426,ခွေးစစ်တပ် မ,po
6593,စခ ပဲ,po
4690,over လုပ် ပဲ အခြောက် မျက်စိကိုနှောက် ခြောက် စပ်စလူး မ,ab
5896,သေ,ab
1329,အာဏာရူး မ,po
4448,ဒီ မှာ ကြည့် ထား,no
312,လိ စောင်တလွဲ စောက်တပ်,po
5794,လပ်တီး,po
1916,တကယ့် ဟာ သူ့ အပူ မှ သူ့ အပူ နော်,no
789,MaAloe မအလ ကျက်သရေအဖြာဖြာတုံး,ab
20,ဖျက်စီး ပဲ ကောင်မ မ မ လုပ် မ ဖျက်စီး,ab
1690,ရွှေကြို ရွှေကြို မ တောင် မ ဖေloမ,ab
4869,လုပ် လုပ် မဲဖောက်ကံစမ်း,po
1298,ပဲ ယား ပဲ ေ-ာက်ကြွား,ab
771,မင်းအောင်လှိုင် ကို ဝိုင်း ချိန် ထား တဲ့ သေနတ် တွေ ရှိ နေ ပြီ ဒင်း ထိုး ကျွေး တာ များ လွန်း နေ ပြီ ကိုး မြန်မာ နိုင်ငံ မှာ အိပ်မက် ဆိုး တွေ အမက် ဆုံး က မင်းအောင်လှိုင် ပဲ ဖြစ် မယ်,no
5656,မင်း တို့ အပြော လည်း လျှော့ ကြ ဦး ပြည်သူ တွေ ရီ ရ တာ အူ နာ နေ ပြီ,no
994,ဘယ်လို လဲ ဟ ငါ အရမ်း ဆွံအ မိ တယ်,no
5948,အသုဘ၂ကောင်,ab
3728,ရွံစရာကြီး မ,ab
6572,EPC က ပိုစ့် တင် တဲ့ ကောင် ဟာသဉာဏ် တော်တော် ထွက် တာ ပဲ တစ် မျိုး နဲ့ တစ် မျိုး မ ရိုး ရ ဘူး,no
6666,mal ဖား ဘောမ ပဲ လုပ် kmkl,ab
4793,$ကျက်သရေတုံး ဘောမ,po
5299,ပဲ အကျိုး အကျိုး မ အကျိုး ပဲ မအလ,po
1705,မှန်း စစ်ခွေး မှန်း မ မ,po
2306,လ ခွေးများမြူးတူး ကုန်း မ,po
4534,ပဲ မအလ,po
944,ဒီ လူ အကြောင်း သိ ချင် ပါ က ဒီ အထဲ ဝင် ကြည့် လို့ ရ ပါ တယ်,no
1704,ဟာမ လင် လု မယားငယ် မ,ab
2602,စောက်ဗလ ပဲ မ မ စောက်ပို မ လွတ် ပဲ,ab
3095,ဝတ် ထား တာ တွေ မိုက် တယ် Camera color ပဲ ကြောင်စီစီ ဖြစ် နေ တာ,no
2448,လူလိုမသိ ချီးဦးနှောက် ဉာဏ်မမှီ မ မုန်း သူတောင်းစား ရွံ မုန်း အန်ချင် ပဲ,ab
5266,မအလ စောက်ရှက်,ab
4740,ခရေပေး မ ဖင်ဂေါင်းယား,ab
1421,ခွေး ကလေး tay လု မ တောင် ရိုက် ots,ab
2191,အောက်စွဲ ဘောမ လုပ်,po
347,ရိုင်းပြ,ab
3604,သူများ ပေါ် စေတနာ ထား လုပ် ပေး ကြ လို့ မ ရ ဘူး လား ဟင် အမ တို့ က,no
5792,အဆင့်မရှိ အောက်တန်းကျ မ ရွှီး မ,po
382,ခွေးသား ခွေး လောက် တောင် စောက်ဆင့် မ,ab
294,အရင် လို အသီးအရွက် တွေ စား ပြ ပါ ဦး,no
3340,မ ပဲ ဖင်နဲ့မွေးထုတ် မအလ ဂျပု,po
4763,ခွေးရူး ခွေးမိုက် ခွေးဘီလူး မ,po
3320,စောက်ရေးမရ ပဲ,ab
5274,မအယ်ယိုး $သခေါမ လင် $ဂျပု ကမကလ ပဲ,po
2611,ခွေးကောင် မ ပဲ မ,po
486,ကာချုပ် အပြောင်းလဲ လုပ် ဖို့ ကော မ ရှိ ဘူး လား 😉 😉,no
220,ပဒက် မ tတ် ပဒက် myoပြုတ်,po
4923,အောက်တန်းစား ခွဲ ဆဲ မ ဖလမ ဖခ ခွေးမသား ခွေးမ လောက် သေကျေ နဖူးထိပ်ကိုကျည်လာ ကြီးမိုက်,po
4061,မိုက်ရိုင်း ကလေး အပေါက်ဆိုး ရွံ,ab
996,မ မအေလိုး,po
3768,စခ အကောင် မယင ပဲ,ab
5272,ကလေး $မြင်ကတ်,ab
1371,မ ငါလိုးမသား,ab
2483,ပါးချ,ab
4465,သမ္မတရူး ခွေးနဲ့ပါးချပ်မဟပ်,po
1476,မ စောက်ဖုန်း ပဲ ပွတ်,ab
626,လခွမ်း သောက်ပိန်း ကန်း,po
5819,လူယုတ်မာ,po
3301,သာကူး ချီးဒုတ် လုပ်စား နိုင်ငံရေးသမား,po
601,နင် တို့ မြို့ သူ ကြီး က မိုက် နေ ရော,no
1073,မ စခ ပဲ သတ်,po
337,Sကောင်မ ကျက်သတုံး မ တန်ဖိုးမရှိတဲ့ဟာ မ ဆန်ကုန်မြေလေး မ,ab
3574,လူ အများ ရှိ တဲ့ နေရာ မ လုပ် သင့် ပါ ဘူး ဟာ,no
5864,ဖေယိုးမ သုတ်ကြောင် မ ခွေး လိုး ခံ,ab
3481,အပို တွေ ပါ ဟယ် ငါ တို့ တုန်း က ကာယ ချိန် မြက် ချည်း နှုတ် ခိုင်း တယ် ကျောင်း စောင့် ဦး လေး ကြီး က ကျ အိပ် နေ ပြီး 😀 😝😝😝😝😝,no
322,ကျန် တဲ့ သူ က သူ ဖြစ် မှာ ပေါ့ တစ် ယောက် ကျန် သေး တာ ကို,no
218,လ သောက်ဆန်းကြီး မ စောက်ရှက် မ မ မ ပဲ ငါလူးမ,po
1982,အမ ရယ် ဒီ လို ယောကျာ်း မျိုး နဲ့ ကွဲ သွား တာ လည်း ကောင်း ပါ တယ် အမ အစား ဟို မိန်းမ က ခံ ပေး နေ တယ် သာ သဘောထား 😆 မိန်းမ တစ် ယောက် က ယောက်ျား ရဲ့ ဖောက်ပြန် တာ ခံ ရ လို့ စိတ်ညစ် နေ တာ ကို သူ့ ဖက် က ပြန် ပြော တာ တွေ ဖတ် ပြီး ဘယ်လို လူစား လဲ တန်း သိ ရ တယ် ကွဲ လိုက် တာ တကယ် ဝမ်းသာ တယ် နိုင်ငံခြား မှာ သူ့ ထက် သာ တဲ့ သူ နဲ့ အမြန်ဆုံး ဆုံတွေ့ နိုင် ပါ စေ,no
878,သုတ်ကြောင် မ,ab
5013,သတ် မသေရဲတော့ဘူးလား,po
2868,ခွေးစစ်အုပ်စု အကြမ်းဖက် ပဲ မကောင်းဆိုးဝါး စစ်မိတ္ဆာ ဘီးလူး သရဲ ပစ် စစ်ခွေး,po
5923,မိဂေါင်း-င်ခံ,ab
4781,စောက်ထင်ကြီး မ မ တောင် မ,ab
2846,စောက်ပို အေနိုး,ab
3345,ပဲ ဘောမ ဘောမ လောက် ပဲ ဖင်ကုန်း မ,po
1121,အော်ဂလီဆန်,ab
3260,စောက်ပို မ သတ် ပဲ,po
4548,မိဘ ဆီ က ရော မောင်နှမ တွေ ဆီ က ရော ဆရာ ဆရာမ တွေ ဆီ က ရော လက်ဖြန့် တောင်း နေ ရ တာ 🥹,no
3713,လုပ်,ab
1160,လီး လောက် စောက်ကြီးစောက်ကျယ်,ab
1972,မ လုပ် စပ ပဲ,po
3504,$ရူး,ab
510,$ရှက်ခွဲ မ လုပ် $ဟာမ မ,ab
4598,မဖြိုး ရေ လူ ဘာ မှ မ ဖြစ် လို့ တော်သေး နော် မ တန် လိုက် တာ အဲ့လို မျိုး နဲ့ ရိုက် ခံ လိုက် ရ တာ,no
1338,ငါ့လိုးမ စောက်ပေါ အာဏာရူး မ,po
5960,အရောင် ဆိုး စေ တယ် ဆို တာ သိ သလား,no
1450,Kmkl leeee kmkl lee,ab
2310,စပတ် ပဲ,ab
4936,မ ပူ နဲ့ သူ တို့ က ကံကောင်း တယ် သူ တို့ ဆီ မှာ မြန်မာ က လို အရာရာ လိုက် ဖျက်စီး နေ တဲ့ အကြမ်းဖက် သူပုန် တွေ မ ရှိ ဘူး,no
2839,ပဲ ပဲ ခွေးမျိုး လုပ်,po
476,လီး မ ငါလိုးမ,ab
4888,ခု မှ ပဲ အား ရှိ တော့ တယ် အမ ရယ် အဖော် ရ သွား ပြီ မ လို့ 😁,no
4008,မယားကြီး မယားငယ် အိပ်ဆေးခတ် xာခန်း သလော်,ab
2760,စပစား ဖော်လော်မော် မသော်မော်,ab
4423,ခံ ခံ ထည့် လ ခွေး ချိုး,po
4705,မ ပိတ်ရိုက်,ab
2654,ကလေး လုပ် စောက်ရူး ကျပ်မပြည့် ပဲ ကလေး မ လုပ် သန္ဓေမကောင်း သိသာ,ab
3553,မ မ ငါ့လခွီး $ရှက် မ ဖေလိုးမ ဖလမ,po
6560,မနေ့ တည်းက tt မှာ တွေ့ လိုက် တည်း က စိတ်ညစ် နေ တာ လာ ပြန် ပြီ 😏 😏,no
6750,အော် ဘယ်သူ တွေ များ လဲ လို့ ရှမ်း ပြည်နယ် ကိုယ်စားပြု ကိုး 😁 😁 😁,no
129,မ လဲသေ,ab
770,မ စောက်ဆရာကြီး,ab
5080,နီပိတ်,po
4986,တောင် စစ်ခွေး မသာ ပဲ,po
4127,sဆရာကြီး မ ကျက်သရေကိုမရှိ,ab
4747,ထည့် စောက်တင်း,ab
4572,မ ဘောမ မ ကျက်သတုံးမ,ab
4337,မ သတ် မ သတ် မ သတ် မ လုပ် မ မအလ သတ်,po
6808,ဒီ ထက် မ က အဲ့ ထက် ကောင်း တဲ့ သီချင်း တွေ အများကြီး လုပ် နိုင် ပါ စေ,no
2476,အမြဲ သတိ လေး ထား နော် ခေတ် အခါ က မ ကောင်း,no
2488,ပြော နေ တာ က အရမ်း ပဲ သိသာ တယ် တကယ် မ ဖြစ် ဘဲ နဲ့ ပြော ပြ နေ တာ မင်းသမီး ပီသ ပါ တယ် ချန် ထား ဦး မယ် မ ပြော သေး ဘူး အမှန်တရား က ခါး တယ် 😊,no
6238,ကလေး တွေ ပဲ သနား တယ်,no
4574,မအလ ပဲ,po
6591,ပြည်သူ တွေ အတွက် သွား တက် တာ ပါ,no
5623,လောက် ရိုက်,ab
3506,မ ကြည့် ခင် က အလယ် က အညှပ် ခံ လိုက် ရ တဲ့ သူ ထင် လို့ ဆံပင်ညှပ်ဆိုင် က ဖြစ် နေ တယ် 🤧,no
3172,ကာကွယ် ချင် စိတ် ရှိ တာ ကို အပြစ် မ ပြော လို ပါ ဘူး လူကြီး တွေ အပေါ် လုပ် တဲ့ အပြုအမူ က မ သွန်သင် ထား မှန်း သိသာ နေ လို့ ပါ,no
1406,မျိုးမစစ်,po
4528,လွဲ နေ တာ မ ကြောက် တတ် မ ငို တတ် တဲ့ ကလေး က ငယ် ကတည်းက မ ကြောက် ဘူး မ ငို ဘူး,no
545,ခွေးတိုးပေါက်,po
6573,ငါဠိုးမသား ထည့် kmkl,po
6243,မအလ မ,po
4204,ခွေးမျိုး ချ ခွေးဆိုးမိုက် မအလ အရိုးကိုက်,po
5023,ကမကလ မအလ ဖျာသယ် ဖျာခေါင်း မ,ab
3038,စောက်ပြောကြီး ငပေါ,ab
5729,စစ်ခွေး ဘောမ မ,po
4085,နွား,po
429,နှမ ချင်း ကိုယ်ချင်းစာနာ စွာ တဲ့ 🥹🥹,no
6609,ဆဲ ပဲ ဘောပဲမ အဘဘောလေးပဲငုံ,po
5858,အမျိုးယုတ် အဆင့်မရှိ,ab
1022,အေး လေ တိုက်ခန်း တစ် ခန်း စာ တောင် မ ရှိ ဘူး 🤣🤣🤣,no
1328,လိုအပ် တာ ရယ် လို ချင် တာ ရယ် ခွဲခြား တတ် ဖို့ ပါ,no
3258,အခုတလော ပွဲ တွေ တအား ပေါ လာ တယ် နော်,no
3551,မအေလိုး ဆဲ မ ကိုယ်မေကိုယ်လိုး,ab
3812,လပ်တီး လောင်ကီး စင့်ကျောက် ပဲ,po
1178,အတုမြင်အတတ်သင် မင်း တို့ တွေ လုပ် ပုံ က ယို သူ မ ရှက် မြင် သူ ရှက် သိက္ခာ လေး ဣန္ဒြေ လေး ဆယ် ကြ ပါ ဦး,no
612,မ တောင် လုပ် မ ပဲ သင်္ချိုင်းကုန်းသွားပေး အရှက်မရှိ,po
5492,တစ် ယောက် တည်း ကွက် ပြီး ချမ်း နေ တာ နဲ့ တူ တယ်,no
6487,မ ပဲ မ ဖင်ခံ,po
4562,ဖော် နိုင် လေ ကျော်ကြား လေ လို့ အထင် ရှိ သူ တွေ ပေါ့ 😌,no
1301,မြန်မာ နိုင်ငံ မုဒိမ်းကျင့် တဲ့ ကောင် တွေ ဘယ် ရောက် နေ တာ လဲ,no
3015,ဒီဖေ မ ဆဲ စောင်ကလေး,ab
875,မအလ မ ပဲ ဖင်ပေး,po
2915,လုပ် စောက်ချိုး ပဲ,ab
2728,အဲ့ ပိုက်ဆံ နဲ့ ဆိုရင် ရန်ကုန် မှာ ၄ ပေ ၆ ပေ မြေ တစ် ကွက် လောက် တော့ ရ နိုင် ပါ တယ် 😁 😁 😁,no
4701,မေးယိုး,ab
2929,စောက်ကြီးစောက်ကျယ် စောက်ရမ်း ဘဝင်မြင့်,ab
1406,မျိုးမစစ်,po
2617,အရူးထ ရူး ပဲ အရူး,po
5753,မင်းအမေလင် အမေတက်အုပ် မ လုပ် ဖုံးကင်,po
4648,ယီး ခွေးမသား,po
3591,ဒင်း က ဒီ ရောက် နေ 😂,no
1931,သီချင်း တော့ ကြိုက် သွား ပြီ,no
6736,ဖော်လော်မော်,po
4532,ဒီ လို စာ တွေ မြင် ရင် ကိုယ် နဲ့ မ ဆိုင် လည်း မိန်းမ ချင်း ကိုယ်ချင်းစာ ပြီး ရင် တွေ နာ တယ် တကယ်,no
904,ပဲ စောက်ရှက်မရှိ သေ စောက်ရှက် မ,ab
3671,ဒါ လား ကောင်း တာ အေး ပါ ဟယ် ငါ တော့ တော်တော် ရှက် နေ ပြီ နင် တို့ တော့ မ သိ ဘူး,no
4485,မအလ အကောင်,po
5419,မြေခွေးအိုကြီး ပဲ ပဲ,po
6263,သေ မ လုပ် လုပ် ထည့် သေ သေ ခံ,po
4592,စောက်မီး မ မ thy,ab
415,အကြမ်းဖက် KMKL KMKL ပဲ KMKL မျိူးဆောင့် ပဲ,po
50,မ ငါးစိမ်းသည် ရန်တွေ့ လုပ် ဂြိုဟ်သား,po
4232,$ချိုး $ပုံမလာ,ab
1097,ဆိုးရွား အောက်တန်းကျ ကလေး မိမဆုံးမဖမဆုံးမ,ab
1658,မအလ ကျွန် ဘောစုပ်,po
4430,မအလ,po
6235,⚽️မ ⚽️မ မ သေကျေ ပျက်စီး ခံ ဖင် 🐕‍🦺,po
6486,SကြီးSကျယ် လုပ် ပဲ,ab
5112,MC မှာ သွားသွား စား တဲ့ ခိုင်ချို ဆို တာ လား သူ့ ထက် ဟန်လေး စား တာ ပို သဘောကျ တယ် ဟန်ပန် မ ရှိ,no
175,ငါလိုးမ ခွေးဒိုင် လီးဒိုင်,ab
1553,လောက်ကောင်,po
3621,မ စောက်စည်းကမ်း မ KMKL,po
3052,သဲငယ် အတွက် ပါ ပို ပြော ခဲ့ ပါ 🤭 😁,no
3819,ဝယ် နေ ကျ ဆိုင် 🙂 မ ဝယ် တော့ ပါ,no
5,စပ မ ထိုး မ 🖕🖕🖕🖕 မ,ab
2363,မ အမေဒစ်ကန် $ မ ဓားပြတိုက်,po
853,ရန်တိုက် မ စောက်ပြဿနာ မ,ab
4886,စစ် အစိုးရ ရဲ့ ပညာရေး မှာ အရမ်း အဆင်ပြေ ပါ တယ် ဆို နဲ့ သဘော ပေါ့ နော် 😌,no
6022,နင် တို့ တွေ ကြောင့် ငါ မ ပျင်း ရ တာ 🤣,no
5039,မ ဆဲ လီး ပဲ,ab
3148,အကြမ်းဖက် လုပ် ယီး မ,po
2953,မအလ တောင်,po
5669,သောက်ကျင့် ပဲ ခံ လောက် မ,po
6171,မ မ ပဲ အာဏာရူး,po
3446,အမှန် က ယောက်ျား မ ကောင်း တာ မယားငယ် က ဘယ်လောက် ဖြားယောင်း ပါ စေ အဲ့ ယောက်ျား က ဖောက်ပြန် ချင် စိတ် မ ရှိ ရင် မိန်းမ တွေ ဘယ်လောက် မြူဆွယ် ဆွယ် ပါ အဲ့ဒီ ယောက်ျား ကို က ဖောက်ပြန် တာ ပါ အဲ့ဒီ ယောက်ျား က အဓိက ပါ,no
4640,၆ ထည့် လုပ် စစ်တပ်ခွေး ပဲ မ ထောင်ထွက် မ ကိုက်,po
2603,လုပ် စောက်စမ်းကြီး ပဲ,ab
3128,စောင်စကား,ab
6394,အမလေး နား နား ပြီး လုပ် ကြ ပါ မ နည်း လိုက် နေ ရ တယ် 🥹,no
5104,ဖင်ထဲထိုးထည့်,ab
5272,ကလေး $မြင်ကတ်,ab
2653,ကိုယ် လုပ် မှာ ဆက် လုပ် ဘယ်သူ မှ ဂရုမစိုက် နဲ့,no
769,ဖက်ခွက်စား မအလ ဘောစုပ်,ab
1315,စောက်လုံးတွေနောက်,ab
3348,farသည်,ab
2811,စောက်ဆံ လုပ် လုပ် ပဲ စောက်ရမ်း မ စောက်ကြီးစောက်ကျယ် လုပ် ကျက်သရေမရှိ စောက် စောက်ခြောက် ပဲ လုပ် မ ပျက်စီး Fuck,ab
6805,မအေးလိုး စော်ကား ခွေးသူတောင်းစား,ab
3036,ဖင် လီး စပ စောက်ရှက်မရှိ လီး မ ဦးနှောက်လေးဂွေးစိလောက်နဲ့ စောက်ရှက်မရှိ,ab
6593,စခ ပဲ,po
1991,အကျဉ်းထောင် ထဲ မှာ ထက် တောင် မ ပျော် ဘူး ထင် တယ် သနား တယ် ပြိုင်ပွဲဝင် တွေ ကို,no
6576,ခွေး ဆို တော့ ခွေး လို ဟောင် နေ တာ ပေါ့ ၊ ဟဲ့ ခွေး,no
5540,အဲ တာ တွေ ကျ တော့ ဆင်ဆာ မ ဖျက် တတ် တာ လား 😠😠😠,no
6026,အဲ့လို ဆို မင်း တို့ စစ် ဗိုလ်ချုပ် မိသားစု တွေ လည်း နိုင်ငံခြား က ဇိမ်ခံကား တွေ ပစ္စည်း တွေ မ သွင်း နဲ့ နိုင်ငံခြား ပစ္စည်း ဘာ မှ မ ဝယ် နဲ့ သား သမီး တွေ လည်း နိုင်ငံခြား ပညာသင် မ သွား စေ နဲ့ သူ တို့ ကျတော့ မြန်မာ ပြည် က ပစ္စည်း ဘာ မှ မ သုံး ဘူး ပြည်သူ ကျတော့ ချုပ်ချယ် နေ တာ မြောက်ကိုရီးယား က ကင် မိသားစု လို ပဲ ပြည်သူ ကို အပိတ် ဝါဒ နဲ့ အုပ်ချုပ် ဖို့ မ စဉ်းစား နဲ့,no
1274,ဘော ကန် မ ဘောမ,ab
5368,မအလ ပဲ ဝိုင်း ဝိုင်း,po
5130,အန်တီ မ နှမြော ဘူး လား 😒 😒,no
3678,မြန်မာ့ ယဉ်ကျေး မှု တွေ ဘယ် ရောက် ကုန် ပြီ လဲ မိသားစု နဲ့ ကို ဒီ ပုံ တွေ မ ကြည့် ရဲ ဘူး,no
1268,လုပ် ကျွေး ချီးစား လုပ်,ab
5903,အောက်တန်းစား မ,ab
3634,ဘာ သီချင်း လဲ ညီမ တောင် မျက်စိ မှား နေ တာ လား လို့ နိုင်ငံခြား က လား လို့ ပါ ကိုယ့် မျက်စိ ကိုယ် မ ယုံ နိုင် ဘူး နား ထဲ မှာ ဗန် ဗန် ပဲ ကြား တယ် ညီမ တောင် လန့် သွား တာ ပဲ,no
4370,နင့်ဟာ လုပ် ပွတ် မ အောလီမ ကျွေး,ab
5553,ငါ တစ် ယောက် တည်း ဖတ် ရင်း ထထ ရီ နေ လို့ ဘေး က တောင် ဝိုင်း ကြည့် ခံ ရ ကုန် ပြီ 😂,no
1128,ယုတ်ညံ့ ပဲ,ab
5245,tတ် tတ် မုဒိန်းကျင့် တောင် တောင် တောင် မ,po
6372,စောက်ပေါ ကား ရိုက် လောက် ပေါက် ငါလိုး မ,ab
5299,ပဲ အကျိုး အကျိုး မ အကျိုး ပဲ မအလ,po
4606,ခွေးမသားလေး,ab
1360,မ မေယိုး,po
2431,အရူးပြောအနှမ်းယုံ ငပေါ,ab
5619,အေနိုး,ab
952,အော် အဲ့ နေ့ အဲ့ အချိန် ပဲ မီး ဖြတ် မှာ လား ကျေးဇူး နော် ကျန် တဲ့ အချိန် တွေ မီး ကို မှန် လို့ မ ဟုတ် တာ တွေ သိပ် မ ပြော နဲ့ မ ရှက် ဘူး လား ငလူး အခု လည်း ပျက် နေ တာ ပဲ ဟာ အပို တွေ 😏,no
3494,ဘာ တွေ ထောက်ခံ နေ ကြ လဲ သူ ဘာ တွေ ပြော လဲ နားလည် ကြ ရဲ့ လား ငါ တော့ နားလည် တယ် မ ကြိုက် ဘူး မြန်မာ နိုင်ငံ ကို နှိပ် ပြော နေ တာ သိ ကြ လို့ လား,no
6450,စောက်ကောင်မ မ ဖေလိုးမ စောက်ရူး ကျပ်မပြည့် မ,po
5949,အာဏာရှင် နဲ့ ဘုရင် နဲ့ ပေါင်း မှ တော့ ဒီမိုကရေစီ ဆို တာ စဉ်းစား သာ ကြည့် တော့,no
2638,အလယ် က ကောင်မလေး ကို ဆံပင် အရင် ပြင် ပေး လိုက် ပါ ဦး,no
346,ကလေး သတ် ပေါက်,ab
3226,စောက်ကြီးစောက်ကျယ် မသာမ,ab
4487,မီးရှို့ ပစ်သတ် စော်ကား,po
2575,နိုင်ငံ သာ မ တိုးတက် တာ အဲ့ အပိုင်း ဆို ခေတ် တော့ မီ သား,no
2538,Song နားထောင် ချင် လို့ တော့ မ ဟုတ် ဘူး 😁 😂,no
1926,မယားငယ် ပဲ စောက်ရှက် မ လင် မှန်း ရွံ ဖောက်ပြန်တဲ့ကောင် မယားကြီး မှန်း လင်တရူး မ,ab
