text,label,original_index
mmsp သုတ်ကြောင် ကောင် သီချင်း ဆို နေ တာ လား AKရိုက် နေ တာ လား 🙂,ab,4100
ပြီး ရင် ပြော ဦး မယ် ဒီ နိုင်ငံ က လူ ၁၀၀ မှာ ၉၉.၉၉ ပြော နေကျ စကား အတိုက်ခိုက် ခံ ရ တယ် တို့ လိုက် တိုက်ခိုက် နေ တယ် တို့ နေပုံထိုင်ပုံ မ တတ် တာ တင် မ ဟုတ် ဘဲ ပြောပုံဆိုပုံ က အစ တလွဲ အကို တို့ နိုင်ငံရေး တဲ့ ဦးနှောက် ထဲ ဘာ များ ထည့် ထား ပြီး နှလုံးသား က ဘာ တွေ နဲ့ ပြည့် နေ လဲ သူ ကိုယ်တိုင် ပဲ သိ လိမ့် မယ်,no,2940
ခွေးစစ်အုပ်စု ဝါဒ ဖြန့် သက်သက် သာ လက်နက်ကိုင် အချင်းချင်း သွေးခွဲ ပါတီ အချင်းချင်း သွေးခွဲ ပြည်သူ အချင်းချင်း ကြား သွေးခွဲ သူလျှို ဒင်း တို့ စစ် အကြမ်းဖက် အုပ်စု က ဒီ လို ပဲ နှစ် ပေါင်း များစွာ ပြည်သူ နဲ့ အခြား လက်နက်ကိုင် များ ကို သွေးခွဲ အုပ်ချူပ် လာ တာ ဒါ ကြောင့် ဒီ မကောင်းဆိုးဝါး စစ်မိတ္ဆာ ဘီးလူး သရဲ တွေ ကို ဗမာ့ မြေ ပေါ် က နေ အပြီးတိုင် ဖယ်ရှား ပစ် မှ နိုင်ငံ အေးချမ်း မယ် စစ်ခွေး နိဂုံး 23,po,2868
ကိုယ် လုပ် မှ ကိုယ် စား ရ တယ် ဆို တဲ့ နလဗိန်းတုံး တွေ ပဲ ပျော် နေ ကြ တာ,po,161
အသားအရည် လှပ မျက်လုံး နဲ့ ဆံကေသာ နက်မှောင် တာ က ဘုရား မ ဟုတ် ပါ ဘူး ဗမာ ဝင် စား တာ ပါ 🤭,no,3809
နင် တို့ မြို့ သူ ကြီး က မိုက် နေ ရော,no,601
ဖေတစ်ရာ- ိုး တွေ ပေါင်း မိ သောအခါ,ab,6133
ခေတ် ပျက် လူ ပျက် မင်းအောင်လှိုင် ခေတ် 🙄,no,446
စောက်ရူး ပဲ စုကြည် ထမိန်အောက်ကထွက်ကြည့် မှ အမှန် မြင် မယ်,po,4498
အရမ်း ကို လူမဆန် တာ ဒါ ဘာသာ ရေး အမည်ခံ ပြီး စီးပွား ရေး လုပ်စား နေ တာ ဘာ လို့ လဲ သိ လား ခွေး အာဏာ သိမ်း တော့ အရာရာ စျေး တွေ ၃ ဆ တက် နေ ပြီး လူ တွေ ငတ် လာ ကြ လို့ အရင် ငတ် တာ ထက် ၃ ဆ ပို ငတ် လာ ကြ လို့ ကလေး တွေ ကို ဘာသာ ရေး ခု တုံး လုပ် ပြီး စီးပွား ရေး လုပ် အနိုင်ကျင့် နေ တာ 😡 မ ရ ရ တဲ့ နည်း နဲ့ ပိုက်ဆံ ရှာ နေ တာ,po,418
အနုပညာ လောက ထဲ ဝင် တာ ကြာ နေ ပြီ တဲ့ သိ တောင် မ သိ ဘူး 😎😎😎,no,1113
အင်း ပါ မင်း လည်း ပြည်သူ တွေ လို တစ် နေ့ မ ဖြစ် ဘူး လို့ မ ပြော နိုင် ဘူး ခု တော့ ပြုံးပြုံးလေး ပေါ့ ကွာ,no,240
ကိုယ် မ လုပ် နိုင် တောင် အမှန်တရား အသိ လေး ရှိ ပြီး နေထိုင် ရင် တောင် တန်ဖိုး ရှိ ပါ တယ် ။,no,5472
ကိုယ့် အရည်အချင်း နဲ့ ကိုယ် တခြား မှာ ပြိုင် ကြ စမ်း ပါ ကြည့် ရ တာ ကျက်သရေကိုမရှိ ဘူး ဘဝင်ရူး ဒိုင် တွေ,ab,4642
ထုံးစံ တိုင်း ဆက်ကြေး နေ မှာ ပေါ့ မအေပေး တွေ,po,6731
ငါ တို့ ကို စိတ် ဒုက္ခ ပေး တဲ့ သူ ထဲ မှာ အဲ့ ဖလမ လည်း ပါ တယ်,ab,6674
အော် တို့ နိုင်ငံ ရဲ့ စစ်တပ် က တော့ နိုင်ငံတကာ ရဲ့ ဥပမာ ပေး စရာ ကို ဖြစ် နေ ပြီ ဒါ လည်း ပဲ မအလ တို့ ခေါင်းကြီးပိုင်း တစ် စု က တော့ ရှက် ရ ကောင်း မှန်း မ သိ ကြ သေး ဘူး အရူးထ လို့ ကောင်း နေ ကြ တုန်း ပဲ,po,3082
လူ့ ဘဝ သက်တမ်း တစ်ဝက် လောက် က မင်း တို့ ကို မေတ္တာပို့ နေ ရ တာ နဲ့ ကုန် ခဲ့ တာ ပဲ ကိုယ့် ဟာ ကိုယ် အဖြစ် ရှိ အောင် ပဲ ကြိုးစား ကြ ပါ ဦး မအလ ရဲ့ လက်ကိုင်တုတ် တွေ ရဲ့,po,4698
အစ က အသံ မ ပါ ဘဲ ကြည့် လို့ နိုင်ငံခြား က ဟာ ထင် နေ တာ အသံ ဖွင့် လိုက် မှ လန့် သွား တယ် ဖင်ရိုက် တဲ့ အကွက် ကို,no,6652
ဒေါ့အနီ တွေ ရဲ့ တော်လှန်ရေး က ဘာ စောက်ရေးမှမပါ ဘူး လို ပြော တာ ဖြစ် မယ် တကယ် လည်း ဘာ မှ မ ဟုတ် ဘူး လုပ်စား နေ ကြ တာ တပ်မတော် က နိုင်ငံသား အချင်း၂ မလို့ ညှာ နေ လို့ ၂ နှစ် ကြာ သွား တာ တကယ် လုပ် ရင် ၂ လ မ ကြာ ဘူး မ ယုံ ရင် စစ်တပ် က အပြီး ချေမှုန်း တဲ့ အချိန် ပြည်ပ နိုင်ငံ တွေ ဝင် မ စွတ် ပဲ နေ ကြည့် ပါ လား,po,5585
ကိုယ့် ထမင်း ကိုယ် စား ပြီး သူများ ဘောကိုမ နေ ကြ ပါ တယ်,po,2169
ရွံ စရာ ကြီး နင် တို့ က သာ အကယ်ဒမီ ရွှေကြို ဘာညာ ဖြစ် နေ ကြည့် မယ့် ပရိသတ် က နင် တို့ ရဲ့ ဘောမ တွေ က လွဲ ဘယ်သူ မှ မ ရှိ ဘူး နော် 😞 🙌,ab,728
မင်းမေLo မနက် 1 နာရီ က နေ ပျက် တာ နောက် ည 7 နာရီ မှ လာ တယ်,ab,1388
သတ် ရဲ တဲ့ သူ တွေ က မသေရဲတော့ဘူးလား,po,5013
အိပ်မက် ထဲ မှာ တော့ ရ မယ် 😆,no,729
NMSP ဘာ မ ဟုတ် တာ လဲ … စစ်ကိုင်း ကို ကြည့် .. ပထွေး တွေ နေ့စဉ် မီးရှို့ နေ တာ … ဘောမ ချင် လည်း သာသာ မ ပါ 🤮,po,4620
မ စား ဖြစ် တော့ ဘူး ခု နောက်ပိုင်း တခြား သူ တွေ သွား စား ချင် တယ် ဆို တောင် မ ကောင်း ဘူး ပဲ ပြော လိုက် တော့ တယ်,no,4256
အန်တီ ရေ သား တို့ ကို လည်း ကယ် ပါ ဦး လို့ မြင့်မြတ် တဲ့ ဖေဖေ့ တပ်မတော် ကြီး က ရော ဘယ် မှာ တုန်း လို့ Maaloe ရဲ့ မင့် နောက် မှာ,po,1968
ဇင်အောင် ဖင်ချ ချင် လို့,ab,695
သတစ အမဲရိုးကိုက် ဖျင်မှာဝဲပေါက်,ab,3007
ဘယ် နားလည် မ လဲ နင့် ဦးနှောက်ကခွေးစား ထား တာ ကိုး ဘာမဟုတ်တာကနင် လေ ဖလမ ရဲ့,ab,2692
ငါ အရမ်း ချစ် ခဲ့ ရ တဲ့ ဘောမ,ab,5121
ပြော တော့ ရော လီး လုပ် လို့ ရ လို့ လား တွေ့ သမျှ တောင် ပစ် ရ ဦး မယ် စောက်ပေါ တွေ,ab,5757
အထက် ဖား အောက် ဖိ လုပ် တတ် ရင် ကျွေး တာ စား ခိုင်း တာ လုပ် ခံ မ ပြော နဲ့ ဆို တဲ့ တိရိစ္ဆာန်မူဝါဒ ကို စွဲကိုင် ထား တတ် ရင် ဆရာကြီး လုပ် လို့ ရ တဲ့ စနစ်,po,4760
ခွေးမသား တွေ ကလေး တောင် သတ် နေ တာ မင်း တို့ လည်း ခွေးသာသာ အဆင့် ပဲ,po,5719
မ ဟုတ် လည်း အမြဲ ပျက် နေ တာ မီတာ တောင် မ ဆောင် ဖို့ စဥ်းစား နေ တာ,no,5813
ကမကလ မီးရှို့တပ် Leeeတပ် မီး ပဲ ရှို့ တတ် တာ ဒီ ကောင် တွေ,po,3933
မြန်မာ ပြည် မှာ ဖြစ် သမျှ ပြဿနာ အားလုံး က ( မအလ ) စစ်ခွေး တွေ ကြောင့် ဖြစ် ရ တာ 😡😡😡😭,po,3665
ဒီနေ့ ၇ ရက်နေ့ ညနေ ၅ နာရီ မှာ မီး လာ တယ် ၅ နာရီ ၂၉ မှာ မီး ဖြတ် တယ် ခု ၇ နာရီ ၅ မိနစ် ရှိ ပြီ ပြည်သူ ကို မီး ဖြတ် ပြီး စီးပွား ရေး လုပ်ငန်း ကို အောက်လမ်းနည်း နဲ့ မီး ပေး နေ တဲ့ ကမကလ တွေ,ab,5853
ဘယ် ချိန် ဖြစ် တာ မ သိ လိုက် ဘူး,no,572
ပွဲ မှာ အမှတ်မထင် ဆုံ ကြ ပြန် ပြီ မင်္ဂလာ ပါ မိတ်ဆွေ 😂,no,5978
လွှတ်တော် အမတ် တစ် ယောက် အနေနဲ့ ဖမာ့ လို့ သုံး သွား တာ အောက်တန်းကျ တယ် လို့ ခေါ် တယ် အဆင့်မရှိ,po,6759
နင် လည်း နော် တော်တော် အား နေ လား မ သိ ဘူး,no,2147
လှ လိုက် တာ ဘာ ကြီး လဲ မ သိ ဘူး,no,2144
အထန်မ က တော့ မွှေ ပြီ,ab,5935
စစ်တပ် က ကောင် တွေ မှန် သမျှ ကိုယ်ပိုင် ဦးနှောက်မရှိ တဲ့ စောက်ပေါ တွေ လို့ ပဲ မှတ်ယူ ထား တယ်,po,2312
ခွေးစစ်တပ် ကို အား မ ပေး ရင် ရ ပြီ,po,6426
ထိုင်း နဲ့ မြန်မာ ဘဝ တွေ က သိပ် သနား ဖို့ ကောင်း တာ လွှတ်တော် ထဲ စခ ဝင် ထိုင် တဲ့ ကိစ္စ ပဲ,po,6593
over တွေ သိပ် လုပ် ကြ တာ ပဲ မြန်မာ ပြည် အခြောက် တွေ က မျက်စိကိုနှောက် လို့ သူများ နိုင်ငံ က လူ တွေ ခြောက် တာ နင် တို့ လို စပ်စလူး မ ခါ ကြ ပါ ဘူး ။,ab,4690
bbc ရဲ့ ပါဝါရိန်းဂျား တွေ လည်း သေ ကြ တယ် ဟ,ab,5896
ဆက်လက် ကြိုးစား ပါ ပီတာ လွှတ်တော် ထဲ မှာ အဲ့ အာဏာရူး တွေ ပါ နေ သ၍ ဘယ်တော့မှ ကောင်းကျိုး ပေး မှာ မ ဟုတ် ဘူး အားပေး နေ မယ် ပီတာ ☺️ ☺️ ☺️,po,1329
ဒီ မှာ ကြည့် ထား,no,4448
လိ စောင်တလွဲ စောက်တပ်,po,312
လပ်တီး ပျောက် မှ တိုင်းပြည် အေးချမ်း ပြီး ပြည်သူ တွေ လူလိုသူလို နေ ရ မည်,po,5794
တကယ့် ဟာ သူ့ အပူ မှ သူ့ အပူ နော်,no,1916
MaAloe မအလ ရုပ် ကြီး ကျက်သရေအဖြာဖြာတုံး ပါ့,ab,789
သူများ အောင်မြင် နေ တာ ကို မနာလို ပြီး ဖျက်စီး တာ တော်တော် ဆိုး တာ ပဲ နော် ဘယ်လို ကောင်မ လဲ မ သိ ပိုက်ဆံ မ ပေး ချင် လို့ အဲ့လို လုပ် တာ လည်း နေ မှာ ပေါ့ စိတ်မကောင်း မ ဖြစ် ပါ နဲ့ ဒီ ထက် မက အောင်မြင် မှာ ပါ သူ ဖျက်စီး လည်း ဖိုက်တင်း 🥰,ab,20
အရင် က ရွှေကြို က အကယ်ဒမီပေးပွဲ ပြီး သွား ရင် နာမည် ကျန် သေး တယ် ဒီ ရွှေကြို က တော့ နာမည် မ ပြော နဲ့ သိ တောင် သိ ကြ မှာ မ ဟုတ် ဘူး ဖေloမ,ab,1690
စစ်သား က ရဲ လုပ် တယ် ဆို တော့ ဘာ လို့ ရဲ ထား နေ တာ လဲ အကုန် သာ စစ်သား လုပ် ခိုင်း လိုက် အဲ့ဒါ မှ ရဲ မိန်းမ လည်း မဲဖောက်ကံစမ်း ရ မှာ,po,4869
ဟုတ် တယ် ကိုယ် ပြော ချင် နေ တာ နဲ့ ကွက်တိ ပဲ သွား ရေး ချင် တာ လက် ကို ယား နေ တာ ပဲ ေ-ာက်ကြွား တွေ ဒီ ထက် ပြော ချင် တာ တွေ ရှိ သေး တယ် ။,ab,1298
မင်းအောင်လှိုင် ကို ဝိုင်း ချိန် ထား တဲ့ သေနတ် တွေ ရှိ နေ ပြီ ဒင်း ထိုး ကျွေး တာ များ လွန်း နေ ပြီ ကိုး မြန်မာ နိုင်ငံ မှာ အိပ်မက် ဆိုး တွေ အမက် ဆုံး က မင်းအောင်လှိုင် ပဲ ဖြစ် မယ်,no,771
မင်း တို့ အပြော လည်း လျှော့ ကြ ဦး ပြည်သူ တွေ ရီ ရ တာ အူ နာ နေ ပြီ,no,5656
ဘယ်လို လဲ ဟ ငါ အရမ်း ဆွံအ မိ တယ်,no,994
ငါ မေတ္တာ တွေ ပို့ ထား တယ် သိ လား အသုဘ၂ကောင်,ab,5948
ရွံစရာကြီး ဖြေ ပုံ ကြည့် တာ နဲ့ မ ကောင်း တဲ့ personality ပေါ် နေ ပြီ🤧,ab,3728
EPC က ပိုစ့် တင် တဲ့ ကောင် ဟာသဉာဏ် တော်တော် ထွက် တာ ပဲ တစ် မျိုး နဲ့ တစ် မျိုး မ ရိုး ရ ဘူး,no,6572
mal ဖား လိုက် ဘောမ လိုက် ပဲ လုပ် winner ရ တယ် kmkl,ab,6666
$ကျက်သရေတုံး တဲ့ အဘ ဘောမ ကောင် တွေ,po,4793
အာဏာရှင် ဟာ အသေ ပဲ ထွက် တယ် တိုင်းပြည် အကျိုး မျိုးဆက်သစ် အကျိုး မ ကြည့် ဘူး သူ တို့ အကျိုး ပဲ ကြည့် တယ် မအလ တွေ,po,5299
အမှား မှန်း သိ ရင် ပြင် လိမ့် မယ် စစ်ခွေး တွေ က အမှား မှန်း မ သိ ကြ တော့ ပြင် ဖို့ စိတ်ကူး မ ရှိ ကြ ဘူး,po,1705
တော်သလင်း  သီတင်းကျွတ် လ တွင် ခွေးများမြူးတူး နေ ကြ ၏ တဲ့ အရှင် မိ တဲ့ ကောင် တွေ က ထိုင် ကန်တော့ တာ ဟုတ် ချင် မှ ဟုတ် မှာ နော် ကုန်း ပေး နေ တာ လား မှ မ သိ တာ နော် 😜 😜 😜,po,2306
ဖွတ် 😃 ဖွတ် ခြင်း ကုတ် ခိုင်း တော့ သွေး ထွက် တာ ပဲ ရှိ မှာ ပေါ့ မအလ ရယ်,po,4534
ဒီ လူ အကြောင်း သိ ချင် ပါ က ဒီ အထဲ ဝင် ကြည့် လို့ ရ ပါ တယ်,no,944
ခု အဲ့ ဟာမ က သူ များ လင် လု ထား တဲ့ မယားငယ် မ ကြီး တဲ့ လေ 🤣,ab,1704
အား နေ စောက်ဗလ ပဲ ထုတ် ပြ နေ တာ ကြာ တော့ မ ပြော ချင် လည်း မ ရ တော့ ဘူး ပြော တော့ မယ် စောက်ပို တွေ သိပ် ပြီး ရှိ တဲ့ ကြောင်း ကြွား မ နေ နဲ့ ဗလ တွေ ရှိ ပြီး စိတ် လွတ် သွား ပုံ ပဲ,ab,2602
ဝတ် ထား တာ တွေ မိုက် တယ် Camera color ပဲ ကြောင်စီစီ ဖြစ် နေ တာ,no,3095
ဘုရား တရား ကို လူ က မွေး ပြီး လူလိုမသိ တဲ့ လူစား ဘုရား ဟော တရား ကို ချီးဦးနှောက် နဲ့ ကိုယ့် ဘာသာ ဉာဏ်မမှီ တာ လူ သိ အောင် ပြော နေ တယ် ဘယ် LGBT ကို မှ မ မုန်း ဘူး ချစ် တယ် လက်ခံ တယ် သူ တို့ ဘဝ ကို နားလည် လက်ခံ ပေး တယ် ဒီ သူတောင်းစား ကို တော့ ပထမဦးဆုံး ရွံ ပြီး မုန်း ပြီး အန်ချင် မိ တာ အမှန် ပဲ 🤮🤮🤮,ab,2448
မအလ တို့ များ စောက်ရှက် ကို မဲ့ နေ တာ,ab,5266
ခရေပေး နဲ့ မ ရှင်း ပါ အချဥ်ပေါင်း စား ပြီး ဖင်ဂေါင်းယား နေ တာ ပါ,ab,4740
ခွေး ချစ် ပေ မယ့် ခု လို တဖက်သတ် ကြီး လမ်း ကလေး tay လု ဖြစ် နေ တာ ကြိုး ထိန်း နေ တဲ့ သူ က မ ဆွဲ ဘဲ video တောင် ရိုက် နေ သေး တယ် ots ဆန် တဲ့ သူ တွေ,ab,1421
MC အနေနဲ့ ဒီ လို စစ် ကောင်စီ အောက်စွဲ ဘောမ အနုပညာရှင် တွေ ကို boycott လုပ် သင့် တယ်,po,2191
ငါ တက္ကသိုလ် သွား တက် မှ အဲ့ ဆိုင် ကို သွား ရိုင်းပြ ဦး မယ်,ab,347
သူများ ပေါ် စေတနာ ထား လုပ် ပေး ကြ လို့ မ ရ ဘူး လား ဟင် အမ တို့ က,no,3604
အဆင့်မရှိ အောက်တန်းကျ တဲ့ ရွာသားကြီး တစ် ပြေး တည်း ထွက်ပြေး နေ လို့ ဘယ်လို တွေ တိုက် နေ ကြ သလဲ မ သိ တော့ အဝေး က လူ ကို အနီးကပ် ရွှီး ပြ နေ တာ ကြောက် ဒူး တွေ တုန် နေ တော့ စိတ် တွေ က တို ချက်ကျလက်ကျ မ ပြော တတ် သတိ ဝီရိယ နဲ့ ပြေး နော် မိုင်း တွေ က အများကြီး ။ 😂 😂 😂,po,5792
ခွေးသား ခွေး လောက် တောင် စောက်ဆင့် မ ရှိ တဲ့ ကောင်,ab,382
အရင် လို အသီးအရွက် တွေ စား ပြ ပါ ဦး,no,294
ဘုရင် ရှိ မှ အုပ်ချုပ် လို့ ရ တာ မ ဟုတ် ဘူး လေ ပြည်သူ့ အာဏာ က ပြည်သူ လက် ထဲ မှာ ပဲ ရှိ သင့် တယ် ဘာ လုပ်လုပ် ဘုရင် ကို ခွင့်တောင်း နေ ရ တာ ကြီး က အဆင်မပြေ ဘူး လေ ဘုရင် က တစ် နိုင်ငံ လုံး ကို ဖင်နဲ့မွေးထုတ် ထား ရင် တစ် မျိုး ပေါ့ ဘုရင် ရှိ မှ ဖြစ် တယ် ဆို ရင် မအလ ဂျပု နဲ့ တူ သွား ပြီ,po,3340
ဥပဒေ အထက် မှာ ခွေးရူး ခွေးမိုက် ခွေးဘီလူး တွေ ရှိ နေ တဲ့ နိုင်ငံ မှာ စစ်မှန် တဲ့ တရားမျှတ မှု ကို မ ရ နိုင် ပါ ပြည်သူ အပေါင်း တို့ ဒါကြောင့် ပူးပေါင်း ကြ ညီညွတ် ကြ စည်းလုံး ကြ ပါ စို့ ပြည်သူ တို့ ။,po,4763
စောက်ရေးမရ ကြွား ပြ နေ တာ တွေ ပဲ အထင်ကြီး တတ် ကြ တာ,ab,3320
မအယ်ယိုး $သခေါမ လင် $ဂျပု ကမကလ ဒီ ကောင် တွေ ပဲ ပြည်တွင်း မှာ စက်ရုံ ကုမ္ပဏီ တွေ အများကြီး ပိုင်ဆိုင် တာ ကိုး နောက် ဆို ပြည်ပ ထုတ်ကုန် ကို ပိတ် နိုင် သိမ်း နိုင် တယ်,po,5274
ပီတာ ကို ရက်ရက်စက်စက် ပြော သွား တာ ဒီ ခွေးကောင် ဒီ ကောင် ထိုင်း လူမျိုး အစစ် မ ဟုတ် ဘူး သူ ပြော သွား တာ က သူ့ အဖေ ဟာ ထိုင်း ဝင် လာ တာ လုံချည် တစ် ထည် တည်း ပါ တယ် ဆို ပဲ သူ လည်း ထိုင်း အစစ် မ ဟုတ် ဘူး တဲ့,po,2611
ကာချုပ် အပြောင်းလဲ လုပ် ဖို့ ကော မ ရှိ ဘူး လား 😉 😉,no,486
သူ တို့ ငှား ပြီး ပဒက် မိသားစု တွေ ကို ပြန် မ tတ် နိုင် ဘူး ဆို တော့ ပြည်တွင်း ပဒက် မိသားစု တွေ myoပြုတ် သွား အောင် လား 😆 😆 😆,po,220
အောက်တန်းစား တစ် ဖွဲ့ လုံး စု မေး ထား တော့ ခွဲ ပြီး ဆဲ စရာ မ လို တော့ ဘူး လေ ဖလမ ဖခ တွေ ခွေးမသား ခွေးမ တွေ တိုင်းပြည် မှာ ဒီ လောက် စစ်ပွဲ တွေ ကြောင့် သေကျေ ပြေးလွှား အိုးမဲ့အိမ်မဲ့ ဘဝ တွေ ကို မှ ကိုယ်ချင်းမစာနာ မင်း တို့ နင် တို့ နဖူးထိပ်ကိုကျည်လာ မှ သိ ကြ တော့ မှာ လား ကြီးမိုက် တွေ,po,4923
မိုက်ရိုင်း လိုက် တာ ကလေး က မိသားစု က လည်း အပေါက်ဆိုး ရွံ စရာ ကြီး,ab,4061
အဲ့ ဘိုးတော် က မှ နိုင် တဲ့ ပါတီ ခေါင်းဆောင် ကို ဝန်ကြီး နေရာ မ ရ အောင် လို့ မြန်မာ ကို ဥပမာ ပေး ပြီး သူ တို့ ဘုရင် စစ်တပ် အကောင်း ပြော နေ တာ မအေလိုး ဘိုးတော်,po,996
သူ က အရင် ကတည်းက စခ အကောင် ကြီး တစ် ကောင် ရဲ့ မယင ပဲ ဟာ Cele small တစ် ခါ တင် ဖူး တယ်,ab,3768
ကလေး ရော လူကြီး ရော $မြင်ကတ် စရာ,ab,5272
မ တတ် ဘဲ နဲ့ ပြော နေ တာ ငါလိုးမသား,ab,1371
ငါ သာ ဆို ZA ကို ပါးချ တယ် 👋👋👋,ab,2483
သမ္မတရူး ကြီး မင်းအောင်လှိုင် ခွေးနဲ့ပါးချပ်မဟပ် လေ ခြင်း ဟယ် ???,po,4465
မ ပျင်း ရ ပါ လား စောက်ဖုန်း ကြီး ကို ပဲ ပွတ် နေ ရ တာ 😞,ab,1476
ပြည်သူ့ ကာကွယ် ရေး အဖွဲ့ တွေ တဲ့ လခွမ်း သောက်ပိန်း တွေ က တော့ ကန်း နေ တုန်း,po,626
လူယုတ်မာ တို့ ရဲ့ ပိုင်ဆိုင် မှု များ ကို မကြာမီ ပြည်သူ က သိမ်း တော့ မယ်,po,5819
သာကူး ချီးဒုတ် လုပ်စား နိုင်ငံရေးသမား,po,3301
နင် တို့ မြို့ သူ ကြီး က မိုက် နေ ရော,no,601
တကယ် ဆို US နဲ့ ဘာ မှ မ ဆိုင် ဘူး သူ တို့ စခ တွေ ပဲ ပြည်သူ ကို လိုက် သတ် နေ တာ,po,1073
Sကောင်မ ကျက်သတုံး မ တန်ဖိုးမရှိတဲ့ဟာ မ ဆန်ကုန်မြေလေး မ 😏 😏 😏,ab,337
လူ အများ ရှိ တဲ့ နေရာ မ လုပ် သင့် ပါ ဘူး ဟာ,no,3574
ဖေယိုးမ ရဲ့ သုတ်ကြောင် မ နေ နဲ့ ခွေး လိုး တာ ခံ နေ ရ မယ် သိ လား,ab,5864
အပို တွေ ပါ ဟယ် ငါ တို့ တုန်း က ကာယ ချိန် မြက် ချည်း နှုတ် ခိုင်း တယ် ကျောင်း စောင့် ဦး လေး ကြီး က ကျ အိပ် နေ ပြီး 😀 😝😝😝😝😝,no,3481
ကျန် တဲ့ သူ က သူ ဖြစ် မှာ ပေါ့ တစ် ယောက် ကျန် သေး တာ ကို,no,322
