text,label
အထုတ်အသွင်းမှား မအိမ်လုံး,ab
အရေးအသား ကောင်း ပုံ က တော့ စာရေးဆရာ အတိုင်း ပါ,no
ဖေလိုးမ ဘောငုံ,ab
ဇွတ်ကျား ရိုက် လုပ် လုပ်,po
မ သောက်ကျင့် ပဲ,po
စောက်ရှက် မ ပဲ,po
ဝဋ်ကြွေး မ ဦးနှောက်ကဂုတ်ကပ်,ed
ဆဲ ဖေလိုးမ,ab
ဗီယက်နမ် နဲ့ လာအို က တစ် ပါတီ အာဏာရှင် စနစ် ပို ဆိုး ပါ တယ်,no
မယားငယ်မ မ,ab
လီး,ab
ဘောကိုပြေးရှူ ကြောင်တောင်တောင် မ လုပ် သောက်တတ်ကြီး လုပ် သောက်ကြီးသောက်ကျယ် နွားပြာကြီးအောက်သွားလွတ် ပဲ,po
ခေတ် ပျက် လူ ပျက် မင်းအောင်လှိုင် ခေတ် 🙄,no
သွား မ ရေး နဲ့ အကောက် ပျက် တတ် နော် 😃 😃,no
တောင် ယုတ်မာ,po
ဝဋ်ကြွေး အောလီခြောက်,se
ဖာခံ ဒစ် စုပ် အမှုတ် အစုပ် လုပ်,po
မ လီး ပဲ,ab
တောင် ပေမမီဒေါက်မမီ ဉာဏ်မမီ ပေါ ပေါ Sရှက်မဲ့ ဘောမ,ab
ကလေး ရိုင်း ဖင်စောင့်ကန် ပစ် ရိုင်း,ab
ခွေး ဟောင် ထ,ab
ဖျက် ကိုမေကိုထထလိုး မအေလိုး,ab
*ာသည်မ,ab
ဖာ,ab
လုပ် လုပ် ခွေး စောက်ဂရုစိုက် မ ဟောင်,ab
ဘောမ မ လဥ မ လဥ,ab
ကာကွယ် ချင် စိတ် ရှိ တာ ကို အပြစ် မ ပြော လို ပါ ဘူး လူကြီး တွေ အပေါ် လုပ် တဲ့ အပြုအမူ က မ သွန်သင် ထား မှန်း သိသာ နေ လို့ ပါ,no
မုန့်ဟင်းခါး တောင် မ စား နိုင် တော့ ဘူး နောက် နေ့,no
စောက် မ,ab
$ခေါင်း လ မ ပဲ မ ကောင်မ,po
ငပေါ ကြောင်တောင်တောင်,ab
လူသတ် မီးရှို့ မ,po
§ရူး မ,po
ဖင်ခံ ကောင်မ ခံ သေခါနီး,ab
မ သိသာ $ရှက်မရှိ,ab
ဖုတ်ကောင်ကြီး တောင် လွတ်,ab
နားမလည်တဲ့နွား,ed
ရွံ,ab
ဒါမဲ့ ည က အဲ့ လူ က သူ့ အရင် မိန်းမ အတွင်းခံ ကို ဝတ် ပြီး သူ့ မိန်းမ ကို ပြန် မြူဆွယ် နေ တာ ကြည့် ပြီး ရယ် ရ တာ အူတက် လို့ သေ တော့ မယ် 😁 😁,no
မော်တော်ဆက်,ab
အာဏာရူး စောက်ရှက်မရှိ,ab
ကော်မော်ကော်လော် ပဲ ကော်တိုက်,ab
gဆိုးလေး မ ဖန်ပဲဆက်ခင်,se
အရင် ခေတ် က ကျောင်း ပြီး ဘွဲ ရ ထား တဲ့ သူ တွေ တောင် အလုပ်လက်မဲ့ နေ တာ လေ နင် တို့ က ကျောင်း တက် ပြီး ဘာ လုပ် ကြ မ လို့ လဲ ဘဘ က အလုပ် ပေး မယ် ပြော ထား လို့ လား 🙄 😂 လက် တို့ ဦး နော် ☺️,no
kmkl Phayloema ပစ်,ab
မ တတ်တာဒီလောက်ပဲလား တောင် မ အာဏာတက်လု ေ-ာက်ရူးချေးပန်း ငတ် Ballထမ်း ပဲ ခြောက် သုတ် ကိုက် ခိုး ခိုး လူသတ် မုဒိမ်းကျင့် ခိုး ဓါးပြအဆင့်တောင်မရှိတာ ခံ အောက်တန်းစား မှန်း မ,po
ဘုရား က မိန်းကလေး က ဖြစ် တယ် လို့ ဒီ ကမ္ဘာ မှာ မ ကြား ဖူး သေး ပါ ဘူး,no
ဖုန်ရှူလိုက်,ab
ဇကောလောက်မှဇောက်မနက်တဲ့ဟာ,ed
သေ မ လုပ် လုပ် ထည့် သေ သေ ခံ,po
တံတွေးနဲ့မတန် သေးနဲ့ပန်း,ab
အမျိူး ဘာသာ သာသနာ မျိူးချစ် ကြီး တွေ ဘယ် ရောက် နေ ကြ လဲ မ သိ ဘူး ယဉ်ကျေး မှု ထိန်းသိမ်း ကြ မယ့် သူ တွေ အ ကြည့် လွန် လို့ မေ့ သွား ကြ ပြီ ထင် တယ်,no
မနာလို စရာ မ လို ဘူး သူ က သူ့ ဟာ သူ ပြည့်စုံ ပြီး သား ကျွံ တောင် ထွက် တယ် 😂 😂,no
မ ဖာဆန်,ab
အမျိုးယုတ်,ra
မ စောက်ပို,ab
သန်းခေါင်ကျော် ကြိုတင် မဲ တွေ လာ မည်,no
စ_ခ ေ_ဘာယက်,po
ots မ,ab
over မအေယိုး,ab
"သီချင်း က ၁ ရက် ပဲ ရေး ရ တာ လား မိုက် တယ် ဟ "" )",no
ဘောမ ဘော ဘော,ab
ဓားပြတိုက်,ab
ဖြတ်ရိုက် စောက်ကလေး,ab
အောက်တန်းစား,ab
ကျက်သရေကိုမရှိ ဘဝင်ရူး,ab
မြန်မာ ဆို တာ အယဉ်ကျေးဆုံး နိုင်ငံ မ ဟုတ် လား,no
တကယ့် ဟာ သူ့ အပူ မှ သူ့ အပူ နော်,no
မ ဖျာသယ်မ,ab
တက္ကသိုလ် တက် တုန်း က အမြဲ ဝယ် စား ဖြစ် တယ်,no
အဲ့ တာ ဘယ် ကျောင်း လဲ ဟင် ငါ ကျောင်း တက် တုန်း က ဆို ကျောင်း က ကွန်ပျူတာ တွေ ပျက် နေ လို့ တဲ့ အခန်း ထဲ တောင် မ ရောက် ဖူး ခဲ့ ဘူး .. 🙃,no
ဘယ် တုန်း က ပွဲ တုန်း လင်း ပေး ကြ ပါ ဦး ထောင် ထဲ ရောက် နေ တုန်း ဖြစ် ကြ တာ တွေ ဆို လည်း လင်း ကြ ပါ ဦး မန့် တွေ အကုန် လိုက် ကြည့် တာ မ သိ တာ ကိုယ် ပဲ ရှိ နေ တယ် ထင် တယ် 😖😖😖😖,no
စောက်မီး ပဲ ဖျက် မ မ စောက်ဒေါသထွက် စောက်ခွေး စောက်အကြောင်းပြချက် ပဲ,ab
တော်တော် လူပါး၀ တာ ပဲ,no
မ လိ့,ab
လောက် လိ မ လောက် မေရိုး သတောင်းစား လိ မ မ မ,ab
စောက်ခွက် ရွံ မအလ သိသာ မ မ ပဲ စောက်မျက်နှာ,ab
လုပ် လုပ် အရူး တောင်,po
မ GenLee,po
ပါးရိုက် သတ် မအလ ခွေး,po
ခွေးသား,ab
malမျိုး ကလေး,ab
စောက်ရေးမပါ မ မ လောက်,ab
စောက်ခွက် လီး ထိုး ခေါင်းဖြူ လီးရုပ် လဥရုပ်,bo
စောက်ရှက် တောင် မ,ab
မအလ မ,po
မှန်း စစ်ခွေး မှန်း မ မ,po
ငါ တို့ မြန်မာ ပြည် သား ဖြစ် ရ တာ လူဖြစ်ရကျိုးမနပ် ပါ ဘူး လူ ချမ်းသာ နဲ့ အာဏာရှင် လူတန်းစား က လွဲ ရင် ပေါ့,no
ပစ်သတ် သေ နီယုတ် အကြမ်းဖက်ခွေး သတ် သေ,po
ဖင်ယား,ab
စောက်စကား,ab
ဖခ,ab
ဖျက် မ ကမ,ab
အညံ့ဆုံး ပဲ မ,ab
မ ဖင်ကော့ပြီးချေးပါထွက်,ab
ဥ ပေါက် စောက်ခွက် မ,ab
မ မ ဝိုင်း မြေမြိုခံရမှာ,le
မျိုးတုံး တော့ မည့် အရိပ်ယောင် ပဲ,no
စောက်ရှက် မ ပဲ ဒုတ် ဒုတ် ပန်းသေ ဒုတ်,ab
မြေမြို,ab
စခ အမတ်ခွေး စခ ပဲ,po
xင်ခံ leeစုပ် မ ဝဋ်ကြွေး လုပ် မ ဝဋ်ကြွေး တောင် ခံ ချော်တကောက်,se
komaykoloe mathar ပဲ,ab
အဖွားတောင်သူ့ထက်နု,bo
ဘယ်လောက် ပိုက်ဆံ ရှိရှိ စရိုက် က တော့ ပြင် မ ရ ဘူး,no
လီး ပဲ ဆဲ,ab
နင် တို့ ပဲ အဆင်မပြေ ကြ ငါ တို့ ကျ အိမ် ကို စိန် စီ ထား တာ လေ 🌚,no
စောက်ရှက်ခွဲ,ab
မအေလိုး စောက်တတ်ကြီး လုပ်,ab
ခေါင်းဖြူ ကတုံး တုံး ကြက်ကတုံးရုပ်,bo
တာဝါတိုင်တွေချိုး ငပိန်း,po
ပဲ မအလ ထ that,ab
အသက်တိုလို့ဝဲတွေပေါက်ပါစေ,le
အေးအေး ဟုတ် တယ် ဟို ဘက် က အမ က လည်း သစ္စာရေ တွေ ဘာ တွေ သောက် ပြ ပါ့ မယ် ဆို ပြီး လိုက် လွှင့် သေး တယ် အဲ့ တာ မ တွေ့ တော့ လို့,no
မိုက်ရိုင်း သူတောင်းစား,ab
ဖင်ကိုလှန် မ,ab
ဖက်တီး လုပ်,bo
မင်းမေစပ်ပတ် ငါလိုး ချ ဆဲ ဆဲ,ab
မအေလိုး မ အောကား ချောင်းရိုက် ပဲ ကကျိုးကကြောင် မနှဲလေးဝင်စားသလားပဲ နားကန်းမှာလည်းကြောက်ရ မုန့်လုံးစောင့်သံ,bo
မသာမ မ မ,ab
ကပ္ပလီနိုင်ငံကိုသွား မ,ra
ဆောက်ကြီးဆောက်ကျယ် ဆောက်တတ်ကြီး လုပ် ဆောက်ဖင်ခေါင်းကကျယ် ဆောက်ထင်ကိုမကြီး,ab
တရား အသိ တောင် တစ်စက်မှ မ ရှိ ပါ လား သနား စရာ ကောင်း လိုက် တာ နော် 🥲,no
မ ဘောမ ပဲ,ab
ငါလိုးမသား လူမဆန် နှိပ်စက် သတ်ဖြတ်,po
အောင်မြင် ခြင်း ရဲ့ နောက်ကွယ် 😔 😔,no
လိုရင်းတိုရှင်း နဲ့ ထိထိရောက်ရောက် စကား ပြော ပါ အားပေး နေ ပါ တယ်,no
မနက် ကတည်းက တွေ့ နေ တာ တော်တော် ဆိုး 😔,no
ဆဲကိုဆဲရမယ့်ဟာမလို့ဆဲတာ,ab
စောက်စိတောင်,ab
သူ ကျ တော့ အဖမ်း မ ခံ ရ အောင် ကျွေး ထား လို့ လား,no
အသေလေးမွေးလာရမှာ စောက်ကလေး,le
$လုပ် မ $ရူးထ မ အကုသိုလ် မ လုပ် ဆန်ကုန်မြေလေး,ab
အော် မြန်မာ သီချင်း တွေ တော်တော် ပညာ ရ ပါ ပေ တယ်,no
မအလ ချ,ab
ပြည်တွင်း ဖြစ် ဆို တော့ အားပေး ရ မယ် 😅,no
မအလ မ လုပ် လုပ် မ လုပ်,po
ရန်သူ ကို မိတ်ဆွေ ဖြစ် အောင် လုပ် ပြီး ကိုယ့် ရည်ရွယ် ချက် အောင်မြင် အောင် လုပ် နိုင် မှ အောင်မြင် တဲ့ နိုင်ငံ ရေး ခေါင်းဆောင် ပါ,no
လုံးကတီး မ ဝိုင်းရိုက် မ,re
စပ,ab
ခွေး ပဲ ဆိုက်ကိုကောင် ခွေး မ သတ် တောင် ပဲ ရိုက် သတ် မသေမချင်း နှိပ်စက် သတ် မ ခွေး သတ် သတ် တောင် မ နှိပ်စက် အခွက် လူရုပ်မပေါက် မ အကောင် ခွေး ခွေးနဲ့yoe,ab
ဂျောင်မှာသွားငို မ စောက်* မ,ab
အနူဦးနှောက် ဟောင် ခွေးဝဲစား ဟာစား ကျွန် လုပ် ထမီလျှော်,po
_င်ခံ မ ⚽️ပါငုံ ခသတစ,ab
လုပ် လုပ် ပဲ သူခိုး သူခိုး ပဲ သူခိုး လုပ် ဘာစားပြီးတွေးလဲ မ ကလေး မ,po
လုပ် နို့နှိုက်,se
ဟို ကောင် က ငစား ဟ မ ခန့် တာ က တောင် က ပြ သေး တာ 🥴,no
စောက်ရူး ငါလိုး ဆန်ပြုတ်တောင်နပ်မှန်ရဲ့လား မ,ab
ဥာဏ်ကန်း,ed
ဖာသည် ဖာ,ab
မအေloeeeeee,ab
စစ် က ပို ကျယ်ပြန့် လာ မှာ နော် မ ဖြစ် တဲ့ ဒေသ တွေ မ ဆိုင် သလို မ နေ ကြ နဲ့ ပြည်တွင်းစစ် ဖြစ် နေ တာ ကိုယ့် မိသားစု ထံ ကျရောက် လာ မယ့် စစ် ရဲ့ ဖြစ်စဉ် ပဲ,no
ဖာသယ်မ ဖာ ပဲ,ab
အခြောက် ဂန်တူး မ,se
ယီး ခွေး,ab
စောက်တောသား အသိဉာဏ်မဲ့ လုပ်,ra
ပဒက် တောင် မ,po
စောက်မီး မ မေလိုး,ab
ခွေးသား လည်မျိုနင်းသတ် ကျက်သရေကိုမရှိ မအေဘေး,ab
sဆရာကြီး မ ကျက်သရေကိုမရှိ,ab
ဆော် ဆော် ကြိုက်ကုန်း,ab
လီး,ab
စွရှက် မ,ab
အခြောက် မ,se
အားပေး ပါ တယ် လုပ် ကြ ပါ လုပ် ကြ ပါ ဒီ နေ့ က စ fb မ သုံး တော့ ပါ ⛔️ တောင်ကြီး မှာ လည်း မ နေ တော့ ပါ,no
ဒေါက်တာရမ်းကု,ed
အရူးမ လောက် မ,ab
LEE မ စောက်ချိုးမပြေ ဆဲ,ab
ဗိုလ်တကာပတ်ကုန်း တောင်,ab
လီး ပဲ,ab
ဂျော်တကီး မ ပဲ,se
ခိုးဆိုးလူသတ်,ab
ပဲ ဂေါင်း လုပ်,ab
နင် တို့ က ရော အနုပညာရှင် တွေ ပဲ လား 🤣 🤣,no
lee လုပ် မ မ nlm,ab
စောက်ကျင့် ယုတ် ဘောမ,ab
တော်လှန် ရေး လက်နက်ကိုင် တပ် တွေ ရဲစခန်း ကို ဘာ ကြောင့် ဝင် တိုက် ရ တာ လဲ ဆို တာ ကို ဒီ မှာ သက်သေပြ လို့ ရ ပြီ,no
မအေလိုး ဝက်မ မ မ မျက်နှာသေ မ တောင် လီး ထိုး 🖕🖕🖕,ab
ငါ လည်း ငယ်ငယ် တည်းက ကိုယ့် ဘဝ ကိုယ် ကျောင်း လာ ရ တဲ့ ကောင် ပါ ကွ 10 နှစ် သား တည်းက မိဘ ကို ပြန် လုပ် ကျွေး ရ တဲ့ ဘဝ ပါ ကွ အဲ့ဒါ ကိုယ့် ဘဝ နဲ့ ကိုယ် ပဲ ကွ သူများ လို မိဘ အရိပ် နဲ့ ကောင်းစား ချင် ရင် အရိပ် ကောင်း တဲ့ မိဘ ဆီ မှာ မွေး အောင် ‌ လုပ် လေ အခု လို တွေ လျှောက် ဖောင်းထု မ နေ နဲ့ ဟ လူ တိုင်း က ကိုယ့် ကံ နဲ့ ကိုယ် ပဲ,no
စောက်တလွဲ,ab
တောင် ဗြောင်လိမ်ဗြောင်စား ပါးစပ်ကဖင်ဖင်ကပါးစပ်ဖြစ်နေ ကလေး မ လောက် လောက်,ab
မအေလိုး ခွေးသေဝက်သေနဲ့ကိုသေကြပါစေ,le
အပေါက်ဆိုး,bo
ကျက်သရေတုံး ခွေးဝဲစား ဂုတ်ကျား,ab
ခွေးသား အရူးကွက် မတရားလုပ်,po
မ တီး ထ လီး,ab
လီး ပဲ စောက်ပု နဖူးလီးတက်ပေါက် ငါလိုးမသား စောက်ပု ငါလိုးမသား သေလည်းမသေနိုင်ဘူး လူစဉ်သာမမှီ လမ်းလျှောက်ရင်ဖင်တရွတ်တိုက်ဆွဲ ကိုယ်မေကိုယ်လိုး ခွေးသူတောင်းစား ဖျက် စောက်ကြောင်း မ ဖျက် တောင် မ စောက်သုံးကျ,le
l...e sရူး မ မ,po
မအေလိုး လိုး လုပ် မ,ab
အသံနဲ့အသေမသတ်ပါနဲ့ သတ် သေ စွကမ,bo
ဆေးချ လို့ ဆို တာ က ပါ သေး တယ်,no
Sရေးမပါ ပဲ မ မ မ ပဲ,po
သူတောင်းစား သေချင်းဆိုး မသေကြသေးဘူးလား,ab
အမ တို့ မြို့ နဲ့ ဆိုင် တဲ့ gp တွေ မှာ အကုန် share အမ,no
မအေလိုး Komaykoloe,ab
မ ဖော်ကော်တစ်ရော်လော်မ,po
ပေါတောတော ခွက်ခေါက်,ab
ပြည့်တန်ဆာ ခံ ပဲ ဖသမ,ab
မ လောက် ပဲ မ တဏှာကြီးတဲ့ယောက်ျား ရွံ,ab
မျက်နှာကတရုတ်မသာ လည်ပင်းကကုလားမသာ,bo
ကလေး လုပ် စောက်ရူး ကျပ်မပြည့် ပဲ ကလေး မ လုပ် သန္ဓေမကောင်း သိသာ,ab
ဖင်ထဲထိုးထည့်,ab
ဒါမျိုးစားဖူးလား သောက်ဖူးလား ခွေးနဲ့နှိုင်း ပဲ အောက်မှာနေတဲ့ဟာတွေ မ ရွံ,ab
စောက်ပို မ,ab
ဘောနင်,ab
မ ကြိုက် ရင် gp က ထွက် ငါ က တော့ ကြိုက် တယ်,no
ရေဘဝဲကေ မ ချ,bo
ရိုက်သတ် တောင် မ,ab
မ ခေါ် ဘူး ပြော မှာ စိုး လို့ 😁,no
ပဲ ပဲ တောင် မ မ ဆဲ ပဲ မ အပြောခံရပါစေ ကိုယ်ချင်းမစာ ဖေလိုးမ,ab
ချ ချီးပေ,ab
မိဘ အပေါ် လုပ် ရက် မှ တော့ တခြား သူ ဆို ပြော မ နေ နဲ့ တော့ တခြား သူ အပေါ် လည်း မ ရိုင်း သင့် ပါ ဘူး လူသား ချင်း စာနာ သင့် ပါ တယ်,no
ဖာမ နင့်ကိုအလကားရလို့လုပ်မယ့်သူပဲရှိမယ်,ab
နို့ပြ,se
မ မ ‌‌ေ သေချင်းဆိုး ကာလနာ,ab
အမှန် ပဲ လေ မိဘ ချမ်းသာ တိုင်း သူ တို့ ချမ်းသာ တယ် ထင် နေ ကြ တာ,no
ဖင်ကုန်း,ab
သောက် ဖောနေတဲ့ရုပ် သင်္ချိုင်းကုန်းခြေစုံလှမ်း ကျက်သရေမရှိ,ab
မ စိတ်ပျက် သေလေ သေလိုက်လေ,ab
တဏှာကြီးတဲ့ကောင် ရမက်ကြီးတဲ့ကောင်မ ပဲ ကိုက်,ab
မလမ,ab
ငါ တော့ ဘာ မှ မ သိ လိုက် ဘူး 😅 အဲ့ အမ ကြီး ပဲ ကြည့် နေ မိ 😅,no
ကိုယ်မေပြန်လိုး အကောင် ကိုယ်မေကိုပြန်လိုး အကောင် မ,ab
ဖောက်ပြန် အချောင်လိုချင်,ab
ကလေး ကလေး မ မ မယင အာကျယ်,ab
မ ဖင်ပတ်မခံကြနဲ့,ab
စောက်ထာ ပဲ,ab
မ စောက်တလွဲ အခွက် စောက်ချိုးမပြေ,ab
မအေဘေး,ab
စောက်အချိန်မှန်,ab
ဖား စားဖား စားဖား လုပ်စား အခြောင်စားအခြောင်နေ,ab
လီးလီးလားလား ဆောက်ဆံ ပဲ မ ချ လီး,ab
ကလေး ခရေpay မ,ab
ခံ ပဲ မ ငတုံး တောင် စောက်ရူး,re
ဖျင်အရှည်ကြီးခံလိုက် $ကောင်မ,ab
မှန်း မ $ရူး,ab
ကျပ်မပြည့် မ ခေါင်းထဲဘောသုတ်ဝင်နေ ကမ ဖျင်အရှည်ကြီးခံ,po
အားလုံးသေကုန်မှကျေနပ်မယ်,ab
ငရဲမီးနဲ့ပါးစပ်ကစပြီးကျိုပေးပါလို့,ab
ဖာကျ,ab
စခွက် နှာဘူး လားစီး,ab
ကျက်သရေအတုံးဆုံး အ၆ အောက်ခြေလွတ် ဘဝင်လေဟပ် အ၆,se
ဖင်ချုပ်လိုး လိုး မအေလိုး,ab
လုပ် စောက်စမ်းကြီး ပဲ,ab
သုတ်ကြောင်မ ဒုတ် မ မ,ab
မ မ ချေးတွေစား,ab
အောလီ ပဲ အော,ab
ထိုင်း က အမေရိကန် နဲ့ ပူးပေါင်း ပြီး မြန်မာ့ အရေး ကို ထိရောက် မှု ရှိ အောင် ဘာ ကူညီ နေ လို့ လဲ လူသား ချင်း ရှုထောင့် အနည်းအကျဉ်း ကို ကူညီ တာ က လွဲ ရင် ပေါ့,no
ဒီ လောက် နဲ့ အား မ ရ သေး ဒီ ထက် ကြမ်း တာ ရိုက် ချင် တယ် ဆို တော့ ဘယ်လို မျိုး လဲ ကွယ်,no
အကြွေစေ့ ပဲ,ed
ဖင် ဖင်ယား,bo
ရွာသား သတ်ဖြတ်,po
ဘောယက်,ab
ဖာ,ab
