Priority,Description,Start Time,Duration
Minor, High disk space usage on /var/share/sstore/repo drive of BIREPO_DB_Node_1," Aug 01, 2025 23:49 ",19m 19s
Minor, Elapsed time of Oracle job is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:48 ",46s
Minor, Percentage of long table scans is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:48 ",3m 6s
Minor, High CPU utilization when waiting for I/O on AWS_CBS_Reporting_DB," Aug 01, 2025 23:47 ",29m 17s
Minor, There are many waiting containers in pod obic-interest-extrp-service-9cd9c45b-v7mpg of namespace javaic on Kubernetes Cluster flexcube-cbs-uat-tkc," Aug 01, 2025 23:47 ",15m 19s
Minor, Load failures rate is high {CBSCustomerServiceBalance_1528\w3wp#8}," Aug 01, 2025 23:45 ",24m 46s
Minor, Load failures rate is high {CBSCustomerServiceBalance_1528\Summary}," Aug 01, 2025 23:45 ",24m 51s
Minor, Load failures rate is high {CBSAccountingService_1568\Summary}," Aug 01, 2025 23:45 ",24m 46s
Minor, Load failures rate is high {CBSAccountingService_1568\w3wp#13}," Aug 01, 2025 23:45 ",24m 47s
Minor, Read rate from datafile o1_mf_apidat_d_l8pozmn9_.dbf is high on Oracle Database on Cloud APIRDB:1580," Aug 01, 2025 23:44 ",35m 38s
Minor, Many instances have been removed recently from AWS Cloud p2p-sap-hana-prd," Aug 01, 2025 23:43 ",5m 5s
Minor, Percentage of long table scans is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:43 ",2m 45s
Major, High CPU utilization when waiting for I/O on AWS_CBS_Reporting_DB," Aug 01, 2025 23:43 ",4m 45s
Minor, Memory utilization is high for pod fluent-bit-pgv6z of namespace amazon-cloudwatch on Kubernetes Cluster NewCoreBankingProdEnv," Aug 01, 2025 23:42 ",10m 11s
Critical, TCP connection failed when accessing the web page QMS-Portal. This is affecting External Web QMS," Aug 01, 2025 23:42 ",4m 5s
Critical, The web page QMS-Portal is not available for external access. This is affecting External Web QMS," Aug 01, 2025 23:42 ",4m 8s
Minor, Average shared lock wait time is high on SAP HANA Database KBZ-PRD-DB-SYSDB:35015," Aug 01, 2025 23:41 ",4m 56s
Minor, Average exclusive lock wait time is high on SAP HANA Database KBZ-PRD-DB-SYSDB:35015," Aug 01, 2025 23:41 ",4m 56s
Minor, Many maintenance {system-update}," Aug 01, 2025 23:41 ",16m 47s
Minor, Many maintenance {Summary}," Aug 01, 2025 23:41 ",16m 51s
Minor, Write rate to datafile o1_mf_apidat_d_mh25ok03_.dbf is high on Oracle Database on Cloud APIRDB:1580," Aug 01, 2025 23:40 ",35m 17s
Major, Actual CPU credit balance is high {ap-southeast-1:-:i-04b74635ad73c1a93}," Aug 01, 2025 23:39 ",17m 37s
Minor, Many backup {Summary}," Aug 01, 2025 23:39 ",10m 2s
Minor, Many backup {db-instance}," Aug 01, 2025 23:39 ",10m 4s
Minor, Elapsed time of Oracle job is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:39 ",1m
Minor, Many instances have been removed recently from AWS Cloud Apigee," Aug 01, 2025 23:38 ",16m 3s
Minor, Many blocked connections for user SYS on Oracle Cluster dc-smv-bo1-db:1580," Aug 01, 2025 23:38 ",8m 54s
Minor, Percentage of long table scans is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:38 ",3m
Minor, There are many waiting containers in pod aws-guardduty-agent-nwk7w of namespace amazon-guardduty on Kubernetes Cluster NewCoreBankingProdEnv," Aug 01, 2025 23:38 ",1h 14m
Minor, High CPU utilization when waiting for I/O on AWS_CBS_Reporting_DB," Aug 01, 2025 23:38 ",5m 6s
Minor, Many maintenance {system-update}," Aug 01, 2025 23:37 ",18m 32s
Minor, There are many waiting containers in pod obic-interest-extrp-service-9cd9c45b-v7mpg of namespace javaic on Kubernetes Cluster flexcube-cbs-uat-tkc," Aug 01, 2025 23:37 ",4m 21s
Minor, Many maintenance {Summary}," Aug 01, 2025 23:37 ",18m 35s
Minor, Many instances have been removed recently from AWS Cloud KBZT," Aug 01, 2025 23:37 ",4m 24s
Minor, Query is taking high CPU time on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:36 ",20s
Minor, Load failures rate is high {CBSAccountingService_1568\w3wp#19}," Aug 01, 2025 23:36 ",30m 15s
Critical, Lagging checkpoint duration is high  {REPLICAT/RLOTNH}," Aug 01, 2025 23:36 ",15m 22s
Critical, Memory utilization is high for pod prometheus-0 of namespace monitoring on Kubernetes Cluster flexcube-cbs-prod-tkc," Aug 01, 2025 23:35 ",5m 19s
Minor, Elapsed time of Oracle job is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:34 ",40s
Major, High CPU utilization when waiting for I/O on AWS_CBS_Reporting_DB," Aug 01, 2025 23:33 ",4m 41s
Minor, Percentage of long table scans is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:33 ",2m 31s
Minor, There have been many container termination failures for pod aws-guardduty-agent-nwk7w of namespace amazon-guardduty on Kubernetes Cluster NewCoreBankingProdEnv," Aug 01, 2025 23:32 ",5m 26s
Minor, Load failures rate is high {CBSCustomerServiceBalance_1528\w3wp#6}," Aug 01, 2025 23:32 ",34m 46s
Minor, Load failures rate is high {CBSCustomerServiceBalance_1528\Summary}," Aug 01, 2025 23:32 ",34m 46s
Minor, Load failures rate is high {CBSAccountingService_1568\Summary}," Aug 01, 2025 23:32 ",34m 46s
Minor, Load failures rate is high {CBSCustomerServiceBalance_1528\w3wp#5}," Aug 01, 2025 23:32 ",34m 46s
Minor, Load failures rate is high {CBSCustomerServiceBalance_1528\w3wp#4}," Aug 01, 2025 23:32 ",34m 46s
Minor, Load failures rate is high {CBSAccountingService_1568\w3wp#12}," Aug 01, 2025 23:31 ",4m 35s
Minor, Query is taking high CPU time on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:31 ",20s
Minor, Load failures rate is high {CBSAccountingService_1568\w3wp#13}," Aug 01, 2025 23:31 ",4m 31s
Minor, High CPU utilization when waiting for I/O on eG_Backend_DB_DR," Aug 01, 2025 23:31 ",9m 41s
Minor, Execute to Parse ratio is low on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDC," Aug 01, 2025 23:31 ",1m 2s
Minor, Other waits are taking time on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDC," Aug 01, 2025 23:31 ",9m 17s
Minor, Write rate to datafile o1_mf_apidat_d_l8rb6c8g_.dbf is high on Oracle Database on Cloud APIRDB:1580," Aug 01, 2025 23:30 ",29m 45s
Minor, Elapsed time of Oracle job is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:29 ",1m 25s
Major, High disk space usage on /export/home/oracle drive of BIREPO_DB_Node_1," Aug 01, 2025 23:28 ",39m 28s
Minor, Many blocked connections for user egurkha on Oracle Database eG_Backend_DB:1521:egrepdc," Aug 01, 2025 23:28 ",5m 21s
Minor, Many blocked sessions on Oracle Database eG_Backend_DB:1521:egrepdc," Aug 01, 2025 23:28 ",10m 47s
Minor, Percentage of long table scans is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:28 ",2m 30s
Minor, Average shared lock wait time is high on SAP HANA Database KBZ-PRD-DB-SYSDB:35015," Aug 01, 2025 23:27 ",4m 56s
Minor, Average exclusive lock wait time is high on SAP HANA Database KBZ-PRD-DB-SYSDB:35015," Aug 01, 2025 23:27 ",4m 56s
Minor, Many maintenance {system-update}," Aug 01, 2025 23:26 ",17m 43s
Minor, Many maintenance {Summary}," Aug 01, 2025 23:26 ",17m 46s
Minor, Load failures rate is high {CBSAccountingService_1568\Summary}," Aug 01, 2025 23:26 ",9m 41s
Minor, Many maintenance {system-update}," Aug 01, 2025 23:25 ",11m 52s
Minor, Many maintenance {Summary}," Aug 01, 2025 23:25 ",11m 55s
Minor, Elapsed time of Oracle job is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:24 ",1m 16s
Minor, Buffer cache hit ratio is low on Oracle Database ONPREM_KBZPRDSTBY_CDB:1580:KBZPRDSTBY," Aug 01, 2025 23:23 ",3h 22m
Minor, Percentage of long table scans is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:23 ",1m 50s
Minor, There are many waiting containers in pod obic-interest-extrp-service-9cd9c45b-lp257 of namespace javaic on Kubernetes Cluster flexcube-cbs-uat-tkc," Aug 01, 2025 23:23 ",29m 40s
Minor, There are many waiting containers in pod aws-guardduty-agent-72896 of namespace amazon-guardduty on Kubernetes Cluster NewCoreBankingProdEnv," Aug 01, 2025 23:23 ",54m 59s
Critical, Many back-off restarting failed containers on Kubernetes Cluster NewCoreBankingProdEnv," Aug 01, 2025 23:22 ",1h 40m
Minor, Maximum query elapsed time is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:22 ",23m 39s
Minor, Query is taking high CPU time on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:22 ",4m 46s
Minor, Execute to Parse ratio is low on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDC," Aug 01, 2025 23:22 ",5m 10s
Critical, The web page HomePage is not available for external access. This is affecting External Web ibanking," Aug 01, 2025 23:21 ",5m 17s
Minor, Many blocked connections for user KBZREPS on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:20 ",4m 51s
Minor, One or more long running queries have been detected on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:20 ",1m
Critical, Many back off pulling images on Kubernetes Cluster flexcube-cbs-mig-tkc," Aug 01, 2025 23:20 ",5m 12s
Critical,TimeSinceLastChckPoint  {REPLICAT/RLOTNF}," Aug 01, 2025 23:20 ",15m 38s
Critical,TimeSinceLastChckPoint  {REPLICAT/RLOTNC}," Aug 01, 2025 23:20 ",46m 44s
Minor, Many backup {Summary}," Aug 01, 2025 23:20 ",5m 56s
Minor, Many backup {db-instance}," Aug 01, 2025 23:19 ",5m 59s
Minor, CPU usage of Oracle job is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:19 ",2m 25s
Minor, Elapsed time of Oracle job is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:19 ",2m 25s
Minor, There are many waiting containers in pod obic-interest-extrp-service-9cd9c45b-v7mpg of namespace javaic on Kubernetes Cluster flexcube-cbs-uat-tkc," Aug 01, 2025 23:19 ",9m 31s
Minor, There have been many container termination failures for pod aws-guardduty-agent-72896 of namespace amazon-guardduty on Kubernetes Cluster NewCoreBankingProdEnv," Aug 01, 2025 23:18 ",4m 25s
Minor, Percentage of long table scans is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:18 ",1m 25s
Minor, High CPU utilization when waiting for I/O on AWS_CBS_Reporting_DB," Aug 01, 2025 23:18 ",15m 2s
Minor, Maximum query elapsed time is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:17 ",36s
Minor, Query is taking high CPU time on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:17 ",36s
Minor, Execute to Parse ratio is low on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDC," Aug 01, 2025 23:17 ",4m 44s
Major, Many HTTP 5XX responses on load balancer app/flexcube-loadbalancer-prod1/dd97bd39a3f8c9b6 of AWS Cloud flexcube-corebanking-prd," Aug 01, 2025 23:15 ",4m 27s
Critical, Space usage RECOC2 is high on Oracle Cluster IBDB_Oracle_Rac:1580," Aug 01, 2025 23:14 ",1h 23m
Minor, Elapsed time of Oracle job is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:14 ",2m 20s
Minor, CPU usage of Oracle job is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:14 ",2m 20s
Minor, Percentage of long table scans is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:13 ",40s
Minor, Buffer cache hit ratio is low on Oracle Database EYLOAN_Oracle_DB:1880:dcey," Aug 01, 2025 23:13 ",5m 11s
Major, High CPU utilization when waiting for I/O on AWS_CBS_Reporting_DB," Aug 01, 2025 23:13 ",4m 51s
Minor, There are many waiting containers in pod aws-guardduty-agent-ws4b9 of namespace amazon-guardduty on Kubernetes Cluster NewCoreBankingProdEnv," Aug 01, 2025 23:13 ",55m
Minor, Average exclusive lock wait time is high on SAP HANA Database KBZ-PRD-DB-SYSDB:35015," Aug 01, 2025 23:12 ",9m 46s
Minor, Query is taking high CPU time on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:12 ",45s
Minor, Maximum query elapsed time is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:12 ",45s
Minor, Execute to Parse ratio is low on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDC," Aug 01, 2025 23:12 ",4m 11s
Minor, Many maintenance {system-update}," Aug 01, 2025 23:12 ",10m 26s
Minor, Many maintenance {system-update}," Aug 01, 2025 23:12 ",5m 10s
Minor, Many maintenance {Summary}," Aug 01, 2025 23:11 ",5m 15s
Minor, Many maintenance {Summary}," Aug 01, 2025 23:11 ",10m 31s
Critical, Many back off pulling images on Kubernetes Cluster flexcube-cbs-mig-tkc," Aug 01, 2025 23:11 ",4m 28s
Minor, Elapsed time of Oracle job is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:09 ",2m 30s
Minor, High CPU utilization when waiting for I/O on eG_Backend_DB," Aug 01, 2025 23:09 ",5m 37s
Minor, There have been many container termination failures for pod aws-guardduty-agent-ws4b9 of namespace amazon-guardduty on Kubernetes Cluster NewCoreBankingProdEnv," Aug 01, 2025 23:08 ",4m 27s
Minor, There are many waiting containers in pod obic-interest-extrp-service-9cd9c45b-lp257 of namespace javaic on Kubernetes Cluster flexcube-cbs-uat-tkc," Aug 01, 2025 23:08 ",10m 33s
Minor, Many blocked sessions on Oracle Database eG_Backend_DB:1521:egrepdc," Aug 01, 2025 23:07 ",9m 48s
Minor, Queue length is high {DefaultAppPool\Summary}," Aug 01, 2025 23:07 ",5m 37s
Minor, Queue length is high {DefaultAppPool\w3wp#10}," Aug 01, 2025 23:07 ",5m 37s
Minor, Execute to Parse ratio is low on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDC," Aug 01, 2025 23:07 ",3m 50s
Minor, Maximum query elapsed time is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:06 ",1m 20s
Minor, Query is taking high CPU time on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:06 ",1m 20s
Critical, Lagging checkpoint duration is high  {REPLICAT/RLOTNB}," Aug 01, 2025 23:05 ",15m 23s
Critical, Lagging checkpoint duration is high  {REPLICAT/RLOTNH}," Aug 01, 2025 23:05 ",15m 23s
Critical, Lagging checkpoint duration is high  {REPLICAT/RLOTNE}," Aug 01, 2025 23:05 ",31m 1s
Minor, Many redo log space requests have been issued on Oracle Database AWS_CBS_Reporting_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:05 ",4m 52s
Critical, Lagging checkpoint duration is high  {REPLICAT/RLOTND}," Aug 01, 2025 23:05 ",15m 23s
Minor, Many redo buffer entries exist on Oracle Database AWS_CBS_Reporting_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:05 ",4m 57s
Minor, Many backup {Summary}," Aug 01, 2025 23:05 ",3m 32s
Minor, Many backup {db-cluster-snapshot}," Aug 01, 2025 23:05 ",3m 27s
Minor, Destination has log gap issues for LOG_ARCHIVE_DEST_4 on Oracle Database New_CB_DB:1665:kbzprddcpdb," Aug 01, 2025 23:04 ",2D 21h
Minor, Elapsed time of Oracle job is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:04 ",2m 47s
Minor, Percentage of long table scans is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:04 ",5m 14s
Critical, Lagging checkpoint duration is high  {REPLICAT/RLOTND}," Aug 01, 2025 23:03 ",16m 10s
Critical, Lagging checkpoint duration is high  {REPLICAT/RLOTNH}," Aug 01, 2025 23:03 ",16m 10s
Minor, Many maintenance {system-update}," Aug 01, 2025 23:02 ",5m 22s
Minor, Many maintenance {Summary}," Aug 01, 2025 23:02 ",5m 23s
Minor, Parse CPU to parse elapsed ratio is low on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDC," Aug 01, 2025 23:02 ",3m 52s
Minor, Maximum query elapsed time is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:02 ",1m 20s
Minor, Query is taking high CPU time on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:02 ",1m 20s
Minor, Execute to Parse ratio is low on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDC," Aug 01, 2025 23:01 ",3m 55s
Minor, Many blocked connections for user C##GGUSR on Oracle Database AWS_CBS_Reporting_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:01 ",5m 2s
Minor, Maximum query elapsed time is high on Oracle Database AWS_CBS_Reporting_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:01 ",5h 12m
Minor, Write rate to datafile o1_mf_apidat_d_m5t885lp_.dbf is high on Oracle Database on Cloud APIRDB:1580," Aug 01, 2025 23:00 ",34m 49s
Minor, Memory utilization is high on apisys-prod-zb.kbzbank.com," Aug 01, 2025 22:59 ",9m 45s
Major, High disk space usage on /export/home/orarom drive of BIREPO_DB_Node_1," Aug 01, 2025 22:59 ",59m 32s
Minor, High disk space usage on /var drive of BIREPO_DB_Node_1," Aug 01, 2025 22:59 ",49m 31s
Minor, Elapsed time of Oracle job is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 22:59 ",3m 36s
Minor, Percentage of long table scans is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 22:58 ",20s
Minor, Average latency for write operations is high in the FCP {port.3a [50:0a:09:81:80:63:2c:23]}," Aug 01, 2025 22:58 ",45m 10s
Minor, Average latency for write operations is high in the FCP {port.3b [50:0a:09:82:80:63:2c:23]}," Aug 01, 2025 22:58 ",45m 10s
Minor, Maximum elapsed time is high on Oracle Cluster CBS_DB:1580," Aug 01, 2025 22:58 ",26m 4s
Minor, Average exclusive lock wait time is high on SAP HANA Database KBZ-PRD-DB-SYSDB:35015," Aug 01, 2025 22:58 ",5m 1s
Minor, Average shared lock wait time is high on SAP HANA Database KBZ-PRD-DB-SYSDB:35015," Aug 01, 2025 22:58 ",24m 6s
Minor, Queue length is high {DefaultAppPool\w3wp#10}," Aug 01, 2025 22:58 ",4m 36s
Minor, Queue length is high {DefaultAppPool\Summary}," Aug 01, 2025 22:58 ",4m 38s
Minor, Queue length is high {SMSBrix1505\Summary}," Aug 01, 2025 22:58 ",25m 23s
Minor, There are many waiting containers in pod obic-interest-extrp-service-9cd9c45b-v7mpg of namespace javaic on Kubernetes Cluster flexcube-cbs-uat-tkc," Aug 01, 2025 22:57 ",15m 50s
Minor, Many maintenance {system-update}," Aug 01, 2025 22:57 ",10m 28s
Minor, Many maintenance {Summary}," Aug 01, 2025 22:57 ",10m 31s
Major, Actual CPU credit balance is high {ap-southeast-1:-:i-04b74635ad73c1a93}," Aug 01, 2025 22:57 ",16m 49s
Critical, Many back-off restarting failed containers on Kubernetes Cluster flexcube-cbs-uat-tkc," Aug 01, 2025 22:57 ",5m 9s
Minor, Many instances have been removed recently from AWS Cloud p2p-sap-hana-prd," Aug 01, 2025 22:57 ",5m 10s
Minor, Parse CPU to parse elapsed ratio is low on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDC," Aug 01, 2025 22:57 ",3m 30s
Minor, Execute to Parse ratio is low on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDC," Aug 01, 2025 22:57 ",3m 32s
Minor, Maximum query elapsed time is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 22:56 ",1m 40s
Minor, Query is taking high CPU time on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 22:56 ",1m 40s
Minor, Load failures rate is high {CBSCustomerServiceBalance_1528\w3wp#7}," Aug 01, 2025 22:55 ",10m 18s
Minor, Load failures rate is high {CBSCustomerServiceBalance_1528\w3wp#6}," Aug 01, 2025 22:55 ",10m 18s
Minor, Load failures rate is high {CBSAccountingService_1568\Summary}," Aug 01, 2025 22:55 ",10m 18s
Minor, Load failures rate is high {CBSCustomerServiceBalance_1528\Summary}," Aug 01, 2025 22:55 ",10m 18s
Minor, Many maintenance {system-update}," Aug 01, 2025 22:55 ",24m 31s
Minor, Load failures rate is high {CBSCustomerServiceBalance_1528\w3wp#5}," Aug 01, 2025 22:55 ",10m 18s
Minor, Many maintenance {Summary}," Aug 01, 2025 22:55 ",24m 33s
Minor, Load failures rate is high {CBSAccountingService_1568\w3wp#13}," Aug 01, 2025 22:55 ",10m 22s
Critical, Many container images are failed to pull/create/start on Kubernetes Cluster flexcube-cbs-mig-tkc," Aug 01, 2025 22:54 ",5m 8s
Minor, High CPU utilization when waiting for I/O on AWS_CBS_Reporting_DB," Aug 01, 2025 22:54 ",19m 10s
Minor, Percentage of long table scans is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 22:53 ",25s
Minor, Queue length is high {SMSBrix1505\Summary}," Aug 01, 2025 22:52 ",5m 7s
Minor, Parse CPU to parse elapsed ratio is low on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDC," Aug 01, 2025 22:52 ",2m 50s
Minor, Execute to Parse ratio is low on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDC," Aug 01, 2025 22:52 ",2m 51s
Minor, Query is taking high CPU time on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 22:51 ",2m 21s
Minor, Elapsed time of Oracle job is high on Oracle Database gsysdr:1880:gsysdr," Aug 01, 2025 22:51 ",4m 51s
Minor, Maximum query elapsed time is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 22:51 ",2m 21s
Minor, Many blocked connections for user C##GGUSR on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 22:51 ",14m 59s
Minor, CPU usage of Oracle job is high on Oracle Database gsysdr:1880:gsysdr," Aug 01, 2025 22:51 ",4m 52s
Minor, Many redo buffer entries exist on Oracle Database on Cloud APIRDB:1580," Aug 01, 2025 22:51 ",15m 44s
Minor, Many redo log space requests have been issued on Oracle Database on Cloud APIRDB:1580," Aug 01, 2025 22:51 ",15m 44s
Minor, High disk space usage on /export/home/oracle drive of BIREPO_DB_Node_1," Aug 01, 2025 22:50 ",38m 28s
Minor, Many redo buffer entries exist on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 22:49 ",5m 16s
Minor, Many redo log space requests have been issued on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 22:49 ",5m 18s
Critical, Lagging checkpoint duration is high  {REPLICAT/RLOTNA}," Aug 01, 2025 22:49 ",5h 12m
Critical, Lagging checkpoint duration is high  {REPLICAT/RLOTNF}," Aug 01, 2025 22:49 ",1h 2m
